Sat Jun 06 12:20:23 PDT 2015 --  @RangersGuru SMH pic.twitter.com/h6EnuSEgfR
Sat Nov 01 10:30:04 PDT 2014 --  Raise your hand. http://bddy.me/13sgQha  pic.twitter.com/DaTDoNzzjI
Tue Nov 04 09:25:19 PST 2014 --  I want to thank you, Lord, for life and all that's in it. Thank you for the day and for the hour, and the minute.
Sun Sep 21 07:59:37 PDT 2014 --  " @KeithOlbermann Wow. Morning radio co-host in a major market: 15,000 twitter followers. Tell the truth: ur in witness relocation, right?"
Tue Sep 09 10:01:21 PDT 2014 --  MY HOPE - pic.twitter.com/wyaCF573iT
Mon Sep 08 10:25:43 PDT 2014 --  Give @nflcommish office a call! (212) 450-2000 let him know how you feel.
Mon Sep 08 10:17:16 PDT 2014 --  @nflcommish you should be ashamed of yourself. Would the punishment be the same if that was YOUR daughter laying on the floor helpless??????
Sun Sep 07 11:10:27 PDT 2014 --  Antonio Brown drop kick is the best thing I've ever seen on a football field
Thu Aug 21 19:53:35 PDT 2014 --  Followers to RETWEET can win a Derek Jeter bat. #MLBFC pic.twitter.com/JzzcTiIXMb
Wed Aug 20 09:08:55 PDT 2014 --  Forbes: #Cowboys are first U.S. sports team valued at over $3 billion. http://cbsloc.al/1sULnhG 
Tue Mar 11 19:08:08 PDT 2014 --  pic.twitter.com/Q6FmLfFMbe
Mon Dec 30 08:30:29 PST 2013 --  Jerry Jones just needs to go hire rob chudzinski and kirby smart and call it a day.
Sun Dec 29 20:58:15 PST 2013 --  Jerry Jones' GM formula: ruin #Cowboys with bad drafts and bad contracts, then fire the coach to create new hope for screwed fans.
Sun Dec 29 20:24:24 PST 2013 --  Fire everybody
Sat Dec 28 21:28:39 PST 2013 --  Weidman just had a leg up on the competition tonight.
Sun Dec 15 16:46:42 PST 2013 --  Everyone needs to be fired after this one
Thu Dec 05 20:52:29 PST 2013 --  Oh, and you ex-Cowboys fans who jumped ship to the Texans bandwagon aren't allowed back. Go crash & burn with "best team in Texas."
Wed Nov 13 09:42:23 PST 2013 --  "If nobody told you recently .. I think you're incredible" #RealTalk signed. - GOD
