Fri Aug 28 13:52:33 PDT 2015 --  pic.twitter.com/6HYF5QtU2y
Thu Aug 27 12:25:35 PDT 2015 --  Instagram Catches Up To Cameras, Supports Portrait And Landscape Orientation For Photos And Videos In Version 7.5 http://andp.lc/1MXWIrw 
Thu Aug 27 09:13:18 PDT 2015 --  @twitter How 'bout y'all materialize Android app, k? It's been over a year.
Thu Aug 27 04:50:06 PDT 2015 --  I don't know why I bother setting alarms anymore if all I'm going to do is hit snooze.
Thu Aug 27 07:10:05 PDT 2015 --  When in doubt... Chill out. pic.twitter.com/AYriXTeo7Q
Thu Aug 27 07:13:52 PDT 2015 --  dbrand Note 5: Slipperiness solved. https://instagram.com/p/648e4MNdxp/ 
Wed Aug 26 20:06:58 PDT 2015 --  Anyone else only truly wake up at like 11pm?
Wed Aug 26 15:05:44 PDT 2015 --  On the plane back to LA & its grounded due to weather. I srsly want to tell the pilot, 'bruh I beat Star Fox like 100x lemme handle this'
Wed Aug 26 13:03:22 PDT 2015 --  That gold pic.twitter.com/U3tFYoec1S
Wed Aug 26 11:23:46 PDT 2015 --  @UnboxTherapy Because of the lack of professionalism in not having a thumbnail, I Unsubbed to protest. I'm back now though, I missed you.
Wed Aug 26 11:25:36 PDT 2015 --  Real quick, how many F*cks do you give about G+?
Tue Aug 25 14:25:20 PDT 2015 --  All these back to school commercials are depressing the crap out of me and I already graduated.
Tue Aug 25 13:24:17 PDT 2015 --  I try not to check my weight often. Find it less of a motivator/more of something to obsess about. Rather just do the work. See the results.
Tue Aug 25 13:22:29 PDT 2015 --  Just went to the doctor. Checked weight for the first time in a long while. Total results are in - Weight in November 2014: 215 Now: 176
Tue Aug 25 08:56:04 PDT 2015 --  When you're out with a friend who tries to Snapchat everything... pic.twitter.com/uIztdsiSHd
Tue Aug 25 08:42:11 PDT 2015 --  Life is just wanting to be older and then wanting to be younger.
Mon Aug 24 15:07:05 PDT 2015 --  Signing a document with the S Pen right now cuz I’m about that life.
Mon Aug 24 11:38:30 PDT 2015 --  I walked into a spider web this morning and did a weeks worth of cardio.
Mon Aug 24 12:50:32 PDT 2015 --  @SofiaVergara ,please retweet,my daughter brittney has been missing since last monday night.if you see her call 911. pic.twitter.com/yBfm7IjZvf
Mon Aug 24 07:23:13 PDT 2015 --  I hate being on the phone, if it ain't life threatening just text me.
Thu Aug 13 15:01:15 PDT 2015 --  If you remember these dogs you're a 90's kid pic.twitter.com/9rjJ3NgQon
Sat Jul 11 19:31:30 PDT 2015 --  If ur girl bad Af, at least 3 guys a day r trying to take her from u. 21 guys a week, 84 a month, 1008 a year. No bitch saying no 1008 times
