Tue Aug 04 14:00:02 PDT 2015 --  http://ROCKYANDTYLER.COM  TICKETS ON SALE FRIDAY pic.twitter.com/JydZuNZ0vk
Fri Aug 28 18:27:26 PDT 2015 --  Just remember sometimes a listening ear is also a running mouth
Tue Aug 25 18:15:14 PDT 2015 --  The beautiful game. pic.twitter.com/G6PtK7CaLI
Mon Aug 24 19:32:43 PDT 2015 --  I hate homework I hate school I want to drop out A sweet poem by me for Comp
Sun Aug 23 19:12:48 PDT 2015 --  DRUGS ARE THE MOST FUN YOU CAN HAVE WITH 10$
Mon Aug 24 12:47:19 PDT 2015 --  too funny pic.twitter.com/rpqZqFzGDD
Mon Aug 24 11:53:10 PDT 2015 --  Omg https://twitter.com/_collegehumor_/status/635810325074419712 …
Fri Aug 21 13:44:43 PDT 2015 --  I wonder when people are going to stop posting Instagram quotes and actually live them.
Mon Aug 24 00:42:20 PDT 2015 --  I'm not jealous, you're not even mine
Sun Aug 23 17:26:20 PDT 2015 --  triple six is my number you can get it off my tumblrrrrrr
Sun Aug 23 17:26:10 PDT 2015 --  Ain't no shame in living the college life.
Sun Aug 23 17:16:51 PDT 2015 --  How long till I can retweet my own tweets??
Sun Aug 23 17:11:49 PDT 2015 --  Blondes are forever winning
Sun Aug 23 17:07:55 PDT 2015 --  
Sun Aug 23 08:00:29 PDT 2015 --  Awww pic.twitter.com/NxkIaFgnde
Sun Aug 23 06:50:24 PDT 2015 --  I could go for some donuts rn
Sat Aug 22 23:58:31 PDT 2015 --  I have no problem RTing girls pictures if it is RT worthy.
Sat Aug 22 16:55:52 PDT 2015 --  Why do you guys retweet shit that makes me cry... https://twitter.com/jahmari_couture/status/590978661551104001 …
Sat Aug 22 14:03:55 PDT 2015 --  Ricardo Quaresma just scored this goal for Besiktas. WOW! ! pic.twitter.com/2toXwiK5u6
