Mon Aug 17 12:31:39 PDT 2015 --  Coutinho could find Memphis Depays dad.
Mon Aug 17 12:28:28 PDT 2015 --  Christian Bentbargain
Mon Jun 15 21:50:42 PDT 2015 --  pic.twitter.com/i7WO0NgTnm
Thu Jul 23 14:06:36 PDT 2015 --  Wedding Crashers pic.twitter.com/ZbPo6zAto3
Mon Jul 20 15:44:11 PDT 2015 --  When you run out of pick up lines http://vine.co/v/e6JuJ5FPa1r 
Fri Jul 17 13:50:11 PDT 2015 --  EXCLUSIVE: Fabian Delph's contract negotiations with Manchester City. https://vine.co/v/hiMWxUFHPtP 
Wed Jul 15 14:45:01 PDT 2015 --  ICYMI: Raheem Sterling explains his decision to move to Man City, as well as touching scenes with his kids. https://amp.twimg.com/v/3f252ce4-4449-4752-bd8f-670c8274c38c …
Tue Jul 14 09:19:19 PDT 2015 --  The difference. http://twitter.com/r50UL/status/620990841063112704/photo/1pic.twitter.com/rP9OTyOVQH 
Thu Jul 02 14:18:10 PDT 2015 --  BRILLIANT: The Raheem Sterling transfer story. (via @JOE_co_uk) pic.twitter.com/cVCNyNEu3s
Tue Jun 30 10:43:26 PDT 2015 --  The last photo of all 4 together: What a team BIG BUCK'S, MASTER MINDED, KAUTO STAR DENMAN pic.twitter.com/jRG9e9q56o
Thu Jun 25 23:30:13 PDT 2015 --  Man United fans be like pic.twitter.com/j4MQPaEkoc
Mon Aug 25 14:31:07 PDT 2014 --  Gonna knock that baldy prick out when I beat him! #AbortionWeek
Tue Oct 21 13:42:13 PDT 2014 --  the derc is actually one pathetic individual...no clothes, no money, no nothing
Fri Nov 21 07:41:25 PST 2014 --  the thought of chogwin having a bath scares me
Wed Jun 24 12:52:03 PDT 2015 --  The Young Lions looking about as threatening as Simba right after Mufasa died. (RIP Mufasa by the way, never out of our thoughts)
Mon Jun 22 13:45:18 PDT 2015 --  Another look at Dustin Johnson's mare on the 18th green at the US Open, it's painful to watch. https://amp.twimg.com/v/085293d4-9fcc-450a-88e1-40f337d2f323 …
Fri Jun 12 03:33:21 PDT 2015 --  Ravel Morrison says he'd like to manage West Ham one day. Might be a bit tricky if you're doing it from prison, mind.
Tue May 05 13:08:52 PDT 2015 --  When you have had enough of the shit player in your own team, and it's time to take action...https://vine.co/v/eBuqHzTxFrq 
Thu May 14 13:00:50 PDT 2015 --  When the opposition captain is talking shit about you after the game...https://vine.co/v/eKvTEUFq5Vb 
Tue May 12 13:35:03 PDT 2015 --  FACT: The best attacking trio in world football. pic.twitter.com/dDYxs1BhLu
Thu May 07 10:09:35 PDT 2015 --  SUMMARY: The Memphis Depay transfer. pic.twitter.com/HqlqwCnWos
Wed Apr 22 12:10:01 PDT 2015 --  Remember that episode of Friends where Ross couldn't flirt with Fabio Coentrao? pic.twitter.com/NhOyPM8lh7
Sun Apr 19 09:41:39 PDT 2015 --  Did you know... pic.twitter.com/yY4FGWqBVU
Wed Apr 15 13:11:31 PDT 2015 --  Liverpool fans to Luis Suarez.. http://vine.co/v/OXva6O32gup 
Sun Apr 12 15:51:04 PDT 2015 --  Yeah, Spieth might be rich and really good at golf. But he's going bald at 21. So I win, right?
Thu Apr 09 07:39:44 PDT 2015 --  To win a £10 free bet, tell me what Aintree horse this is! Must include #Exhilaracing in tweets! pic.twitter.com/tAmFPqturR
Tue Apr 07 20:39:52 PDT 2015 --  " @DepressedDarth: When you're the ugliest person in a group of friends pic.twitter.com/knOR2kFPGw" @royfitz5 @alanob1993 @Higgopotamus2
Sun Mar 08 14:58:10 PDT 2015 --  Dying for a bit of privacy and wifi ;)
Thu Mar 05 06:49:03 PST 2015 --  Jesus christ the mothers starting the waterworks already, gonna be a long day
Mon Mar 02 11:20:50 PST 2015 --  I'm no longer a mother-boy. I'm a mother-man!
Mon Mar 02 10:00:53 PST 2015 --  OUCH: Adam Johnson's updated Wikipedia page. pic.twitter.com/dXd3zHL8Qn
Tue Feb 24 17:50:03 PST 2015 --  Talladega Nights pic.twitter.com/0ZWaqQwYIb
