Wed Aug 26 19:09:28 PDT 2015 --  Top 3 numbers pic.twitter.com/7oCFoWShDC
Fri Aug 21 14:36:05 PDT 2015 --  Can't wait till I can buy these in every gas station. pic.twitter.com/KmfXrF0w1o
Mon Aug 24 19:49:17 PDT 2015 --  Low eyes Deep thoughts
Sat Aug 22 23:30:12 PDT 2015 --  I wanna cuddle you so hard.
Fri Aug 14 16:32:27 PDT 2015 --  idk what's more messy, my room or my life
Fri Aug 14 18:57:32 PDT 2015 --  talents: overthinking
Mon Aug 10 06:51:04 PDT 2015 --  pic.twitter.com/xT3u5ufX38
Tue Aug 25 13:39:16 PDT 2015 --  i wish i could unmeet some people. like yeah we had some good times but i gotta wipe you from my memory now.
Tue Aug 25 20:34:38 PDT 2015 --  I love you soo much!! You make my heart smile(: and I just can't live without you, cause..well you complete me #hacked
Thu Aug 20 17:32:07 PDT 2015 --  pic.twitter.com/JlRCXL1ILx
Fri Jul 24 22:09:09 PDT 2015 --  The Weeknd - The hills pic.twitter.com/plYLJw5V9X
Thu Aug 20 05:01:42 PDT 2015 --  maybe we feel empty because we leave pieces of ourselves in everything we used to love.
Tue Jun 23 13:31:00 PDT 2015 --  To all you Fuckers who don't get HIGH shut the fuck up and give it a try. pic.twitter.com/j1a1VuOGYR
Sun Jul 05 18:32:45 PDT 2015 --  beach vibes pic.twitter.com/Tluvhg3VqN
Wed Aug 19 17:55:46 PDT 2015 --  Favorite if you would like to have one http://HydrohsClothing.Com  pic.twitter.com/3PKwDJCAy6
Thu Aug 20 19:38:13 PDT 2015 --  The best portion of your life will be the small, nameless moments you spend smiling with someone who matters to you.
Thu Aug 20 21:31:45 PDT 2015 --  Perfectly said. pic.twitter.com/QPWblZwXaa
Thu Aug 20 22:57:10 PDT 2015 --  Everyone tells me to be positive but how can I if I don't feel comfortable to be there..I always feel like shit at the end of the day..
Thu Aug 20 22:39:06 PDT 2015 --  pic.twitter.com/Tmu42fFhXc
Thu Aug 20 19:19:07 PDT 2015 --  I need like 10 blunts rn
Wed Aug 19 16:57:30 PDT 2015 --  ♪ ♪I'm working on the night shift, smoke another a marijuana cigarette, I've got my girl on the phone, I'm all alone♪♪
Wed Jul 01 18:32:20 PDT 2015 --  make her heart melt by doing this pic.twitter.com/NtygQjd9Hk
Tue Aug 18 20:23:29 PDT 2015 --  #HighSchoolin5Words Do I smell like weed?
Sun Aug 09 19:51:18 PDT 2015 --  a "sorry" means nothing if your actions don't match up
Mon Aug 17 22:19:34 PDT 2015 --  what hurts the most is having to pretend it doesn't hurt at all.
Tue Aug 18 20:24:18 PDT 2015 --  Can I just not wake up tomorrow? v.v I don't wasn't to dstart school, I'm already heavily dreading it v.v
Mon Aug 10 11:25:48 PDT 2015 --  Expectations VS Reality pic.twitter.com/n1CQClECkX
Mon Aug 17 18:57:03 PDT 2015 --  U know when ur hairs greasy and it makes u feel so so so bad about urself. And ur entire life. Everything is awful bc my hair is greasy
Mon Aug 17 18:57:08 PDT 2015 --  cuddling naked is still one of the greatest things on this planet http://twitter.com/SexualGif/status/588897715695812609/photo/1pic.twitter.com/nq65qpNWRZ 
Mon Aug 17 18:54:36 PDT 2015 --  a sense of humor is attractive
Mon Aug 17 18:56:27 PDT 2015 --  I'm honestly just afraid of someone losing interest in me after getting so attached to them.
Mon Aug 17 18:57:15 PDT 2015 --  Having deep conversations with the right people is priceless.
Mon Aug 17 03:31:19 PDT 2015 --  FACT: Making that special girl smile is the best feeling in the world. .
Mon Aug 17 03:31:15 PDT 2015 --  I truly respect people who stay strong, even when they have every right to break down.ㅤ
Mon Aug 17 03:30:27 PDT 2015 --  Just stay positive, it will get better.
Mon Aug 17 15:19:25 PDT 2015 --  pic.twitter.com/sOuycs7PYH
Mon Jul 27 21:58:51 PDT 2015 --  i prefer to distance myself when im mad bc ill become the most heartless person you'll ever meet
