Thu Aug 27 13:56:34 PDT 2015 --  Watching all the Kevin Hart movies I missed while in Cameroon! First up: Ride Along
Wed Aug 26 18:14:28 PDT 2015 --  "Go to festivals, camp, fall in love and dance..."
Wed Aug 26 12:14:36 PDT 2015 --  When u have souvenirs for people, but u haven't seen them yet, so you start wearing them yourself.
Wed Aug 26 11:13:00 PDT 2015 --  F*ck that mustard water that comes out when you first squeeze the bottle! Got my bun all soggy
Wed Aug 26 08:53:02 PDT 2015 --  Anthropologie really hurts my heart. Why must their clothes be so damn beautiful and so damn expensive?
Tue Aug 25 18:13:40 PDT 2015 --  Saw an old friend 2day and he said, "wow! Black don't crack!" Am I old enough for my black to be eligible for cracking?!
Tue Aug 25 11:06:59 PDT 2015 --  Some people really follow celebrities on IG just to insult them? Ugh, what a world we live in.
Mon Aug 24 11:39:11 PDT 2015 --  Why Nicki Minaj keep talking about Sri Lanka?
Sun Aug 23 13:33:35 PDT 2015 --  A selfie a day keeps the doctor away?
Sat Aug 22 02:18:46 PDT 2015 --  Look. At. The. Flick. Of. The. Wrist.
Fri Aug 21 11:38:47 PDT 2015 --  Janet Jackson is too PRETTY!!! I don't think she's human. It's not possible.
Mon Aug 17 06:44:47 PDT 2015 --  #300youthCOR pushing to the finish line. Helping each other make it there #300menmarchwhitehouse pic.twitter.com/LjQbMvnTUb
Sun Aug 16 10:02:37 PDT 2015 --  I'm beyond impressed!
Sun Aug 16 10:02:24 PDT 2015 --  This girl literally built the whole house. I'm talking plumbing, granite countertops, built cabinets, knock down and built up walls!
Sun Aug 16 10:01:35 PDT 2015 --  When I get married in 10 years? I need a husband who can do that!
Sun Aug 16 10:00:08 PDT 2015 --  My engineer friend literally gutted her whole house and built that sh*t back up from SCRATCH. with her OWN hands
Sun Aug 16 09:59:07 PDT 2015 --  When is the next NSBE meeting? I NEED to marry an engineer. #NoLol
Fri Aug 14 18:01:04 PDT 2015 --  HD TV is giving me headaches. Ackkk!
Fri Aug 14 09:52:41 PDT 2015 --  Davido, PSquare, Sarkodie, Tiwa Savage, MC Galaxy, I MISS YOU!
Fri Aug 14 09:50:30 PDT 2015 --  I want to dance I'm bored already.
Wed Aug 12 14:47:19 PDT 2015 --  Whenever I have plans to go somewhere, in the last 10minutes before I leave out the door, I don't feel like going anymore. Lol
Wed Aug 12 14:34:50 PDT 2015 --  I was taking a picture of my mom, she stuck her tongue out for the photo. I got really mad at her. Damn social networks...
Wed Aug 12 10:51:09 PDT 2015 --  Why does 96.3 keep playing this Future and Rhianna song???
Wed Aug 12 08:28:40 PDT 2015 --  It just took me 2 hours to make a doctors appointment! Not having Blue Cross Blue Shield sucks!
Mon Aug 10 20:10:56 PDT 2015 --  I missed online shopping sooo much!!!
Mon Aug 10 16:57:57 PDT 2015 --  i wanna dye my hair sooooooo bad
Mon Aug 10 13:54:33 PDT 2015 --  I'm gonna steal her ipad and hide it from her.
Mon Aug 10 13:53:28 PDT 2015 --  She getting on my nerves talkin bout "selfies" and ish. Whaaaat?!
Mon Aug 10 13:50:55 PDT 2015 --  She should have never discovered the Internet.
Mon Aug 10 13:50:34 PDT 2015 --  Why does my mother know who iggy azalea is?? She's 61 years old
Sun Aug 09 08:40:12 PDT 2015 --  Cracker Barrel is nasty now. So much has changed in 2 years.
Sun Aug 09 08:22:29 PDT 2015 --  It's so hard to shake this Peter Pan Syndrome.
Sun Aug 09 08:21:18 PDT 2015 --  As I'm quickly approaching the 30 and over club, I'm about to only listen to music from 1990-2000. I need to start acting old.
Sun Aug 09 08:13:29 PDT 2015 --  "... forget your man mooove somethin, if he ask you what you doin say, oooh nothin!"
Sun Aug 09 08:12:00 PDT 2015 --  Haven't had a ringtone on my phone in at least 6 years, but im abt to make "Shake It Fast" my ringtone. Forgot how much this joint knocks.
Sat Aug 08 20:24:43 PDT 2015 --  Do yall put sunscreen on ur hands before you get a gel manicure?
Sat Aug 08 13:12:37 PDT 2015 --  Excuse me ma'am, you have two caterpillars sitting on your eyelids. I didn't know if you knew...
Sat Aug 08 10:31:22 PDT 2015 --  Kevin Hart so sexy. It's annoying
Fri Aug 07 12:38:16 PDT 2015 --  Kudos to all the parents out there. Y'all skrong.
Fri Aug 07 12:34:05 PDT 2015 --  This baby stuff is for the birds. Nephew got me ready 2 get my tubes tied after less than a week. #StopCrying #StopSayingMyName #StopPooping
Fri Aug 07 09:38:49 PDT 2015 --  Been home for 5 days and still haven't gone to Target. I'm living my life wrong
Wed Jul 29 05:13:55 PDT 2015 --  y'all are so funny!
Wed Jul 29 05:09:20 PDT 2015 --  Lol! I swear I missed twitter so much.
Mon Jul 13 21:06:23 PDT 2015 --  Growing up and I didnt even realize it...
Mon Jul 13 21:05:48 PDT 2015 --  Not having internet for 2 years has really helped me 2 contain my inappropo comments online and selfies. An unexpected outcome, its lit tho.
Sun Jul 12 04:43:47 PDT 2015 --  runny kine my damie! https://twitter.com/MrAg87/status/620029813210755072 …
Sat Jul 11 17:18:49 PDT 2015 --  I've missed my Haunie too, and Cant wait to meet C3P-O! https://twitter.com/hanalulu12/status/619193584542187520 …
Fri Jul 03 00:15:51 PDT 2015 --  Leaving Cameroon in 7 days. waow...
Sat Apr 04 08:52:09 PDT 2015 --  Finding out my Close of Service Date on Tuesday. Im coming home folks! *cue Diddy and those girls he used to sing with*
Sat Apr 04 00:42:00 PDT 2015 --  Edith's Pursuit of Knowledge Abroad http://www.gofundme.com/StudyEdithStudy?pc=14_tw_2 … via @gofundme
Tue Jan 27 10:47:39 PST 2015 --  i don't know how to use the internet anymore.
Mon Jan 26 22:30:18 PST 2015 --  wow, i haven't tweeted since November! getting robbed really drained my enthusiasm for all things technological.
Sat Nov 08 00:01:05 PST 2014 --  C'est deja Noel...
Fri Nov 07 23:37:42 PST 2014 --  Hearing my first Christmas songs in Cameroon! im hype...but i also think i might cry :(
Thu Nov 06 10:49:52 PST 2014 --  ...not as if there are ANY means of garbage disposal however.
Thu Nov 06 10:42:47 PST 2014 --  I slipped on a banana peel today. Yep, that can actually happen...
Mon Nov 03 09:43:21 PST 2014 --  The neighbor kids are frying termites for me 2nite #CentralAfricanDelicacies
Sun Nov 02 12:12:46 PST 2014 --  Being thrust into an enviroment like this really shows u how many ppl have mental issues
Sun Nov 02 12:10:56 PST 2014 --  Humans are so strange.
Wed Oct 22 07:58:19 PDT 2014 --  As much as I miss everybody at home, I'm also really gonna miss being able to get my hair braided for $2.
Wed Oct 22 07:47:23 PDT 2014 --  I can't wait until December. My mom says she's gonna bake some christmas cookies and send them in the mail! Imma be ecstatic mayne
Tue Oct 21 23:16:52 PDT 2014 --  I'm so lost. I'm not gonna be able to converse with anybody once I get back home. Lol
Tue Oct 21 23:16:14 PDT 2014 --  Wtf is "on fleek?" I keep seeing it everywhere and I'm so confused. Lol
Tue Oct 21 02:15:32 PDT 2014 --  One of my students wrote me a love letter. What makes the situation even more awkward, is that its from a girl.
Tue Oct 21 02:02:28 PDT 2014 --  ...Depending on the occasion. Lol
Tue Oct 21 02:01:42 PDT 2014 --  They also say that American don't wear underwear...which is kinda true however. Lol
Tue Oct 21 02:00:10 PDT 2014 --  They always comment on how americans are sloppy, wear dirty shoes, and don't dress well. I gotta use these 2 years to prove them wrong. Lol
Tue Oct 21 01:55:36 PDT 2014 --  You would NEVER catch a Cameroonian wearing wrinkled ass clothes. Lol. In America I couldn't care less about a damn iron.
Tue Oct 21 01:54:45 PDT 2014 --  This place has really changed me. When the power goes out, I get pissed cuz that means I can't iron my clothes before I go to work.
Tue Oct 21 01:01:09 PDT 2014 --  Papaya seeds give me the heebie-jeebies.
Tue Oct 21 00:47:46 PDT 2014 --  What Firestone Liberia did to stop the spread of Ebola in its surrounding areas. Commendable. http://www.npr.org/blogs/goatsandsoda/2014/10/06/354054915/firestone-did-what-governments-have-not-stopped-ebola-in-its-tracks?utm_source=facebook.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=202406 …
Tue Oct 21 00:25:55 PDT 2014 --  The lady who returned my cat, wants me to pay her for not eating it.
Tue Oct 21 00:10:45 PDT 2014 --  " @Q17: And I'm wide awoke" still?
