Fri Aug 28 11:04:06 PDT 2015 --  Crazy hazy LA night at the Troubadour with @kristianbush. 󾓯 @emcradduck http://fb.me/7uCyoufoy 
Fri Aug 28 08:11:01 PDT 2015 --  Be there for others but never leave yourself behind.
Wed Aug 26 14:19:58 PDT 2015 --  Make yourself proud. pic.twitter.com/x6Bl5R9edO
Mon Aug 24 20:14:03 PDT 2015 --  A goal is a dream with a deadline.
Mon Aug 24 15:20:11 PDT 2015 --  Never give up on something you really want. It's difficult to wait but worse to regret.
Wed Aug 19 09:37:49 PDT 2015 --  Be patient pic.twitter.com/TZq7lkHcH6
Sat Aug 08 11:43:12 PDT 2015 --  pic.twitter.com/lxuZUNWyyl
Mon Aug 03 20:32:52 PDT 2015 --  Relationships are work in progress and the work never stops. #quotes #QuotesOfTheDay #relationship #marriage pic.twitter.com/DcTw5AHcyp
Tue Apr 28 17:53:11 PDT 2015 --  Retweet to #VoiceSaveCorey
Tue Apr 28 15:44:08 PDT 2015 --  Snack time! Avocado topped with tuna salad, a dash of pesto, mustard & Sarachi. So yummy! #foodie pic.twitter.com/25qlH5RwH1
Tue Apr 14 09:46:04 PDT 2015 --  Giveaway: Win a Signed #Outlander Companion, Season 1, Sountrack, T-Shirt from @OutlanderCast http://wp.me/p57847-a0W  pic.twitter.com/0Mhg3PCYNO
Thu Oct 23 07:30:13 PDT 2014 --  From great tragedy comes great heroism... what a brave man! http://www.whosay.com/l/uLA9tY9 
Thu Oct 23 02:19:37 PDT 2014 --  Our deep sympathies and best wishes to our Canadian friends.
Sat Oct 18 11:38:32 PDT 2014 --  Canada's Veterans - their courage, service & sacrifices have kept us strong, proud & free. #RememberThem https://amp.twimg.com/v/0d223e11-6f88-49d6-8754-a9cd7baefa7e …
Sun Sep 14 08:53:37 PDT 2014 --  We'll be in the Pit at tonight's show :). Plz play "Who Knows" AWESOME song in concert, Zamily Joe and Tina (Canada) pic.twitter.com/jOuUW0Fllh
Mon Sep 08 19:18:59 PDT 2014 --  AnnieClements performing on #Stageit https://www.stageit.com/annieclements/live_luau_mostly_clothed_getnaked_fundraiser_feat_hawaiian_music_auction_extravaganza/39880 … via @stageit
Mon Jun 02 07:14:58 PDT 2014 --  Enter for a chance to win $20k & 1-hour consultation from W Network’s Property Brothers. @Scotiabank http://greenyourroom.socialapps.co/  #GreenYourRoom
Tue Mar 11 20:20:11 PDT 2014 --  “ @uncommentari: Awesomesauce @jennifernettles pic.twitter.com/Z9E9NocAmb” Thank You Detroit!!! You gave much soul!!!! Can't wait to come back!!
Tue Mar 11 20:50:33 PDT 2014 --  “ @photo_stained: @JenniferNettles rocked my heart and soul tonight. Eternally grateful!!! pic.twitter.com/SFFYsrx1lw” Thanks!
Mon Feb 17 12:15:44 PST 2014 --  I just entered to win a trip for 4 to Vegas! @JenniferNettles #ThatGirl Check it out for your chance to win at http://thatgirl.jennifernettles.com 
Mon Feb 17 08:09:06 PST 2014 --  I joined the #SoundBoard #RoadiesClub because I rock! You should rock, too: http://playm.cc/roadiesclub 
Tue Oct 01 09:33:51 PDT 2013 --  Just finished week 1 day 1 of #C25K with @c25kfree! Running for a cause with @BCRFcure!
Sun Sep 22 18:24:59 PDT 2013 --  Jess is from Montreal. I played for @CanadiensMTL for 9 years! Would love your vote! #BOTB @CBCbattle @SimonAbboud pic.twitter.com/UdhlCSFAiQ
Thu Sep 12 19:31:07 PDT 2013 --  Loving Jennifer Nettles new song "That Girl". :)
Wed Sep 11 11:59:42 PDT 2013 --  Canadians! Win a $100 Visa Gift Card from #Listen2Lena and #VisaBacktoSchool http://www.listentolena.com/2013/08/back-to-school-2013-lets-go-shopping-giveaway.html …
Mon Sep 09 16:55:50 PDT 2013 --  I just entered to win a trip for 4 to Vegas! @JenniferNettles #ThatGirl Check it out for your chance to win at http://thatgirl.jennifernettles.com 
Fri Aug 30 09:41:44 PDT 2013 --  Driving to see ZB. :).
Fri Aug 30 08:04:18 PDT 2013 --  Last night. Allentown. pic.twitter.com/yrSbUhLg4l
Tue Aug 13 09:26:36 PDT 2013 --  Filming The Voice today with ol' gang back together. CeeLo, Christina and Eddie Munster....
Fri Aug 03 22:05:14 PDT 2012 --  My Baby Girl, Olivia O'Connor's very 1st show in Detroit.She made a sign for Stuck like Glue, would you dedicate it to her?Pls@kristianbush
Fri Aug 03 21:57:01 PDT 2012 --  My Baby Girl, Olivia O'Connor's very 1st show in Detroit.She made a sign for Stuck like Glue, would you dedicate it to her? @Sugarlandmusic
Thu Jul 26 14:25:03 PDT 2012 --  I just commented: Loved Duets!!! Jennifer picked great partners and it was awesome to h... in the Sugarland App http://road.ie/sugarland 
Mon Oct 31 07:03:37 PDT 2011 --  U guys r my favorite to win, good luck tonight there's no way u should be in bottom two@ViolettaHoops
