Sat May 17 20:46:39 PDT 2014 --  i'm not taking any chances pic.twitter.com/fD04kGWGur
Thu Aug 21 20:15:55 PDT 2014 --  Retweet in 10 sec if you don't want bit from a Brown Recluse Spider and have this happen. pic.twitter.com/oiHxXiPw9W
Wed Aug 26 20:33:02 PDT 2015 --  FUCK pic.twitter.com/KSMbUlkOtc
Mon Oct 06 21:43:16 PDT 2014 --  I need this pic.twitter.com/ky70J7m1tv
Sat Feb 07 23:09:29 PST 2015 --  I'm emotional. I know my flaws, all of them. The real problem is a lot of you people don't think you have flaws, so you bash others.
Tue Aug 18 16:00:48 PDT 2015 --  Dick pic game fatal. pic.twitter.com/omgZJ4u6TK
Sun Aug 23 22:29:53 PDT 2015 --  Today was pretty shitty but I found a fruit snack under my desk so that was pretty cool.
Sat Aug 22 13:23:47 PDT 2015 --  How is Bernie Sanders going to defend our country if he can't even defend his own microphone? Very sad!
Sun Aug 23 19:52:45 PDT 2015 --  I vote we extend the PS4 Beta until the Xbox One Beta Ends @Treyarch @DavidVonderhaar ;)
Mon Aug 24 00:29:38 PDT 2015 --  When a girl favs 10 of your tweets in a row pic.twitter.com/6ADXLoPaTS
Mon Jul 27 16:50:56 PDT 2015 --  MY DUDE WAS JUST TRYNA TAKE A POOP pic.twitter.com/9cwWOba8Dj
Mon Aug 24 00:28:02 PDT 2015 --  pic.twitter.com/cMXCkENdac
Mon Aug 24 00:03:35 PDT 2015 --  Rick and Morty is so damn good!
Sun Aug 16 13:11:47 PDT 2015 --  "All men are disgusting, revolting, and distasteful PIGS," typed the 16 year old highschool girl as she ranted on her tumblr profile
Thu Aug 06 17:24:23 PDT 2015 --  when a girl post a IG picture with the caption "deleting this later" pic.twitter.com/qisKPINE4G
Thu Aug 13 21:45:05 PDT 2015 --  if someone shows you their true colors, don’t try to repaint them
