Fri Aug 28 19:37:42 PDT 2015 --  I just wanna find my place. The place where I matter.
Fri Aug 28 19:36:51 PDT 2015 --  Seems like no matter what I always manage to fuck something up, or disappoint someone. Sick and tired of trying to please everyone...
Fri Aug 28 14:45:23 PDT 2015 --  Can vegans eat animal crackers...?
Fri Aug 28 11:58:13 PDT 2015 --  can bob the builder fix ur shitty attitude.
Thu Aug 27 21:51:48 PDT 2015 --  Alcohol does more harm than good.
Thu Aug 27 18:05:40 PDT 2015 --  Why is positivity so scarce anymore
Thu Aug 27 08:11:31 PDT 2015 --  people: i can hear your music me: your welcome
Wed Aug 26 15:35:13 PDT 2015 --  First day of college was decent, this first semester should be pretty great 🏻
Wed Aug 26 14:18:33 PDT 2015 --  Most of the time lol pic.twitter.com/G1FwEZ0cWP
Wed Aug 26 08:34:59 PDT 2015 --  I need food
Mon Aug 24 23:02:14 PDT 2015 --  Ugh!
Sun Aug 23 22:42:25 PDT 2015 --  Kinda old, but by far the best interview I've ever seen. @benjaminbruce @James_Cassells pic.twitter.com/AYeWIIcFPS
Tue Aug 18 08:35:23 PDT 2015 --  Fuck weed. Legalize free college.
Sun Aug 23 20:42:10 PDT 2015 --  Fuck the system
Sun Aug 23 10:10:16 PDT 2015 --  RT if you will be voting for Deez Nuts in the upcoming 2016 election
Fri Aug 21 23:02:27 PDT 2015 --  You know when you are listening to music and you think every god damn song you listen to was written for you... That's the beauty of music
Fri Aug 21 15:44:34 PDT 2015 --  I'm giving out 50 64GB @OnePlus 2 invites to people who retweet this tweet over the next 24 hours. Good luck! pic.twitter.com/y2nE7X9f2c
Fri Aug 21 15:47:58 PDT 2015 --  I can't wait to finish this record and be back on tour. The world better be ready for the mayhem … https://instagram.com/p/6qajF3iEye/ 
Thu Aug 20 09:56:00 PDT 2015 --  Sleep is tight, beds are tight
Thu Aug 20 09:44:59 PDT 2015 --  Woke up with sore ribs and shoulders...the fuck did I do yesterday?
Thu Aug 20 07:25:48 PDT 2015 --  Longing for a day when people think about things before saying them.
Wed Aug 19 16:37:20 PDT 2015 --  This beauty came in the mail today! Always wanted to support @AAofficial @benjaminbruce 🏼 pic.twitter.com/msVDpADHtQ
Wed Aug 19 07:20:14 PDT 2015 --  Follow and RT to enter to win these Jaybird X2s! Winner chosen at 8PM EST. GL! pic.twitter.com/aZlsH6GHRK
Tue Aug 18 22:34:59 PDT 2015 --  pic.twitter.com/sDj5emKpR9
Tue Aug 18 22:35:06 PDT 2015 --  pic.twitter.com/rLTCQx0td7
Tue Aug 18 22:36:37 PDT 2015 --  pic.twitter.com/r4mBtMdVlF
Tue Aug 18 22:37:19 PDT 2015 --  pic.twitter.com/Jtft1WlrHV
Tue Aug 18 15:32:05 PDT 2015 --  Bruce Dickinson telling it like it is. pic.twitter.com/DgU5pUWeEG
Tue Aug 18 02:13:54 PDT 2015 --  Me looking at a list of people in my circle... pic.twitter.com/DV9CGzdplY
Mon Aug 17 21:33:11 PDT 2015 --  You don't have to like me, but you're gonna respect me.
Mon Aug 17 21:19:09 PDT 2015 --  Wow.. I feel old 🏼
Mon Aug 17 20:17:01 PDT 2015 --  Why is our society so judgmental? It seems like I always get weird looks from ppl.. Like why you gotta be like that
Sun Aug 16 17:07:03 PDT 2015 --  "Mitch better have my Bunny" Who is Mitch and why does he have a bunny ?
Sat Aug 15 23:43:10 PDT 2015 --  "What doesn't kill you, makes you wish you were dead...got a hole in my soul goin deeper and deeper.."
Sat Aug 15 22:32:00 PDT 2015 --  When you're the whitest person in the theater for "Straight Outta Compton" #GreatMovieTho
Sat Aug 15 22:20:02 PDT 2015 --  People make me want to wear headphones 100% of the time. Tune me out of the bullshit and take me some place beautiful, stat.
Thu Aug 13 11:27:15 PDT 2015 --  I listen to multiple genres of music....music is a universal language. People shouldn't judge or hate any genre. Music speaks to everyone.
Fri Aug 14 22:22:51 PDT 2015 --  Music is always able to calm me down
