Fri May 01 19:30:25 PDT 2015 --  電波悪
Mon Oct 13 00:08:58 PDT 2014 --  台風で岡山市も大雨とおおかぜです。
Mon Jul 14 18:39:49 PDT 2014 --  セミがなきだした。 夏だ。
Sat Jun 28 14:49:31 PDT 2014 --  おはようございます。 岡山は、爽やかな朝です。 今日は新しい生徒さんの ギターレッスンがあるので 頑張ります。
Sat Jun 28 04:31:47 PDT 2014 --  今から、中一の息子に英語の 勉強教えます。期末試験が 近いのです。中間テストの リベンジさせるぞ。 気合いだ～。
Sun Oct 13 19:25:26 PDT 2013 --  昨日、島根県の出雲大社に日帰りで 行きました。ものすごい人と車の数で 高速道路の出口なんて渋滞10キロでした。今日は大学駅伝があるし、もっと すごいんだろうな。
Wed Mar 27 23:43:21 PDT 2013 --  思いついた。ワイルドだろう？ でも、もうオールドだろう？
Sat Mar 09 07:25:01 PST 2013 --  今日は、暖かくて春のようでした。 そのせいか、若いカップルがデートしてるのを何組も見ました。初々しい お互いに照れた感じがイイなと感じました。
Sun Jan 27 01:45:59 PST 2013 --  ギター教室のレッスン終了 僕は教える方です。高校生の女の子が生徒。来月のレッスン日も決定。
Sat Jan 26 19:07:06 PST 2013 --  かきおこ、食べにいきまーす。 かきおこ、とは牡蠣の入ったお好み焼きです。
Wed Jan 23 23:38:42 PST 2013 --  うちに、ミニうさぎの赤ちゃんが、 やって来ました。息子の誕生日ブレゼントです。すごくかわいい。 いやされる。
Sun Jan 13 20:48:15 PST 2013 --  上りのやくもは少し前にやっと発車しました。やれやれ。
Sun Jan 13 19:23:54 PST 2013 --  上りのやくもは生山駅で停車中。 高梁〜新見駅間で倒木らしい。 外は雪景色で綺麗だけど。
Sun Nov 04 01:20:58 PST 2012 --  ただいま北房JCT渋滞なう
Fri Nov 02 23:44:31 PDT 2012 --  島根県出雲大社の神話博しまねにいます。素晴らしい展示の数々です。
Sat Sep 29 20:11:31 PDT 2012 --  岡山にも台風の影響が今でてきました。雨が強くなり、風が出てきました。
Sun Jul 15 22:22:26 PDT 2012 --  食欲がないので、そうめんに、食べるラー油をいれたら、かなりすすむ。 また違ったうまさだわ。
Sun Jul 15 18:51:05 PDT 2012 --  散髪屋のおばちゃんにウクレレを貸してもらいました。ギターと同じ感じで 簡単です。練習中です。
Tue May 15 19:52:48 PDT 2012 --  僕、今日、誕生日なんです。 ４５歳になってしまった。
Sun Apr 29 16:58:19 PDT 2012 --  朝マックなう。メガマフィン美味しかった。with息子と。
Sat Apr 28 20:41:49 PDT 2012 --  総社 国分寺れんげ祭りなう。 人も多く盛り上がってます。
Fri Apr 06 07:13:59 PDT 2012 --  役所さんの、マルちゃん正麺のTVコマーシャルがとても気になるので、ついに買ってしまった。他のに比べ少し高い。美味しかったけどCMほどのインパクトは無かった。残念。
Sun Feb 26 02:22:56 PST 2012 --  岡山市丸の内のピッツェリアシエナなう。ここのピザは最高なのです。 これはサーモンのピザ。 いただきまーす。 pic.twitter.com/zzSP11a3
Wed Jan 11 16:41:15 PST 2012 --  おはようございます。 最近、マルモのおきて、という テレビドラマ気に入ってます。 録画したものですけど。 すごく優しい気持ちになれるのです。
Wed Jan 04 17:13:14 PST 2012 --  おはようございます。 最近、ファンクギターのカッティングの練習してますが面白いです。 今朝の鼻歌は原田真二の 風をつかまえて です。
Tue Dec 27 16:28:42 PST 2011 --  おはようございます。 今朝の鼻歌は 甲斐バンドの安奈です。
Mon Dec 26 16:29:30 PST 2011 --  おはようございます。 今日の朝の鼻歌は 原田真二の恋をブレンドドレッシング です。
Sat Nov 12 21:37:58 PST 2011 --  餃子の王将なう。 餃子の焼き加減確認してくれた。 ステーキみたい。
Sun Oct 09 22:39:43 PDT 2011 --  島根県松江市フォーゲルパークなう。 花がたくさんできれい。 鳥たちのショーも楽しい。 蕎麦も激ウマ。
Sun Oct 02 06:43:47 PDT 2011 --  @tamachantommy とみーさん お久しぶりです。今日これに気づきました。原田真二は最高です。
Sat Oct 01 17:14:35 PDT 2011 --  ココスで朝バイキングなう。 安いし、美味しいし、いつもと違う日曜日の朝。いい感じ。
Fri Jul 29 22:34:23 PDT 2011 --  昨日の岡山デスペラードでの原田真二のライブは最高でした。公開打ち上げでは真二さんと話もできたし俺の人生でこんな日がくるとは。何があるかわからんから面白い。
Thu Jul 28 07:18:44 PDT 2011 --  今日は道ばたで三回もお金を拾ってしまいました。合わせて七円ですけどね。
Mon Jul 04 02:24:51 PDT 2011 --  岡山市北区は今、大雨ナウ
Sun May 22 04:19:35 PDT 2011 --  ワタミのチェーン店に行ったけど 接客ダメだ。最後のオーダー15分 待ったけど出てこないから帰った。 わたみん家岡山店だ
Sun May 01 01:04:47 PDT 2011 --  会社の和式のトイレをふと、見ると ネズミの糞があった。この会社のネズミはちゃんとトイレで用を足すんだな〜と二やっとしてしまった。
Fri Apr 29 05:03:31 PDT 2011 --  岡山市北区磨屋町にある居酒屋 どんくえや にて家族で行った。 ここは鯛の塩釜焼が最高に美味い。 天然鯛のしっとりとした大きな身に 塩とレモンがめちゃうまかった。他に 和牛ステーキやらボリューム満点で 腹がパンパンになりました。値段は この量と味だったら安い。 3人で9千円弱。
Sun Apr 17 17:26:18 PDT 2011 --  おはようございます。岡山市は今日は曇り空です。張り切っていきます。
Sat Apr 16 23:04:50 PDT 2011 --  最近の原付バイクのエンジンは ４ストロークなんだって。俺が乗ってた２５年前は全部２ストロークのエンジンで４ストロークなんて考えたこともなかったよ。技術は進むねえ。
Wed Apr 13 18:46:34 PDT 2011 --  おはようございます。 今日も内容の濃い一日に していきます。
Sat Feb 19 19:00:26 PST 2011 --  日曜日の休みに息子とキャッチボールなう。小3で最近やっとうまく投げられるようになってきた。昔は近所のお兄ちゃんが教えてくれたもんだが。
Sun Feb 06 16:51:36 PST 2011 --  @_HOTEI えー、すごく残念です。 ゲーリームーアさんの曲では ローナーをよく聴きました。 ギターコピーも。
Thu Feb 03 16:20:29 PST 2011 --  今の状況って１００年後くらいに 平成の大不況とかって学校の教科書に 載ったりするのかな？
Thu Jan 27 16:03:20 PST 2011 --  おはようございます。 岡山市は今日曇り空です。 がんばります。
Wed Jan 26 16:24:42 PST 2011 --  @EGuitarCyta 毎日楽しみにしてます。
