Mon Aug 24 10:27:45 PDT 2015 --  Be your worst critic.
Wed Aug 19 17:20:32 PDT 2015 --  🏽 up for u @kelvinbenjamin bud you are one of the Ultimate competitor's Who Worked! At your craft ... http://tmi.me/1f80tK 
Wed Aug 19 17:22:57 PDT 2015 --  Prayers up for my lil bro @kelvinbenjamin #fsu #wecomebackstronger
Wed Aug 19 17:37:11 PDT 2015 --  I hate to see anyone get injured, but it hurts even more when it is a fellow teammate. Pulling for my guy @kelvinbenjamin . James 1:2-4
Wed Aug 19 16:42:52 PDT 2015 --  Hate to hear the Kelvin Benjamin news...feel terrible for him & the Panthers.
Wed Aug 19 16:42:32 PDT 2015 --  Kelvin Benjamin =(
Sat Aug 15 08:13:46 PDT 2015 --  #Beast https://twitter.com/NFL/status/632544786340163584 …
Sat Aug 15 07:49:07 PDT 2015 --  I fucked up #3Woe6 pic.twitter.com/n8tu1P3fNN
Sat Aug 15 07:48:00 PDT 2015 --  I need to ration this much water to avoid getting up. #Survivor pic.twitter.com/XPh3ZfgcHe
Sat Aug 15 07:34:21 PDT 2015 --  Now that everyone has chilled for a minute I think it's safe to tell you that I wrote @Drake #back2back
Thu Aug 13 07:51:53 PDT 2015 --  https://twitter.com/DylanKozak/status/631665604294918144 …
Tue Aug 11 07:58:20 PDT 2015 --  Maybe 93 Throw Accuracy is a little low for @drewbrees... Thanks for clearing things up @Saints. #MaddenRatings https://vine.co/v/edbEvIp9VWF 
Thu Jul 30 20:13:01 PDT 2015 --  
Thu Jul 30 20:14:07 PDT 2015 --  Meek diss is TRASH!!! if Drake make another diss track, Meek won't ever be relevant in this "beef" again...
Thu Jul 30 20:16:13 PDT 2015 --  Nicki Minaj should've just wrote Meeks diss! lol for real tho
Fri Jul 31 00:12:11 PDT 2015 --  I'm embarrassed to be a Meek Mill fan after that diss track #WannaKnow
Thu Jul 23 08:05:04 PDT 2015 --  ICYMI: The Seahawks discovered the dangers of complaining about a player's Madden rating: http://es.pn/1TSckgI  pic.twitter.com/KIHNU197pU
Sat Jul 18 00:26:30 PDT 2015 --  I'm going to sleep. I just called my dog a capitalist.
Fri Jul 17 10:20:28 PDT 2015 --  Good luck tonight @sskroughriders!
Mon Jul 13 18:00:37 PDT 2015 --  THE VAPE PEN.... ITS LIKE A FEDORA FOR YOUR MOUTH
Wed Jul 08 22:57:06 PDT 2015 --  Got to Craven ASAP this year! #Craven2015 #DeadWednesday https://instagram.com/p/454rnhKR5S/ 
Sat Jul 04 17:42:18 PDT 2015 --  Big #W in the first game back from injury with the raginacrushers in #Provincials2015 #AllBracedUp… https://instagram.com/p/4vBeaOKR8d/ 
Thu Jul 02 15:51:51 PDT 2015 --  #Riverboat @Panthers pic.twitter.com/68q3k1yacV
Thu Jul 02 13:00:50 PDT 2015 --  NFL disciplinary committee is heading into the holiday weekend like... pic.twitter.com/2SAgl96vCG
Mon Jun 29 16:28:33 PDT 2015 --  Being humble don't work as well as being aware.
Mon Jun 29 00:00:20 PDT 2015 --  Best he could do pic.twitter.com/zBPwXWStoj
Sun Jun 28 21:24:26 PDT 2015 --  This phenomenal group of guys carried my bandaid ass to a 4th championship as a franchise and my 3rd… https://instagram.com/p/4f-IGfqR69/ 
Sun Jun 28 21:13:17 PDT 2015 --  #4Peat and it feels so good! #RunninThroughTheCWithMyBros https://instagram.com/p/4f82eOKR5C/ 
Sat Jun 27 08:08:41 PDT 2015 --  24 HR @JJWatt is now available RT for a chance to WIN. pic.twitter.com/Q8PNympyZC
Sat Jun 27 12:05:06 PDT 2015 --  Congrats! @ColbyWilliams22 https://twitter.com/washcaps/status/614845640166801408 …
Tue Jun 23 05:00:10 PDT 2015 --  Doing people dirty pic.twitter.com/pPeWi2DxdL
Sun Jun 21 19:30:29 PDT 2015 --  Tom Weiskopf equating the unexplainable Seattle-area finish to the Super Bowl. So who is Johnson's putter: Bevell, Carroll or Butler?
Sat Jun 20 22:21:48 PDT 2015 --  MJ won a Championship on Fathers Day right after his father died. He ran into this room, collapsed & started crying. pic.twitter.com/T6k1S1jQZ5
Tue Jun 16 17:39:39 PDT 2015 --  When you finally see the guy that tried to slide into bae's DMs https://vine.co/v/OMYY1dZ5ThK 
Sun Jun 14 22:20:36 PDT 2015 --  Shania with this girl! _samballantyne #RockThisCountryTour @ SaskTel Centre https://instagram.com/p/38BbNmKR1i/ 
Wed Jun 10 17:55:13 PDT 2015 --  This is how you decorate a PS4... pic.twitter.com/iLz7mlDsHy
Tue Jun 09 17:10:33 PDT 2015 --  See you never! #ElderScrollsOnline #PS4 Hit me up PSNID: ShowtimeShelest https://instagram.com/p/3ul-DoqRx5/ 
Sat Jun 06 23:49:04 PDT 2015 --  For a 1AM clean my backyard looks pretty good!
Fri Jun 05 21:41:01 PDT 2015 --  #MosaicYQR
Thu Jun 04 15:05:11 PDT 2015 --  Well, at least it’s not Monday.
Thu Jun 04 14:27:08 PDT 2015 --  50 in '07 beer koozie product description: pic.twitter.com/IKzfl1WVQW
