Sat Aug 29 01:48:16 PDT 2015 --  I'm at Sushi King in Kuala Lumpur, WP Kuala Lumpur https://www.swarmapp.com/c/8clmerJVpow 
Fri Aug 28 21:58:32 PDT 2015 --  I'm at Mid Valley Megamall - @midvalleycity in Kuala Lumpur, WP Kuala Lumpur https://www.swarmapp.com/c/aQs03H8K4pq 
Fri Aug 28 09:21:53 PDT 2015 --  Stop thinking so hard about everything. If it feels right, just go. Just do. If it feels wrong, don't think about it anymore and walk away.
Fri Aug 28 09:23:59 PDT 2015 --  See, kejap je happy pastu same je buat perangai lama balik. Thats why aku malas
Fri Aug 28 06:00:09 PDT 2015 --  Bila kau masuk satu kedai and pekerja kat situ pandang kau, ikut kau macam kau bawak bom masuk kedai tu pic.twitter.com/ZGNXQQ8EQn
Sun Aug 23 06:37:28 PDT 2015 --  Time birthday aku tak mintak banyak , aku cuma taknak dapat free call . Aku bukan suka call orang saje2 , cukuplah internet 10gb sebulan
Thu Aug 20 09:28:07 PDT 2015 --  People on le internet trying to do #relationshipgoals like .. pic.twitter.com/Fdxa10MRqx
Mon Aug 17 05:46:16 PDT 2015 --  When you cancelled a plan w a girl, her heart crashes. You'll never know how excited the girl is; choosing the perfect outfit & everything.
Fri Aug 28 03:18:02 PDT 2015 --  @AishahRzm happy birthday abah ecah
Fri Aug 28 03:14:08 PDT 2015 --  Happy birthday babah pic.twitter.com/e5CmrWHLBw
Fri Aug 28 02:58:44 PDT 2015 --  Chocolate indulgence bersama baim hihi pic.twitter.com/PgpjyjzYSR
Thu Aug 27 23:58:46 PDT 2015 --  Choral speaking competition #pmkl #choralspeakingteam https://instagram.com/p/66ve5VwWmmKLNAJUadZzYnrX2lSSDrJpbscfU0/ …
Thu Aug 27 22:29:10 PDT 2015 --  (@ Butik Lily in Kuala Lumpur, Malaysia) https://www.swarmapp.com/c/kXR81uzUP9C 
Thu Aug 27 22:28:43 PDT 2015 --  I'm at KFC in Kuala Lumpur, Malaysia https://www.swarmapp.com/c/bXHlXhNbcMy 
Thu Aug 27 07:12:50 PDT 2015 --  Teruknyaaa ngigau semalam
Wed Aug 26 22:19:54 PDT 2015 --  I'm at Secret Recipe in Kuala Lumpur, WP Kuala Lumpur https://www.swarmapp.com/c/0Gj6uRLxaTu 
Wed Aug 26 19:45:16 PDT 2015 --  ni kalo nak cona kene ambik side pjg kahkahkah https://twitter.com/httpportgas/status/634998956146061312 …
Sat Jun 20 21:11:55 PDT 2015 --  "Kenapa kau suka dia? Tak handsome pun" Don't questioning someone's choice bruh. Tak handsome dimata kau tp perfect dimata aku sorang je pls
Tue Aug 25 20:30:59 PDT 2015 --  Perbezaan tudung perempuan mengikut usia pic.twitter.com/4tPxdkknt2
Tue Aug 25 19:13:05 PDT 2015 --  Every girl has that one boy she will never lose feelings for.
Tue Aug 25 19:08:45 PDT 2015 --  لَا حَوٍلَ وَلَا قُوَّةَ إِلَّا باللهِ La hawla wala quwwata illa billah There is no might nor power except with Allah
Tue Aug 25 01:52:45 PDT 2015 --  ''Bestfriend memang perangai dia macam haram jadah. Tapi perangai dia tu lah yang selalu buat kita rasa happy dan seronok ." Sayang kawan
Mon Aug 24 19:56:48 PDT 2015 --  Penghibur setia🏼🏼 https://instagram.com/p/6ylaGFwWqKAVqHTEWQJfSZWWnHISF8LNwnvI80/ …
Sat Aug 22 06:37:55 PDT 2015 --  Nak balik rumah (@ Jalan AU 1C/1, Taman Keramat Permai) https://www.swarmapp.com/c/j71dWoiq8Rb 
