Fri Aug 28 21:05:20 PDT 2015 --  It's about that time pic.twitter.com/IE5UYiJreP
Fri Aug 28 17:32:01 PDT 2015 --  FB Marshall 7, Houston Madison 0 (2nd, 11:21) #txhsfb
Wed Aug 26 21:40:49 PDT 2015 --  "Thank you for applying. Unfortunately, we have decided to pursue other candidates that better fit our needs..." pic.twitter.com/bTr5tFliOY
Thu Aug 27 21:49:23 PDT 2015 --  THAT'S HIS BROTHER PREPOSTEROUS https://twitter.com/JUDiJAiKRAZi/status/637120809186803713 …
Thu Aug 06 12:49:35 PDT 2015 --  BET voiceovers be like... W/ @Retro_Spectro_ @PastorChojiii #youfunnyb #comedy pic.twitter.com/pG3GUpV4qG
Thu Aug 27 12:39:31 PDT 2015 --  pic.twitter.com/6VxhbVzHS0
Thu Aug 27 21:47:42 PDT 2015 --  SONNN I NEVER LAUGHED SO HARD IN MY LIFE FR CRYING pic.twitter.com/Gbt43p0gyj
Thu Aug 27 10:07:24 PDT 2015 --  Trying to figure out girls like... pic.twitter.com/EkwNXxtYxQ
Thu Aug 27 10:45:05 PDT 2015 --  Why [PROPER NOUN] ain't come home this morning?
Thu Aug 27 10:27:06 PDT 2015 --  #TAMU19 Hullabaloo Hangout come out we got food and festivities
Thu Aug 27 08:01:53 PDT 2015 --  Our bad bro
Wed Aug 19 22:02:27 PDT 2015 --  I don't know how to talk trash I just repeat the things the O-lineman from Fort Bend Marshall HS said to me when we played them in football
Thu Aug 27 07:59:51 PDT 2015 --  https://twitter.com/just_a_goodman/status/634228983492538368 …
Wed Aug 26 18:27:15 PDT 2015 --  Mf's be single for 3 years , Get back w/ they old bae and post shit like " 3/8/11 & strong" Tf out of here , you don't get rollover years
Thu Aug 27 07:03:47 PDT 2015 --  19 years ago today, Outkast released ATLiens. pic.twitter.com/0odkV1FDj3
Wed Aug 26 22:28:58 PDT 2015 --  Only in the H pic.twitter.com/WMAFh9R93h
Wed Aug 26 09:08:29 PDT 2015 --  Tracklist For Travi$ Scott 'Rodeo' Sept. 4th. ft. Future Kanye West The Weeknd 2 Chainz pic.twitter.com/l2hweREqqd
Wed Aug 26 08:23:48 PDT 2015 --  That's sad
Tue Aug 25 22:43:52 PDT 2015 --  I swear pic.twitter.com/8mLrNF2VdS
Tue Aug 25 17:45:27 PDT 2015 --  The Football game btwn @MarshallBuffs & Madison will be broadcasted live on 106.1FM & online, Friday at 7PM. http://kbreezesports.com  #FBISD
