Mon Aug 17 17:12:44 PDT 2015 --  if we’re friends, there’s a 106% chance that I’m always petrified that you secretly hate me.
Mon Aug 17 20:52:00 PDT 2015 --  It's been a long day and I'm seriously mentally and emotionally not ready for school tomorrow
Thu Aug 13 18:32:18 PDT 2015 --  Yaaasssss pizza
Wed Aug 12 15:36:02 PDT 2015 --  #LGG4sweepstakes I need a new phone because the current phone I have now is crap
Wed Aug 12 15:26:44 PDT 2015 --  "IT IS NOT MY FAULT THAT MY PARENTS OWN THE WORLD'S LARGEST COLLECTIONS OF BLACK SANTAS" Literally what I just read in Paper Towns right now
Tue Aug 11 23:33:02 PDT 2015 --  Omg it's already 1:32 am????
Tue Aug 11 23:05:29 PDT 2015 --  Me drawing a vagina on a Jenga tile with a felt marker: "it bled a little." Sydney: "that happens sometimes."
Tue Aug 11 22:11:27 PDT 2015 --  OMFG #MTVScream LITERALLY MAKES ME SO EXCITED/MAD WILL DIED AND I THINK NOAH DIES I CANT HANDLE THIS
Tue Aug 11 21:07:02 PDT 2015 --  Omg I literally have so much anxiety about highschool just thinking about it makes me nervous af
Tue Aug 11 21:06:29 PDT 2015 --  #ScreamMTV is honestly such a good show I'm addicted.
Tue Aug 11 20:14:21 PDT 2015 --  Me and Earl and The Dying Girl is honestly such an amazing book. I love it.
Tue Aug 11 20:13:45 PDT 2015 --  Pancakes are just basically syrup sponges
Tue Aug 11 20:13:30 PDT 2015 --  Who knew pancakes were so soft?
Tue Aug 11 16:39:31 PDT 2015 --  Honestly so worried for highschool this year especially with student council this year
Tue Aug 11 14:19:00 PDT 2015 --  It's impossible to read through an entire YouTube comment thread without finding some stupid argument on religion.
Tue Aug 11 13:57:14 PDT 2015 --  Omfg if this kid even glances at my screen one more time I swear to god he'll be staring at my fist.
Tue Aug 11 13:16:48 PDT 2015 --  Dear girl at the library who keeps coughing uncontrollably while I'm trying to watch a video, Get a fucking cough drop
Tue Aug 11 12:02:45 PDT 2015 --  Like, if I wanted to watch this video with you I WOULD HAVE ASKED YOU
Tue Aug 11 12:02:21 PDT 2015 --  When I'm at the library and I'm on the computer and someone just stares at my screen like I'm watching this video with them makes me mad
Tue Aug 11 08:08:43 PDT 2015 --  School literally starts in a week and I'm not mentally prepared for the useless drama that highschool brings
Mon Aug 10 16:56:14 PDT 2015 --  If I pay $40 for a haunted house I better die
Mon Aug 10 15:30:47 PDT 2015 --  *begin rant* dating is hard *end rant*
Mon Aug 10 16:47:23 PDT 2015 --  Having no money is frustrating.
Mon Aug 10 11:15:31 PDT 2015 --  If I'm arrested today please know I'm not suicidal. I have plenty to live for. I did not resist, I'm just black.
Mon Aug 10 11:04:14 PDT 2015 --  And of course happy birthday @KylieJenner
Mon Aug 10 09:51:42 PDT 2015 --  "Would you mind getting in the oven to clean it?" Me when my parents forget to cook dinner for me.
Mon Aug 10 09:23:12 PDT 2015 --  Happy birthday Michelle! Hope you have a great first day if being 23!!! Oh, and see lots of pugs!! @MichelleKhare pic.twitter.com/o7nfqF6o2b
Sun Aug 09 21:59:04 PDT 2015 --  I'm staying up late watching The Brady Bunch Movie and TV shows that I recorded. Summer's almost over so I'm staying up as long as possible
Sun Aug 09 19:09:04 PDT 2015 --  @kmof Treat yo self pic.twitter.com/AAN4ADrGKG
Sun Aug 09 18:46:47 PDT 2015 --  Okay reading my Greek mythology book makes me feel better because it reminds me how much more I know more than Ema about mythology
Sun Aug 09 18:41:44 PDT 2015 --  Okay I'm done with my "Mythology-Ema" rant
Sun Aug 09 18:40:30 PDT 2015 --  To my parents when I talk/know about mythology it's "weird". But when Ema knows/talks about mythology it's "smart"
Sun Aug 09 18:39:04 PDT 2015 --  But of course she's getting all the credit for knowing about mythology. My parents are calling her the "mythology-expert" like wtf
Sun Aug 09 18:38:30 PDT 2015 --  Like. Ema. You don't know fucking everything. There's people who know more stuff than you about certain subjects
Sun Aug 09 18:37:27 PDT 2015 --  Like. If you try to one up a guy on mythology who's been reading mythology literally his entire life. You're. Not. Going. To. Win. Ema.
Sun Aug 09 18:34:48 PDT 2015 --  I'm internally laughing because my sister is trying to one-up me on Egyptian gods and goddesses yet she only knows the "basic gods"
Sun Aug 09 17:51:22 PDT 2015 --  I try to look comfortable and cool and fashionable but that's hard to do when it's 85° and I'm wearing jeans so its really like 95° to me
Sun Aug 09 17:49:08 PDT 2015 --  Like. Damn people. Just let me read the god damned book and maybe I'll tell you about it afterwards.
Sun Aug 09 17:48:26 PDT 2015 --  Wanting to read a book but then people are gonna be like "WHAT BOOK IS THAT????" "WHATS IT ABOUT????" IS IT A GOOD BOOK???"
Sun Aug 09 17:28:51 PDT 2015 --  Ahhh good old 14 pt sized font... It seems way too small now after seeing the 20 pt sized font
Sun Aug 09 17:28:11 PDT 2015 --  And I just put twitter on 13 pt font and its so small it makes me want to hit something
Sun Aug 09 17:27:37 PDT 2015 --  Omfg I put twitter on 20 sized font and why do they even have that big of a size
