Wed May 20 21:24:46 PDT 2015 --  you said you wouldnt and you fucking did.
Mon Aug 24 21:48:33 PDT 2015 --  why do we pretend like dreaming is so normal? "oh no big deal i'm just about to turn off and enter a new dimension for 8 hours, goodnight."
Fri Aug 28 20:49:06 PDT 2015 --  Ha.... Wowwww
Fri Aug 28 17:48:40 PDT 2015 --  I started craving them out of nowhere but I need them. Now.
Fri Aug 28 17:48:26 PDT 2015 --  I seriously am craving banana peppers soooo fucking bad. I love them and my mouth is watering.
Fri Aug 28 16:27:07 PDT 2015 --  sour apple blow pops 4 life.
Fri Aug 28 14:42:06 PDT 2015 --  That cheese filled hamburger bacon hot dog thing everyone is sharing looks nasty as hell
Thu Aug 27 19:13:18 PDT 2015 --  pic.twitter.com/cUuI7JzuAc
Thu Aug 27 18:08:43 PDT 2015 --  People are damn annoying..
Wed Aug 26 20:26:33 PDT 2015 --  Two very smart men pic.twitter.com/OQ3qy9UDjI
Wed Aug 26 20:58:36 PDT 2015 --  @mikewatkins_ holy shit I forgot about this lol
Wed Aug 26 23:39:10 PDT 2015 --  going through some of my old SD cards tonight and how perfect for this to show up on a thurdsy... so… https://instagram.com/p/64IcnzNdDC/ 
Wed Aug 26 12:30:11 PDT 2015 --  If you could drive a car straight up into the sky, it would take about an hour to reach space, and about 6 months to reach the moon.
Thu Aug 06 23:30:17 PDT 2015 --  Nobody is ever too busy. If they care, they will make time.
Wed Aug 26 21:37:14 PDT 2015 --  The same one that I've been to your house with a million times
Wed Aug 26 21:37:02 PDT 2015 --  I saw my dad at the gas station today he was in his 18 wheeler he goes "you got a new car...?" No its the same one dad...
Wed Aug 26 20:39:25 PDT 2015 --  I wanted to get on this the other day... but it wasn't even going up that high.. just up and down...… https://instagram.com/p/63z4HStdJZ/ 
Wed Aug 26 19:32:22 PDT 2015 --  God... stop pretending online you're something you're not sick fuck
Wed Aug 26 19:31:37 PDT 2015 --  I'm sorry don't act like you don't fucking message you when messages don't erase themselves... don't fuck with the fakery
Wed Aug 26 19:31:08 PDT 2015 --  The worst kind of people are those who message you often but then pretend to their bitch they don't and say they never talk to you.. LOLOL
Wed Aug 26 17:52:52 PDT 2015 --  Yeah your texts are annoying
Wed Aug 26 16:59:12 PDT 2015 --  Inky binky bonky daddy had a donkey. Donkey died. Daddy cried. Inky binky bonky.
Wed Aug 26 16:47:40 PDT 2015 --  https://instagram.com/p/63ZWpatdJA/ 
Tue Aug 25 14:30:06 PDT 2015 --  is this where i post something sad in the caption box? https://instagram.com/p/60k0LMtdFf/ 
Mon Aug 24 20:51:52 PDT 2015 --  Go for it. Whether it ends good or bad, it was an experience.
Mon Aug 24 20:55:07 PDT 2015 --  I watched mulan earlier though
Mon Aug 03 23:30:08 PDT 2015 --  You're just misunderstood. Don't sweat it, they don't comprehend you.
Sun Aug 23 18:22:30 PDT 2015 --  I need a beer lol
Sun Aug 23 08:50:04 PDT 2015 --  Hahaha hahaha pic.twitter.com/bf7ZkoSlQ5
Sat Aug 22 01:40:33 PDT 2015 --  A fucking snake just fell from joleens basement ceiling... like what
Fri Aug 21 21:49:55 PDT 2015 --  Ohhhh
Fri Aug 21 10:29:01 PDT 2015 --  @mikewatkins_ Yes we do ;) pic.twitter.com/OCaK7vrOA0
Thu Aug 20 17:08:02 PDT 2015 --  It looks creepy outside .
Thu Aug 20 17:37:40 PDT 2015 --  I want a parrot.
Thu Aug 20 17:35:57 PDT 2015 --  I adore the rain. I really do.
Thu Aug 20 17:33:06 PDT 2015 --  sitting outside under the gazebo thinking for a few.
Thu Aug 20 15:09:10 PDT 2015 --  yes I am excited right now about this sour cream coming in a squeeze bag... I am super happy. My life… https://instagram.com/p/6nxT__tdNa/ 
Thu Aug 20 10:47:57 PDT 2015 --  you need to calm down bitch
Tue Apr 07 20:03:58 PDT 2015 --  eventually you just stop trying with some people
Wed Aug 19 21:06:21 PDT 2015 --  come TO ME. pic.twitter.com/u3O53yMKse
Sun Aug 16 10:21:17 PDT 2015 --  I'm only obligated to wake up beautiful
Wed Aug 19 07:13:41 PDT 2015 --  So there was just a snake outside...im not okay with this.
Tue Aug 18 16:59:13 PDT 2015 --  ahaahahaa pic.twitter.com/P2k8JvymAc
Tue Aug 18 16:58:46 PDT 2015 --  MIGRAINE GO AWAY. thanks and bye
Tue Aug 18 16:53:32 PDT 2015 --  sitting under the gazebo in the rain
Tue Aug 18 14:32:14 PDT 2015 --  What's with all the Facebook friend requests though
Tue Aug 18 14:19:13 PDT 2015 --  Holy gorgeous https://twitter.com/GreaterThn/status/633749021023014912 …
Tue Aug 18 10:33:24 PDT 2015 --  It's obnoxious as hell to even have a fucking song as your text tone and keep letting it go off in public. Annoying
Tue Aug 18 10:32:57 PDT 2015 --  I can't stand when people have a song as their ringtone and just let it keep going off and off and off in public. Turn your shit down.
Tue Aug 18 10:05:03 PDT 2015 --  I have been sweating for what seems like 4 days straight literally I'm over summer. I'm over it. I can't take it
Tue Aug 18 10:04:15 PDT 2015 --  I hate 'ing in public places. good thing this is a hair salon and it's clean though..
Tue Aug 18 09:47:09 PDT 2015 --  reasons to date me: i laugh at my own jokes so you dont have to but u probably will bc im hilarious
Tue Aug 18 09:47:56 PDT 2015 --  She's chopping all her hair off omg
Sat Aug 08 17:55:37 PDT 2015 --  I'm fucking dead pic.twitter.com/fux0BlEwyE
Mon Aug 17 17:03:33 PDT 2015 --  sometimes the inside of cake looks beautiful and weird but beautiful https://instagram.com/p/6gQBF8tdEO/ 
Mon Aug 17 13:08:25 PDT 2015 --  I can't believe they still make these shits I had these shits when I was a young warthog https://instagram.com/p/6f1HBhNdCv/ 
Mon Aug 17 13:06:44 PDT 2015 --  Beetlejuice Beetlejuice https://instagram.com/p/6f06rVNdCM/ 
Mon Aug 17 00:06:32 PDT 2015 --  you may say that I'm a dreamer but I'm not the only one. pic.twitter.com/NNWIsNWsoP
Sun Aug 16 23:57:10 PDT 2015 --  @PackagedLeaf_ shreading pic.twitter.com/nEVxwiqn2Y
Sun Aug 16 23:53:12 PDT 2015 --  @_asapang that was deep. I'm shreading tears for you
