Fri Aug 28 07:20:24 PDT 2015 --  ビール→カクテル→日本酒という黄金の系統で見事にグロッキー。
Fri Aug 28 07:12:04 PDT 2015 --  仙台発祥と言われるカクテル、レゲエパンチを牛角でいただいた。(というか後輩のを飲ませてもらった。)桃の味がしたけど、別名がピーチウーロンってやっぱ桃がはいっていたんですね。
Fri Aug 28 07:01:22 PDT 2015 --  今が8月なんて嘘だろう?僕には９月中旬くらいにしか思えん。涼しいのはいいが、暑いのが好きな僕としては複雑な今日このごろである。
Fri Aug 28 06:33:12 PDT 2015 --  牛角で送別会終了。２時間のところを終了後も話だけで２時間もいた。計４時間。とても有意義でした。
Thu Aug 27 06:24:19 PDT 2015 --  【速報動画】ボルトが四連覇！世界陸上200m決勝　 1 ボルト（ジャマイカ）19秒55 2 ガトリン（アメリカ）19秒74 3 ジョボドワナ（南アフリカ）19秒87 #世界陸上 #200ｍ #ボルト #決勝 #TBS https://amp.twimg.com/v/d769a057-abab-4ea9-a09b-58ab7c74f7a9 …
Wed Aug 26 04:29:13 PDT 2015 --  アルコールの入ったブドウジュースでよっぱらったなう。
Wed Aug 26 03:54:40 PDT 2015 --  三画面同時に映らないかな。高校野球U１８、バレーボールワールドカップ、世界陸上。でも、高校野球が一番面白い。
Mon Aug 24 06:40:10 PDT 2015 --  何の挨拶もなく、明らかにリフォロー（フォロー返し）目的で僕をフォローしてくるアカウント（極端にフォロワーよりフォローしている数が多いとか、フォロワーが１万越えている方とかなど）は、興味あるツイートをしていない限り基本フォロー返しはいたしませんのでのであしからず。最近多いんだよな。
Sun Aug 23 06:26:49 PDT 2015 --  ウサイン・ボルト、せったら負けないところはかつてのカールルイスみたいだな 。
Sat Aug 22 05:06:52 PDT 2015 --  ああ、愛しのブルートレインよ、明日の朝でほんとに最後だな。僕がブルートレイン乗ったのは、両親の実家のある徳島の帰りに、当時は宇野から東京までだった瀬戸号に1回だけ。日本からブルートレインが消える日が来るとは、時代の流れとはいえ寂しいもんだ。臨時北斗星号福島駅５時３８分発車です。
Fri Aug 21 21:27:46 PDT 2015 --  にぼしみそラーメン７７０円。煮干の節が浮いてるー。 pic.twitter.com/xFDUMZ81kJ
Thu Aug 20 20:01:25 PDT 2015 --  今日は小雨が降ってます。桧原湖畔より pic.twitter.com/s6zBM9DZIJ
Thu Aug 20 16:29:37 PDT 2015 --  ブレックファーストです。ピザ風のトーストが美味しかったです。マカロニサラダにかかったシソも香ばしかったです。 pic.twitter.com/HnHpeMvzvz
Thu Aug 20 15:48:30 PDT 2015 --  高原(裏磐梯)の朝は、半袖では肌寒いくらいです。 pic.twitter.com/azeC4YGKH3
Thu Aug 20 15:03:53 PDT 2015 --  おはようございます。裏磐梯は、寒いくらい涼しい朝です。
Thu Aug 20 06:33:40 PDT 2015 --  やっぱそうなんですね。イタリアにスパゲティーナポリタンが無いのと同じことですね。 https://twitter.com/kyoko3978/status/634355420958605312 …
Thu Aug 20 06:17:46 PDT 2015 --  仙台育英・佐藤世那「１番悔しくて１番楽しかった」 http://headlines.yahoo.co.jp/hl?a=20150820-00000091-nksports-base … #Yahooニュース 俺は力の差はほぼなかったって思ってます。エースがひとり多かったのが東海大相模との差でしょう。勝ち負けより得たものがあったって、スポーツっていいですね。
Thu Aug 20 05:19:20 PDT 2015 --  噴煙じゃなくただの雲だったみたいです 。 pic.twitter.com/VEwEONXvcf
Thu Aug 20 05:02:00 PDT 2015 --  ペンションってのはお得感高いですね。総額９０００円未満で美味しいお料理が食べられ、オーナーさんとの会話も弾んだり、ホテルとは違った時間が楽しめます。 pic.twitter.com/XrlWQ6PCo1
Thu Aug 20 03:51:37 PDT 2015 --  遅ればせながらお盆休みをとっております。今日から３連休です。今日泊まったペンションです。
Thu Aug 20 03:14:08 PDT 2015 --  メインディッシュ来たー。 pic.twitter.com/bm4rbLt0Kd
Thu Aug 20 03:08:00 PDT 2015 --  ペンションでお食事中なうじゃ。 pic.twitter.com/amssybjIXM
Wed Aug 19 22:17:22 PDT 2015 --  磐梯山、噴煙じゃないよね?桧原湖畔より pic.twitter.com/UoxRCINle9
Wed Aug 19 20:12:09 PDT 2015 --  裏磐梯のブラックセブンに来た。 pic.twitter.com/SsDyGg6F6n
Tue Aug 18 05:11:42 PDT 2015 --  ハイレゾって聞いてハイレグをイメージする俺はやっぱエロオヤジなんだろうな。
Tue Aug 18 04:34:48 PDT 2015 --  負けるな、みんな。 https://twitter.com/yoshishi5451/status/633600268987338752 …
Mon Aug 17 05:58:15 PDT 2015 --  ８月２０、２１日と妻と裏磐梯の檜原湖に行ってカヌーを体験してくる。晴れるといいんだが、その前に体力が心配だ。
Mon Aug 17 05:52:41 PDT 2015 --  少しずつ涼しくなっているという感じ。
Mon Aug 17 05:43:56 PDT 2015 --  早実の清宮君もいいけど関東第一のオコエ君もいい。オコエ君、ファンになっちゃいそうです。今日の決勝ホームランで勝負強さも見せてくれました。介護職のいいところ。高校野球ときどき観戦しながら仕事できます。（あくまでも入所さまが見るという名目です。）明日も全試合みよっと。
Sun Aug 16 06:48:58 PDT 2015 --  僕の高校野球の予想。決勝は仙台育英vs東海大相模です。これならどっちが勝ってもいい。でも育英だよね。
Sun Aug 16 05:04:13 PDT 2015 --  今年の夏の高校野球は東北勢が強い。聖光だって相手が強すぎただけかもしれない。でも、今日と明日の組み合わせには納得出来ないですよね。なんで２日続けて東北勢同士が?高野連に奥羽越列藩同盟の時の世良修蔵みたいな奴がいて、わざと東北同士を戦わせてんじゃないの?って言いたくなるよね。
Sat Aug 15 05:18:20 PDT 2015 --  Thanks for your following.でいいのか?
Sat Aug 15 05:15:37 PDT 2015 --  なんか、1日で2件の見知らぬ外国人の方にフォローされた。
Fri Aug 14 07:48:50 PDT 2015 --  鶴岡東vs花咲徳栄は、故郷より東北を応援します。ま、出身校か川越近辺の学校、浦和学院が出ない限りはですが。
Fri Aug 14 05:02:58 PDT 2015 --  花巻東と仙台育英がこんなに早く当たるとは思わなんだ。せめて準々決勝まで当たらんでほしかった。
Thu Aug 13 08:00:20 PDT 2015 --  １９７９ガンダム、昨日全４３話fuluで見終わった。懐かしかった同時に当時の中学生だった頃とは違った視点で見れた。おっさんになって見ても充分楽しめる。特に大気圏突入のシーンとか、後半のジオンのザクが学徒動員だったりリアルに仕上がっています。
Tue Aug 11 06:51:55 PDT 2015 --  強くなりたいのはわかります。でもこういうふうに簡単に首切るのって応援する側もシラケてしまう。もうちょっと辛抱強くつかうことできないんでしょうかね?ハモンドなんか一回も登板しないで首だし。シーズン前に買った選手名鑑とずいぶん違う。 https://twitter.com/fukushimaHOPES/status/630984835918626816 …
Tue Aug 11 06:43:01 PDT 2015 --  この時間ってみんなスマホやるからか、YouTubeが途切れ途切れになる。回線が限界なんかな?デフレパードとPerfumeのライブ行く予定なんで、勉強しとこと思ってんだけど。(Perfumeは名前しか知らんぞ。)
Mon Aug 10 07:58:00 PDT 2015 --  夜の陣場町を徘徊してみた。車できたのですが、久々なんで。 pic.twitter.com/V9HI0fRACH
Mon Aug 10 07:26:11 PDT 2015 --  仕事終わって、街の雰囲気味わいたくなってくさびに来ちまった。やっぱ、月曜にしては賑わってる福島市内であった。今日は味噌とんこつつけ麺。 pic.twitter.com/vCWzq8bi2l
Sun Aug 09 07:39:29 PDT 2015 --  いや賑やかだ。
Sun Aug 09 07:28:40 PDT 2015 --  それにしてもコンビニ賑やかだ。
Sun Aug 09 07:21:31 PDT 2015 --  今日ほんとに日曜なんか?コンビニは土曜日の賑わいじゃ。サマーバケーションか。
Sat Aug 08 04:13:39 PDT 2015 --  素敵な村祭りって感じで好きです。丸森『町』だけど。 #齋理幻夜 pic.twitter.com/NddUK7jk7S
Sat Aug 08 02:41:29 PDT 2015 --  私は丸森の人間じゃないはずなのにすっかり楽しんでおります。 #齋理幻夜 pic.twitter.com/KW79n4GQ6o
Sat Aug 08 07:38:10 PDT 2015 --  妻が１週間ほど家を不在にしているので(仲は至極良好です) 、ここで愚痴を言いまくっている私であった。
Sat Aug 08 07:33:50 PDT 2015 --  金水晶の純米酒だけど、安い晩酌酒ヾ(@⌒¬⌒@)ノ ウマヒィ。
Sat Aug 08 07:15:06 PDT 2015 --  くそー、最近の若い女は礼儀がなっとらんーーーー、と職場の２５歳も若い女の子にイライラを感じながら酒を呑むアラフィフのオヤジであった。
Sat Aug 08 06:04:38 PDT 2015 --  じょーもぴあ宮畑はお客さんいっぱい来たのかな？ちょっとだけ関わってたので気になるんだな～。みんなに楽しんで欲しいな。縄文遺跡抜きにしても遊具もあるし芝生は広いし、小さい子供さんには楽しめると思いますよ～。
Sat Aug 08 07:06:58 PDT 2015 --  なんか早くも秋を感じますね。コオロギが鳴いたりと。
Fri Aug 07 06:53:23 PDT 2015 --  ジャミーメローってのがｍｏｒａで無料だったからハイレゾ音源でダウンロードしたけど 、おお、こりゃえー(音質が)。きゃりーぱみゅぱみゅみたいだな。
Fri Aug 07 06:25:21 PDT 2015 --  熱く語ってしまった。でも、今夜は涼しい。
Fri Aug 07 06:22:47 PDT 2015 --  私は、この案をダメもとで、市長への手紙や直属の部署へメールなどでアピールしていきたいと思っている。
Fri Aug 07 06:22:44 PDT 2015 --  そういう意味では、問題もあったがプレミアム商品券なんていうのはいいと思う。伊達市でいえば、健幸都市をうたっているのだから、もっと市民にわかりやすい形で健幸都市を具現化してもらいたいものだ。例えば東根川沿いに王子コンテナーからみずほ団地辺りまで遊歩道を両岸に作ればおもしろいと思う。
Fri Aug 07 06:22:40 PDT 2015 --  先の４つにも言えることだが、地方創生のポイントはただ外部にアピールする町おこし的な要素だけではないこと。大事なのは、そこに住む人がそれを享受して生活の一部として楽しむということ。それによって、そこにずっと住んでいたいという意欲がわく。この意欲こそが地方創生の最大のカギとなる
Fri Aug 07 06:22:36 PDT 2015 --  これからのキーワードとして地方創生があげられる。地方創生とは地方らしさを創り出しそれを活かすことである。その中で注目している４つのブームがある。B級グルメ、ご当地ゆるキャラ(ご当地ヒーロー)、道の駅、そしてプロスポーツ(JリーグのJ3創設やBCリーグなどの独立リーグ)である。
Fri Aug 07 05:50:37 PDT 2015 --  首位攻防第2ラウンドもホープスが制す！これで同率首位！
Fri Aug 07 05:49:35 PDT 2015 --  オイオイ仁志田市長、福島DC時の伊達市を訪れた客の入込み数で震災前に近づいたとか、なに語ってんのよ。あれはお祭りみたいなもんで平時と比較せにゃ意味なかろう。これからですよ。お願いしますよ。
Fri Aug 07 04:40:41 PDT 2015 --  ｗ（￣△￣；）ｗおおっ！明日は終日３０℃以下ではないか。
Thu Aug 06 05:23:20 PDT 2015 --  ハイレゾ音源ってすごいな。お試しで聴いてみたけど、これ聴いたら今までのが音質悪く聴こえてしまうから困ったもんだ。
Wed Aug 05 22:33:14 PDT 2015 --  昨今、最高気温争いが気温とともにヒートアップしてますが、群馬の舘林は何年か前から建物が周りにあったりアスファルトが近かったりの照り返し熱源が多いとかでずるいと言われているそうです（気象台は否定している）。梁川は潔白です。左館林、右梁川 pic.twitter.com/5Ii7S9sbrI
Wed Aug 05 06:55:09 PDT 2015 --  やっぱスカイラインのテールは秀逸だ。ま、コルベットのパクリだが。
