Thu Aug 27 19:10:09 PDT 2015 --  Just posted a photo https://instagram.com/p/66OdJpJmD-/ 
Thu Aug 27 12:33:13 PDT 2015 --  Jetez un coup d'œil au Tweet de @VladBerry509 : https://twitter.com/VladBerry509/status/633378828220506112?s=09 …
Mon Aug 17 13:44:14 PDT 2015 --  A vendre: Samsung Galaxy Exhibit 4G Unlocked GSM avec une carte mémoire de 16GB comme bonus et un… https://instagram.com/p/6f5NWzJmCl/ 
Sat Aug 15 20:48:47 PDT 2015 --  Just posted a photo https://instagram.com/p/6bgNDfpmJc/ 
Sun Aug 02 14:20:20 PDT 2015 --  #welcomeTweet @freshup2011 @franckguerrier @RadioxtraFM @RLuzincourt @magdachie @Charlesfrantzg1 @VladBerry509 via http://uapp.ly 
Wed Aug 12 16:37:24 PDT 2015 --  Clean Master,j'ai libéré 318MB au total.Voyez si vos amis peuvent libérer plus de fichiers inutiles sur mon appareil! http://bit.ly/1q72uaT 
Wed Aug 05 10:59:28 PDT 2015 --  A VENDRE: IPHONE 3gs GSM DECODER, memory interne 32gb. NB. vitre avant fissurer En très bon état… https://instagram.com/p/6As0EmpmPG/ 
Fri Jul 31 12:09:40 PDT 2015 --  Ce vendredi, la lune sera bleue ! https://shar.es/1sMdzo 
Fri Jul 31 12:02:14 PDT 2015 --  Le staff WORLD SATELLITE envoie une grande salutation à Francine Seguy !!!
Fri Jul 31 10:55:14 PDT 2015 --  Im back
Tue Mar 10 14:14:19 PDT 2015 --  . @Digicel_TopUp is giving away 100 Amazon gift cards and thousands in Bonus Credit sometime soon. https://www.quikly.com/891-digicel/t/HqZarhc-twt?utm_campaign=891-digicel&utm_content=173&utm_medium=referral&utm_source=twitter … #DigicelQuikly
Thu Jul 04 09:38:41 PDT 2013 --  Check out Vonage Mobile for free calls, video chat, texting and photo sharing for free. Download at http://download.vonagemobile.com/vmapp  #vonagemobile
Tue Jun 25 19:12:26 PDT 2013 --  Je m'éclate sur CSR pour iPhone, tu viens me rejoindre ? C'est GRATUIT ! http://nmgam.es/csr_invite_twitter …
Tue Jun 25 18:54:14 PDT 2013 --  Vise un peu ma caisse dans #CSRRacing pour iPhone! Essaye-le, c'est GRATUIT! http://nmgam.es/csr_invite_twitter … pic.twitter.com/gLsIckYLhY
Mon Feb 11 15:14:43 PST 2013 --  A VENDRE: BlackBerry 9900 9800 9790 9780 9700 9360 9320 9300 8520. Add pi gwo Dealer peyi d'ayiti a VladBerry BBM pin:218561A9 Tel:31548484.
Sun Feb 03 17:33:14 PST 2013 --  Gen 1 bel tidam ki raz epi ki vreman trist. Li ta renmen yon garcon special relel paske lanvi fe vil relasyon serye. Lendjina 3840-6938
Thu Jan 31 12:04:23 PST 2013 --  Claude Jacques Limontas a écrit: Nou tap mande piyay ! Men youn: BLACKBERRY TORCH 9800» call me +50937665281pou plis information !
Wed Jan 30 08:10:03 PST 2013 --  That's right, Skype and Amazon Kindle will be coming to #BlackBerry10 devices http://blck.by/YEi30x   ^MM
Wed Nov 14 06:38:19 PST 2012 --  Si EX mennaj ou a di'w oupap janm jwenn yon moun tankou'l nan vi'w anko, oudwe kontan e remesye BonDye, paske si'l te bon nou patap kite.
Fri Nov 09 13:37:21 PST 2012 --  Curve 8520 ak Bold 9700 an trè bon éta a prix piyay ou men'm kite bezwen BBM kouri rele kounya pou fè pran pa'w la ok men nimewo a 3154-8484
Mon Sep 10 15:58:52 PDT 2012 --  Digicel BlackBerry Curve 9360 a $350us et 9320 a 275us neuf. Option des 2 BB: Radio FM, Routeur Wireless et OS 7.1. Tel: 3154-8484
Sun Sep 09 19:03:57 PDT 2012 --  BB Curve 9320 touneuf, Radio FM, Routeur Wireless capable de distribué du signal d'internet et OS 7.1. Tel: 3154-8484. pic.twitter.com/L2gs51qq
Sun Sep 09 19:02:24 PDT 2012 --  BB Curve 9320 touneuf, Radio FM, Routeur Wireless capable de distribué du signal d'internet et OS 7.1. Tel: 3154-8484. pic.twitter.com/mtfmx69f
Sun Sep 09 19:01:56 PDT 2012 --  BB Curve 9320 touneuf, Radio FM, Routeur Wireless capable de distribué du signal d'internet et OS 7.1. Tel: 3154-8484. pic.twitter.com/HRkTl3RE
Sun Sep 09 19:00:31 PDT 2012 --  For sale! BlackBerry Curve 9320 touneuf, Radio FM, Routeur Wireless capable de distribué du signal d'internet et OS 7.1. Tel: 3154-8484
Mon Sep 03 10:13:08 PDT 2012 --  A Vendre Tel: 3154-8484 #mypicmix http://mypicmix.com/a/NjE0MDQwOTc= 
Thu Aug 30 13:39:30 PDT 2012 --  A Vendre BB Curve 9320 avec accessoire complète, il est un Routeur Wireless capable de distribué du signal d'internet. $300us ou $2520HT
Mon Aug 27 17:27:19 PDT 2012 --  Bilan Isaac: 19Morts,6Disparus,22Blessés,15812Évacués,14672En Abri,951Maisons Inondées,335Détruites,2346Endommagées
Mon Aug 27 17:24:06 PDT 2012 --  A Vendre BB Curve 8520 en très Bonne Etat avec accessoire complet dans sa boite: batt,usb,charjeur,livre,CD,screen protector. 3154-8484 Vlad
Wed Aug 22 06:30:48 PDT 2012 --  Si ou Bezwen achte BlackBerry,Machin. Lwe ak achte Teren,Kay. On Vladberry509 nan 40404 oubyen si ou pa gen Twitter rele nan 3154-8484.Mesi
Tue Aug 21 05:00:51 PDT 2012 --  Appartement a louer pour business ou résidence privée: Mariani 10 #24 Call now 3154-8484
Tue Aug 21 04:59:37 PDT 2012 --  Terrain a Vendre a Gressier: 8 centième 100/100m, une partie du terrain a un sol clôturer. Call now 3154-8484
Tue Aug 21 04:58:58 PDT 2012 --  Terrain a Vendre a Fermath zone Kenscoff: 7 centième a bon prix. Call now 3154-8484
Sat Aug 18 15:47:48 PDT 2012 --  Wi fout men sa'n tap tan'n'lan rive nouvo BlackBerry Curve 9320, radio,router wireless,OS7.1 relem kounya nan 31548484. pic.twitter.com/3oimQaDT
Thu Aug 16 12:20:05 PDT 2012 --  M'sonje yon lè yon profesè mete'm deyò nan klas poutèt mwen site non li twò rapid san'm pa poze. non pwofesè a se "Carl Ebram Chery" lollll
Thu Aug 16 11:54:40 PDT 2012 --  Voye profil nou Konsa : Pren : Nom : Age : Lieu: Niv : Obj : #tel: Voye profil nou ak 10 Goud sou 31548484 kounya nap pasel pou ou sou rezoa
Thu Aug 16 11:45:46 PDT 2012 --  Follow rezo sa yo siw bezwen achte BlackBerry,Laptop,Voiture,Terrain,Maison ect. On VladBerry509 et On Misyon07 nan 40404 epi pwodwi piyay
Thu Aug 16 11:43:30 PDT 2012 --  Mwen voye Big Up pou Misyon07 kap fe bon travay ON MISYON07 nan 40404.
Thu Aug 16 11:41:52 PDT 2012 --  Follow rezo sa yo siw bezwen achte BlackBerry,Laptop,Voiture,Terrain,Maison ect. On VladBerry509 et On Misyon07 nan 40404 epi pwodwi piyay.
Thu Aug 16 11:40:03 PDT 2012 --  Nouvo stock Orijinal BlackBerry a pri piyay ki gen Radio FM, Router Wireless, OS7.1. Rele kounyen an 3154-8484 BBM Pin:2A270FA8 VladBerry.
Wed Aug 15 14:06:17 PDT 2012 --  Follow rezo sa yo siw bezwen achte BlackBerry,Laptop,Voiture,Terrain,Maison ect. On VladBerry509 et On Misyon07 nan 40404 epi pwodwi piyay.
Wed Aug 15 14:04:24 PDT 2012 --  Follow rezo sa yo siw bezwen achte BlackBerry, Laptop, Voiture, Terrain, Maison ect. On VladBerry et On Misyon07 nan 40404 epi pwodwi piyay.
Wed Aug 15 14:01:26 PDT 2012 --  Follow rezo sa yo siw bezwen achte BlackBerry, Laptop, Voiture, Terrain, Maison ect. On VladBerry et On Misyon07 nan 40404 epi pwodwi piyay
Wed Aug 15 13:49:20 PDT 2012 --  Follow me on Twitter oubyen On VladBerry509 nan 40404
Wed Aug 15 12:13:45 PDT 2012 --  Follow me on Twitter @VladBerry509 BlackBerry Dealer !!!
