Fri Aug 28 17:10:47 PDT 2015 --  rt if you wish you were here right now pic.twitter.com/wcXDFd8dZP
Thu Aug 27 20:40:02 PDT 2015 --  MY ANACONDA DON'T WANT NONE UNLESS YOU...have a college degree and a stable income. Seriously, get your shit together.
Thu Aug 27 16:03:45 PDT 2015 --  RT to win a bikini of your choice! Ends Sunday @ 11pm EST! MUST be following to win! Will pick 5 winners! pic.twitter.com/HNyVLkmUOr
Thu Aug 27 11:55:06 PDT 2015 --  when the problem asks what the problem is pic.twitter.com/n1xYJCWSuT
Thu Aug 27 11:38:25 PDT 2015 --  FOR REAL THOUGH pic.twitter.com/8em9qgwvvl
Tue Aug 25 12:10:04 PDT 2015 --  Deodorant isn't optional Deodorant isn't optional Deodorant isn't optional Deodorant isn't optional Deodorant isn't optional
Sat Aug 22 14:04:34 PDT 2015 --  NEW VIDEOOOO!!!!! 🏼 https://youtu.be/0Ieovv5h7HI 
Fri Aug 21 11:30:08 PDT 2015 --  This is me http://twitter.com/SoDamnTrue/status/634544823660335108/photo/1pic.twitter.com/OdPB7XQWBP 
Tue Jul 21 12:36:40 PDT 2015 --  I've watched this soooo many times http://vine.co/v/OK1mWIqO6K7 
Sat Aug 15 03:32:51 PDT 2015 --  *likes photo* *reads caption* "like for a tbh" *unlikes photo*
Fri Aug 14 20:41:07 PDT 2015 --  Rachel snaps make my day @rclbeauty101 pic.twitter.com/A9q5Sc0Uzf
Fri Aug 14 16:32:59 PDT 2015 --  Conversation I just had with @JulienSolomita I'm pic.twitter.com/pOFaTgrZ68
Thu Aug 13 23:46:38 PDT 2015 --  I'm so sweaty. I want to unsweaty. Halp.
Sun Aug 09 13:53:27 PDT 2015 --  What is this omg pic.twitter.com/DsAlf1VPzz
Fri Aug 07 20:30:36 PDT 2015 --  Ya know yer sanging good when ya lose yer balance & fall over in the vocal booth 🏼
Wed Aug 05 17:28:52 PDT 2015 --  I just pranked Julien and I'm really proud of myself. Video coming.
