Sun Aug 16 11:30:16 PDT 2015 --  Exclusively at @CVS_Extra try our new granola bars: oats & the blood of ancestors. #nutrition
Sat Aug 15 21:38:34 PDT 2015 --  Remember eating @oatmealsticks is against the bible. According to Lithuania 4:69, Christopher are an oatmeal stick, and it was shit.
Fri Aug 14 19:36:37 PDT 2015 --  Remember to study for finals using Nature Valley Crunchy Granola Bars new sponsored study book: Barron's AP Crying #backtoschool
Fri Aug 14 19:33:38 PDT 2015 --  The only real sport is digesting food. #fitness
Fri Aug 14 19:31:03 PDT 2015 --  Octopi are weak willed,
Fri Aug 14 19:10:14 PDT 2015 --  Great first date idea: fill a ukulele with beans, rice, salsa, and chicken, and cook it! Homemade burrito's are always fun! #nutrition
Fri Aug 14 19:08:09 PDT 2015 --  Eating Nature Valley Crunchy Granola Bars gives you the superpower which is eating Nature Valley Crunchy Granola Bars. #AntMan
Fri Aug 14 07:27:00 PDT 2015 --  Try our new Nature Valley Crunchy Granola Bars: Shiny and Chrome! perfect for a summer road trip to Valhalla!
Fri Aug 14 06:57:39 PDT 2015 --  try new Nature Valley Crunchy Granola Bars: gun and honey!
Fri Aug 14 06:49:22 PDT 2015 --  corn on the cob is my favorite bedroom toy #selfie
Fri Aug 14 06:44:15 PDT 2015 --  Giveaway time! In select boxes of Nature Valley Crunchy Granola Bars, you can find a free piece of @SenJohnMcCain !!!
Fri Aug 14 06:39:49 PDT 2015 --  I gave satan four dollars for him to touch me fondly. #GOPDebate
Fri Aug 14 06:36:25 PDT 2015 --  Try our new oats and sin granola bars
Fri Aug 14 06:16:24 PDT 2015 --  Hey! @NatureValley69 Fuck you!
Thu Aug 13 14:32:35 PDT 2015 --  git gud #SSB3DS
Thu Aug 13 14:26:34 PDT 2015 --  eat a "granola bar" using your left hand #lefthandersday
