Mon Aug 24 19:32:01 PDT 2015 --  pic.twitter.com/188dmT0qR0
Thu Aug 27 17:36:15 PDT 2015 --  College is like the episode of Drake & Josh when they work in a sushi place & the conveyor belt is too fast and it just keeps coming anyway
Thu Aug 27 11:02:12 PDT 2015 --  Fetty Wap's "Trap Queen" is about a girlfriend of his who learned how to cook crack and shared it with him.
Tue Aug 04 13:58:48 PDT 2015 --  LMAOOOOO HE USED THE SANDLOT pic.twitter.com/gNNuRNWZIc
Thu Aug 27 04:52:35 PDT 2015 --  I get a workout everyday climbing/running up 3 flights of stairs #whoneedsagym #iprobablyalreadylost10lbs #imstilltrynacatchmybreath
Wed Aug 26 19:49:39 PDT 2015 --  Im tryna make it there too https://twitter.com/angelthong/status/636389664325107712 …
Tue Aug 25 18:32:26 PDT 2015 --  me on the second day of school https://vine.co/v/eieAUqzV11m 
Tue Aug 25 19:07:01 PDT 2015 --  Im also very excited to inform you guys especially my international fans, that this 'YEOJA' album will have lots of English expressions :)
Tue Aug 25 17:03:35 PDT 2015 --  When you get too excited thinking today's a different day of the week
Mon Aug 24 07:52:19 PDT 2015 --  That first day when everybody's so awkward... Even though im awkward till the last day.
Mon Aug 24 07:52:19 PDT 2015 --  I dont think i'm ready
Mon Aug 24 06:07:07 PDT 2015 --  Bored out of my mind. #bored
Mon Aug 24 05:52:18 PDT 2015 --  Sitting in the cafeteria. #loner
Mon Aug 24 05:51:04 PDT 2015 --  But forgot deodarant. #unprepared
Mon Aug 24 05:50:44 PDT 2015 --  Got to school an hour early. #prepared
Sat Aug 22 23:17:15 PDT 2015 --  Fire alarm in my room keep trippin. Wtf.
Sat Aug 22 15:15:53 PDT 2015 --  Straight Outta Compton with the fam
Sat Aug 22 12:32:37 PDT 2015 --  Found $10 from an old birthday envelope while cleaning out my room now i can buy popcorn for the movie #tearsofjoy @chy7ynx3
Fri Aug 21 15:08:07 PDT 2015 --  https://twitter.com/tgm_events/status/634847611963473921 …
