Sun Aug 23 07:56:15 PDT 2015 --  欠点者課題終わらんしんど～ㅅㅅ
Sat Aug 22 05:23:44 PDT 2015 --  【字幕】Vアプリ 弟ライン♡100日記念愛嬌♡ ヒョンウォンさん夏から長袖着てましたよね？← @OfficialMonstaX #형원 #주헌 #아이엠 #일본어자막 pic.twitter.com/KRofzkjZLd
Sat Aug 22 10:08:14 PDT 2015 --  わしとまりさも仲いい
Sat Aug 22 10:07:00 PDT 2015 --  けど割とハンソルとディエイ仲いい
Sat Aug 22 09:58:06 PDT 2015 --  いやずんピそれはだるいはうちのハオちゃん折れるやろがい
Fri Aug 14 08:46:13 PDT 2015 --  ブレブレごめんなさい…ただこの人達メインじゃないときの方がいちゃついてるねん← https://vine.co/v/edYxhQjM7F9 
Sat Aug 22 09:56:02 PDT 2015 --  ましゃーないㅅ
Sat Aug 22 09:55:48 PDT 2015 --  電車で占ツク読んでニヤニヤしてたらカップルの男に足踏まれる我の人生、、、
Sat Aug 22 09:54:55 PDT 2015 --  ヲヌ軍噛み癖とかずるい
Sat Aug 22 09:51:10 PDT 2015 --  ミンウーつよいヲヌ軍萌え～
Sat Aug 22 06:36:02 PDT 2015 --  噛み癖ウォヌを制するミンギュ pic.twitter.com/whxJzOVFNd
Sat Aug 22 09:27:25 PDT 2015 --  ヤマモトとまりさの時点でアウト～
Sat Aug 22 09:25:14 PDT 2015 --  けど佐吉とかヤマモトらとかカフェオン集結したらまじ店員に追い出される決定
Sat Aug 22 09:24:06 PDT 2015 --  とりあえずカフェオン近々集合しよ
Sat Aug 22 09:21:26 PDT 2015 --  佐吉たちまじしんどかった楽しかったリア友しんどいおもろい友達なりたいジェクペン
Sat Aug 22 09:20:24 PDT 2015 --  さ、さきちがおる〜〜⤴︎⤵︎
Sat Aug 22 09:19:56 PDT 2015 --  しのくぼのまりさとりあちんのハジハジマ思い出すだけでしのくぼ戻りたくなる
Sat Aug 22 09:17:34 PDT 2015 --  彼氏寝たから浮上？(佐吉)
Sat Aug 22 09:18:32 PDT 2015 --  しんどいㅅｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ https://twitter.com/dinodino_______/status/635123658185281536 …
Sat Aug 22 09:16:42 PDT 2015 --  佐吉
Sat Aug 22 09:16:13 PDT 2015 --  もうだからセルカＴＬゃめょ？？腐女子？？
Sat Aug 22 09:12:05 PDT 2015 --  この我の口は嘘つかん https://twitter.com/Honey17angel/status/635121841015681024 …
Sat Aug 22 09:07:40 PDT 2015 --  だからひかっち可愛すぎ照れて話せへんかったしのくぼで
Sat Aug 22 06:55:04 PDT 2015 --  ハオちゃんこれが最近で最後？？ pic.twitter.com/L1C747oG46
Sat Aug 22 06:52:06 PDT 2015 --  ハオちゃんツクールなんか違うねんそれハオちゃんちゃうわってやつやねんな～だれか幼馴染み安定の内容でいいからハオちゃんツクール書いて
Sat Aug 22 06:48:43 PDT 2015 --  サキチヤ！！！！！！！！！
Sat Aug 22 06:47:23 PDT 2015 --  ソクミンの占ツクてなんであんなニヤけるんｗｗｗｗｗｗｗｗ
