Fri Aug 28 13:29:10 PDT 2015 --  Marseille qui perd 2-0... Elle est où la magie Michel ?! Allez fuck you #IciC'estParis
Thu Aug 27 03:42:01 PDT 2015 --  Finally back in Parissssss pic.twitter.com/diRoOX7QOB
Thu Aug 27 03:07:31 PDT 2015 --  Tirages au sort de la phase de poules de la @ChampionsLeague à 17h45. Quel groupe pour Paris ?! #UCLdraw #DreamBigger pic.twitter.com/K7wkAPS3ZT
Wed Aug 26 15:00:26 PDT 2015 --  Joyeux Anniversaire à un joueur exemplaire, #Maxwell qui fête aujourd'hui ses 34ans #PSG pic.twitter.com/kaXtBLNWNW
Wed Aug 26 12:56:48 PDT 2015 --  ICI C'EST... ...PARIS pic.twitter.com/dysq3YxOlo
Wed Aug 26 11:41:57 PDT 2015 --  Kurzawa c'est sa qu'y est bon #paris
Wed Aug 26 11:00:22 PDT 2015 --  Cette humiliation pic.twitter.com/jpoyvfAbNN
Wed Aug 26 11:27:05 PDT 2015 --  Kurzawa, de Monaco au PSG, d'un projet à l'autre http://lequi.pe/1MUR3Ch  pic.twitter.com/tXZbtK3JqX
Wed Aug 26 08:31:35 PDT 2015 --  Kurzawa en mode David Luiz (via @GuillaumeTC) #PSG pic.twitter.com/AqSeaJ4VS4
Wed Aug 26 09:19:44 PDT 2015 --  Lucas #Digne avec Mauro Baldissoni #ASRoma #PSG pic.twitter.com/SjLnSOaV0g
Tue Aug 25 11:16:19 PDT 2015 --  Après-midi shooting avec mon gars suuur! | Tarde de fotos e filmagens com meu maninho @Serge_aurier #Soldat pic.twitter.com/urTK1ZXp5X
Wed Aug 26 06:16:19 PDT 2015 --  Règle 864: Si elle a annulé 3 fois votre rencard, vous pouvez arrêter de vous faire des films : il ne se passera rien.
Fri Aug 21 05:12:03 PDT 2015 --  pic.twitter.com/9ubXFV4cvj
Wed Aug 26 03:20:05 PDT 2015 --  #Balance + #Gémeaux : le genre de couple populaire sur lequel tout le monde se retourne en se disant "wow ils vont bien ensemble !".
Mon Aug 24 08:23:53 PDT 2015 --  1er entraînement de la semaine pour @Ibra_official et les Parisiens avant le déplacement face à l' @AS_Monaco! #ASMPSG pic.twitter.com/RFNMID8Jkz
Tue Aug 25 16:00:13 PDT 2015 --  L'amour ça fait perdre la tête parfois hein...
Thu Aug 20 04:00:17 PDT 2015 --  «Ce n'est pas parce qu'on ne peut pas être ensemble que mon amour pour toi va disparaitre.» Gossip Girl
Tue Aug 25 11:00:08 PDT 2015 --  Fille jalouse = fille possessive = fille qui t’énerve = fille qui t'aime.
Fri Jul 31 12:02:11 PDT 2015 --  Les Qataris sont définitivement dans le futur. pic.twitter.com/ksSjDQLWGL
