Thu Aug 13 04:11:27 PDT 2015 --  HAPPY BIRTHDAY pic.twitter.com/0KX6D3fORU
Fri Aug 28 10:17:09 PDT 2015 --  A #Virgo can be in the best mood ever. But once they start over-analyzing their thoughts, their whole mood can change completely.
Fri Aug 28 10:27:05 PDT 2015 --  when stress is consuming you but you're acting chill pic.twitter.com/snmczyROFN
Thu Aug 27 18:56:54 PDT 2015 --  I don't remember why I said or possibly quoted this, but lmao this is good. https://instagram.com/p/66M8HxPwZy/ 
Wed Aug 26 20:14:53 PDT 2015 --  This is what we came home to at the inlaws in Virginia tomorrow we're gonna lay out and watch the… https://instagram.com/p/63xEYpPwYJ/ 
Mon Aug 24 17:31:58 PDT 2015 --  Made myself a halloween pillow for my flight to Virginia Wednesday. I haven't made pillows in a long… https://instagram.com/p/6yU1VOPwYK/ 
Sun Aug 23 22:50:38 PDT 2015 --  #ColourPopConfessional lets be honest .... pic.twitter.com/ApqFBNJcVb
Sun Aug 23 21:39:50 PDT 2015 --  When he hit that "Thot Pop" I die every time pic.twitter.com/QUknmzbMJo
Wed Jul 29 23:14:34 PDT 2015 --  i wanna walk the beach at night pic.twitter.com/EGU4f4MypH
Sat Aug 22 21:20:32 PDT 2015 --  So today I went to a very private and personal concert of Craig Owens from Chiodos today. It was a… https://instagram.com/p/6tlZr1PwR6/ 
Fri Aug 21 22:20:55 PDT 2015 --  I almost forgot to post this, today is my little queen Lily's 4th birthday! #Lily #LittleQueen #Birthday https://instagram.com/p/6rHhI5vwdd/ 
Thu Aug 20 19:37:18 PDT 2015 --  When you high and your food good as fuck https://vine.co/v/OqUImUZavJX 
Thu Aug 20 18:01:35 PDT 2015 --  if i was a vine id wanna b this one https://vine.co/v/MrTnmOA2JUV 
Thu Aug 20 16:25:27 PDT 2015 --  When forcing your cat to love you pic.twitter.com/0VnSw9G78u
Thu Aug 20 16:00:21 PDT 2015 --  My tiny floof sterling omg I miss having a baby kitty https://instagram.com/p/6n3K56vwbh/ 
Wed Aug 19 22:00:53 PDT 2015 --  Bruh I kid you not black people will dance to ANYTHING https://vine.co/v/MH0IJwlJFVz 
Tue Aug 18 20:15:11 PDT 2015 --  she deserves the whole entire world http://twitter.com/girlposts/status/607732726821711872/video/1 …
Tue Aug 18 21:17:10 PDT 2015 --  #Virgos have days where they hate everyone, don't take it personally.
Tue Aug 18 20:12:00 PDT 2015 --  "how close are you to losing your shit?" pic.twitter.com/3A95kQ9Uu9
Mon Aug 17 23:00:59 PDT 2015 --  I didn't change, I just see things differently now.
Mon Aug 17 20:49:26 PDT 2015 --  Ever since I dyed my hair orange I feel like this. pic.twitter.com/bz6yZSfGPX
Mon Aug 17 21:52:16 PDT 2015 --  girl smooth forgot she was at work... pic.twitter.com/trBCRB7N2e
Mon Aug 17 19:37:25 PDT 2015 --  Let the countdown begin.. we are soo ready! # Virginia #Birthday #Disneyland https://instagram.com/p/6ghoJXPwZL/ 
Mon Aug 17 17:58:07 PDT 2015 --  "I don't like you" Me; pic.twitter.com/SBbZh8WPaA
Sun Aug 16 18:36:55 PDT 2015 --  pic.twitter.com/QRgULHrDoa
Sat Aug 15 10:02:02 PDT 2015 --  fuck a double text i'll quadruple text u. U think i care????? buzz buzz its me again ho
Sat Aug 15 21:16:54 PDT 2015 --  If you're having a bad day, just watch this Pikachu squad dance for you. pic.twitter.com/rGpEI6qp9x
