Sat Aug 29 00:56:32 PDT 2015 --  Hydro Pa More! :P
Sat Aug 29 00:52:12 PDT 2015 --  Off to Subic #OTW
Sat Aug 29 00:50:48 PDT 2015 --  All of Me
Sat Aug 29 00:22:31 PDT 2015 --  God is spirit, and his worshipers must worship in the Spirit and in truth. -John 4:24
Sat Aug 29 00:23:21 PDT 2015 --  You can impress people from a distance, but you must get close to influence them, and when you do that, they will be able to see your flaws.
Sat Aug 29 00:40:16 PDT 2015 --  Take my yoke upon you & learn from me, for I am gentle & humble in heart, & you will find rest for your souls. -Matt 11:29
Sat Aug 29 00:41:35 PDT 2015 --  When God is all you have, then all you have is all you need.
Sat Aug 29 00:05:31 PDT 2015 --  Don't make someone jealous because you love them.
Fri Aug 28 23:01:23 PDT 2015 --  Do not merely listen to the word, and so deceive yourselves. Do what it says. -James 1:22
Fri Aug 28 23:05:08 PDT 2015 --  But when they see God using you in spite of your weaknesses, it encourages them to think, “Maybe God can use me!” #ThePurposeDrivenLife
Fri Aug 28 22:25:17 PDT 2015 --  WGT pic.twitter.com/VjDZwVZlf1
Fri Aug 28 23:17:17 PDT 2015 --  Buong bansa ay nagkakaisa sa tuwa't inis na kaniyang dala! Kilalanin pa natin si Wally Bayola ngayong Linggo! #KMJS10 pic.twitter.com/3QuNo3ONtN
Fri Aug 28 23:30:18 PDT 2015 --  At some point in your life you must decide whether you want to impress people or influence people. #ThePurposeDrivenLife
Fri Aug 28 23:46:36 PDT 2015 --  pic.twitter.com/C5ccJgkMPN
Fri Aug 28 23:40:18 PDT 2015 --  For everything there is a season, a time for every activity under heaven. -Ecclesiastes 3:1
Fri Aug 28 11:14:46 PDT 2015 --  If you love someone no but's and if's #NoExcuses
Fri Aug 28 10:54:14 PDT 2015 --  Jesus was a God pleaser. He wasn't here to please man or Himself, he was here to please God and only God.
Fri Aug 28 10:53:39 PDT 2015 --  You need to be moving if you want God to show you which way to go.
Fri Aug 28 10:52:43 PDT 2015 --  Effort doesn't matter if love is left behind.
