Sat Aug 29 09:05:23 PDT 2015 --  Is "potential possibilities" redundant?
Fri Aug 28 10:11:27 PDT 2015 --  "If calling for equal pay and paid leave and women's health is playing the gender card, well, then, deal me in."—Hillary
Fri Aug 28 14:21:45 PDT 2015 --  Last cream soda run with Josh before he leaves for FRANCE for TWO YEARS.
Fri Aug 28 10:57:46 PDT 2015 --  Hi from Econ hell
Fri Aug 28 10:00:31 PDT 2015 --  Things we learn from Macklemore's new song: 1. $800 will buy you status 2. If you're a big girl, it's not a big deal
Fri Aug 28 09:02:08 PDT 2015 --  I was definitely a major pen snob in high school because of debate, but now I have decided Pentel RSVPs are the loml like a peasant.
Fri Aug 28 07:53:34 PDT 2015 --  Annoyed bc I live in the Northern Hemisphere. And bc I have Econ today. But mostly the Northern Hemisphere thing.
Fri Aug 28 07:31:08 PDT 2015 --  So much new music all at once
Thu Aug 27 19:20:48 PDT 2015 --  lean on lean when ur not strong
Thu Aug 27 13:54:29 PDT 2015 --  Breaking down the misconceptions of US hegemony for the kid who thought Obama ended the embargo against Cuba to get Cuban votes for Hillary.
Thu Aug 27 10:39:56 PDT 2015 --  Lots of stuff going on in this head of mine. Good thing I have a lot of extra space up top in the forehead region lol :)
Thu Aug 27 09:58:04 PDT 2015 --  You don't need to stand there talking with your friends on the already narrow sidewalk headed up MLKJ way. Js.
Thu Aug 27 07:25:58 PDT 2015 --  Yak&Rally
Wed Aug 26 20:58:20 PDT 2015 --  I've been wanting to go to bed since about 4 PM, but I have French homework so....
Wed Aug 26 17:05:40 PDT 2015 --  I didn't get a sunburn this summer. And that's not bc I'm really responsible or good at sunblock application, it's because I DIDNT GET OUT.
Wed Aug 26 16:24:25 PDT 2015 --  Ethan and I go to the same school but I would never know that due to the lack of sightings.
Wed Aug 26 16:08:35 PDT 2015 --  DONT YOU EVER MAKE SOMEONE FEEL ASHAMED FOR LIKING SOMETHING THAT MAKES THEM HAPPY OK WHY IS THIS SO HARD TO UNDERSTAND
Wed Aug 26 14:38:10 PDT 2015 --  Happy 27th birthday to Wayne Simmonds! pic.twitter.com/V3hFz0vKSF
Wed Aug 26 13:33:54 PDT 2015 --  I'm 120% against Moodle
Wed Aug 26 11:20:45 PDT 2015 --  This Econ class is so painful. I'd bring my worst enemy here.
Wed Aug 26 07:22:15 PDT 2015 --  Wind ain't cool
Tue Aug 25 23:44:18 PDT 2015 --  Katie Constantly Exhausted Damron
Tue Aug 25 21:50:01 PDT 2015 --  Zombied since 7
Tue Aug 25 18:27:56 PDT 2015 --  Me: It's complimentary. Person: It costs money?? Me: Yes. Please make check payable to Kathryn E Damron.
Tue Aug 25 16:50:59 PDT 2015 --  Daughter: dad this is my new boyfriend Brayden Dad: what do you do? Brayden: I'm a poet Dad: an electrician hey? Great to meet you Jon
