Tue Aug 18 18:20:03 PDT 2015 --  - ¿De qué signo es tu mujer? - Debe ser de exclamación, porque se pasa el día gritándome...
Tue Aug 18 05:41:17 PDT 2015 --  -Buenos días! ¿Qué Pensaban? pic.twitter.com/0tgpMho34x
Mon Aug 17 11:02:12 PDT 2015 --  —Hijo, algún día todo esto que ves será tuyo. —Pero papá, soy ciego. —Y yo pobre.
Mon Aug 17 05:01:10 PDT 2015 --  #YoNuncaNunca "Le vi las ¡Pinshi's!NALGOTAS a la mama de un amigo que esta bien buena
Sun Aug 16 19:08:58 PDT 2015 --  Hombre en un Bar, el camarero le dice: -Usted me dirá.. -Pues no estoy seguro,creo que un metro ochenta o por ahí #DomingoDeGanarSeguidores
Sun Aug 16 19:04:07 PDT 2015 --  #NoTePuedesEnamorarSi pic.twitter.com/8fN18XBxJc
Sun Aug 16 18:55:43 PDT 2015 --  -Mamá, mamá.. Cuando tienes sexo con papá,¿Le das las gracias? -Pues no hija. Entonces, ¿Qué es educación sexual? #DomingoDeGanarSeguidores
Sun Aug 16 18:50:04 PDT 2015 --  -Antes de tener sexo, una joven reza: - Virgen María, tú que concebiste sin pecar, haz que yo peque sin concebir. #DomingoDeGanarSeguidores
Sun Aug 16 18:43:29 PDT 2015 --  -Mi mujer es un objeto sexual -¿A si? Y eso por qué -Porque cada vez que quiero hacer el amor, ella objeta algo #DomingoDeGanarSeguidores
Sun Aug 16 18:34:16 PDT 2015 --  - Mi cocinera nueva es un sol. - ¿Guisa bien? - No, lo quema todo. #DomingoDeGanarSeguidores
Sun Aug 16 18:26:34 PDT 2015 --  🏻🏻 –Mi doctor me aconsejó renunciar a jugar fútbol. –¿Por qué, estas enfermo? –No, él me ha visto como juego. #DomingoDeGanarSeguidores
Sun Aug 16 18:15:33 PDT 2015 --  Señora en carnicería. -Deme esa cabeza de cerdo de allí. -Carnicero: -Perdone señora, pero eso es un espejo. #DomingoDeGanarSeguidores
Sun Aug 16 17:52:49 PDT 2015 --  ¿Cuanta veces uncuando le un chiste? ¡3! - Cuando se lo cuentan - Cuando se lo explican - Cuando lo entiende #DomingoDeGanarSeguidores
Sun Aug 16 17:26:51 PDT 2015 --  -Todos los hombres sois igual de superficiales. -Yo no. -Ya, pero tú estás gordo. #DomingoDeGanarSeguidores
Sun Aug 16 17:24:09 PDT 2015 --  #NoTePuedesEnamorarSi “¿O Si?” pic.twitter.com/yIItiroeE7
Sun Aug 16 17:03:36 PDT 2015 --  - ¿De qué signo es tu mujer? - Debe ser de exclamación, porque se pasa el día gritándome... #DomingoDeGanarSeguidores
Sun Aug 16 16:49:52 PDT 2015 --  ¿Me das un trocito de pastel? Pero así, súper chiquitito,que estoy a dieta ¿Así? ¿como los otros siete? Sí, porfa #DomingoDeGanarSeguidores
Sun Aug 16 15:54:28 PDT 2015 --  ¡Una pareja! Mira, la chica del vestido rojo me está sonriendo ¡Bah La primera vez que te vi,yo también ríe mucho #DomingoDeGanarSeguidores
Sun Aug 16 15:39:57 PDT 2015 --  -Pero ¿qué te ha pasado? -Es que ayer me dieron una paliza. -¿Eres cinta negra no? -Si, pero el otro no lo sabía. #DomingoDeGanarSeguidores
Sun Aug 16 15:28:21 PDT 2015 --  -¿Qué te paso? -Es que ayer me dieron una paliza -¿No eres cinturón negro de Karate? -Si,pero el otro no lo sabía #DomingoDeGanarSeguidores
