Tue Aug 25 19:31:00 PDT 2015 --  Uninstalling @SwiftKey. No reason the emoji's should lag so much on a brand new #Note5.
Fri Aug 14 15:43:13 PDT 2015 --  Doesn't fee like home 'til you hit the other side of that bridge. https://instagram.com/p/6YYcHGS2jO/ 
Fri Aug 14 08:56:28 PDT 2015 --  Welcome back Gonchar
Fri Aug 07 17:43:25 PDT 2015 --  If @VerizonWireless is doing away with contracts and subsidies, then I'm doing away with Verizon. Nothing like paying more for less.
Fri Aug 07 08:05:37 PDT 2015 --  Looks like all the @SpigenWorld promo codes for the Note 5 cases are expired :(
Tue Aug 04 18:19:34 PDT 2015 --  Can't believe the @Penguins are getting rid of Bob Grove. Disgusting.
Fri Jul 24 19:18:20 PDT 2015 --  THAT'S how you take care of business against one of the game's best pitchers. Time to celebrate! #LetsGoBucs #RaiseIt pic.twitter.com/jKb1pQypK5
Thu Jul 23 07:30:37 PDT 2015 --  Get high #CedarPoint #TTD https://instagram.com/p/5e2k9xy2mv/ 
Tue Jul 14 19:23:31 PDT 2015 --  Andrew McCutchen homer #MLBAllstarGame https://vine.co/v/erZwp6uzpOg 
Tue Jul 14 08:58:26 PDT 2015 --  Thanks @MovieSceneQueen!
Fri Jul 03 06:07:42 PDT 2015 --  The sun lights up the tops of the buildings in #Pittsburgh, leaving downtown in a shadow during a beautiful sunrise pic.twitter.com/yUtTbofWFQ
Fri Jul 03 04:19:43 PDT 2015 --  Phil Kessel parts ways with the Toronto Maple Leafs is your Friday editorial cartoon by Mi… http://ift.tt/1NCqcs4  pic.twitter.com/uAVgG4Hpbz
Wed Jul 01 11:12:18 PDT 2015 --  Pens didn't have a first round pick in 2013 or 2015. Don't have one in 2016. Just traded their 2014 first rounder. Dangerous game to play.
Wed Jul 01 13:34:33 PDT 2015 --  Rutherford says the Penguins were in on the Saad deal? Doubt it.
Tue Jun 30 17:55:04 PDT 2015 --  THAT'S IT! #USA are headed to their fourth #FIFAWWC final. http://fifa.to/1Kpov2F  pic.twitter.com/MTDhBNSBze
Thu Jun 25 08:06:17 PDT 2015 --  Nine Saturday home games for the @Penguins this year. First five are night games, last four are afternoon games.
Tue Jun 16 21:02:46 PDT 2015 --  Updated records in the Finals- Jordan: 6-0 Kobe: 5-2 LeBron: 2-4 Excuses for their record- Jordan: 0 Kobe: 0 LeBron: 25,734,897,102,934,725
Tue Jun 16 21:02:34 PDT 2015 --  Coming up on @SportsCenter -Lebron post game comments -Who can the Cavs get for Lebron next year? -Lebrons offseason plans -Oh yea, GS won
Tue Jun 16 19:22:37 PDT 2015 --  Halftime of the #NBAFinals Cavs: 13-21 from the line. Warriors: 3-4 from the line. So there's that..
Mon Jun 15 09:22:01 PDT 2015 --  Pretty sure @wudeydo34's intro music should be the riffs from 'Psycho' by Muse.
Thu Jun 11 19:01:50 PDT 2015 --  Seriously could Lebron hurl himself out of bounds any faster? Tons of talent but doesn't play the game the right way.
Sat Jun 06 17:43:57 PDT 2015 --  #DMB https://instagram.com/p/3m7aDeS2rE/ 
Thu Jun 04 19:50:05 PDT 2015 --  LeBron - who looks bigger and stronger than ever - is getting away with a whole lot of pushing off on drives.
Wed Jun 03 14:34:11 PDT 2015 --  The NBA informed the #Warriors that these will be called as fouls in the Finals: -Breathing -Looking at LeBron -Playing defense (flagrant)
Thu Jun 04 19:56:52 PDT 2015 --  Game Summary so far: -LeBron ISO -LeBron whine -LeBron ISO -LeBron stare at ref -LeBron ISO -LeBron get away with offensive foul #NBAFinals
Sun May 31 16:53:08 PDT 2015 --  A 6 image panorama of #Pittsburgh during a beautiful sunset from a point of view that you don't see everyday. pic.twitter.com/Ojp4G1BuZ3
Mon May 25 20:49:32 PDT 2015 --  2015 playoff hockey > 2015 playoff hoops
Mon May 25 09:47:24 PDT 2015 --  Shit pic.twitter.com/2NAzQIyJQN
Fri May 22 09:47:04 PDT 2015 --  #Jaguar show https://instagram.com/p/2_c6JOy2oY/ 
Sat May 16 11:38:38 PDT 2015 --  Anyone else get the sense the Rangers D are free to do whatever they please?
Sat May 16 08:30:14 PDT 2015 --  I really hope Jessica Biel names her first kid Batmo.
Thu May 14 05:41:54 PDT 2015 --  Good morning https://instagram.com/p/2qafhdS2vo/ 
Wed May 13 20:25:18 PDT 2015 --  @Rick_City and trade everything else for Stamkos and turn off fatigue.
Fri May 08 16:35:54 PDT 2015 --  #Buccos https://instagram.com/p/2cIkNcS2vm/ 
Thu May 07 20:23:41 PDT 2015 --  DewShine. https://instagram.com/p/2Z91s_S2sQ/ 
Thu May 07 09:36:46 PDT 2015 --  The plaza at 600 Grant Street is truly spectacular
Tue May 05 18:52:34 PDT 2015 --  Haha Kang..
Fri Apr 24 19:25:29 PDT 2015 --  I'd rather have a Pens team that lost like this than one that lost like they did to the Flyers or the Bruins in previous years.
Fri Apr 24 19:17:31 PDT 2015 --  Fleury deserved better
Wed Apr 22 17:17:22 PDT 2015 --  RETWEET THIS by the end of the game for your chance to win 4 #BucSocial Tix for tomorrow's game! pic.twitter.com/JhfnAS2rTf
Wed Apr 22 15:05:55 PDT 2015 --  She's a beaut' Clark. Let's #grill. #Weber. https://instagram.com/p/1yxjE8y2ok/ 
Mon Apr 20 17:46:20 PDT 2015 --  It has been 364 days since the Penguins won a game when trailing after two periods (Game 3 vs. Columbus)
Mon Apr 20 17:25:32 PDT 2015 --  Two no-calls directly result in two Rangers goals. This is getting out of hand.
Mon Apr 20 17:00:28 PDT 2015 --  It really makes me sad how much of a commercial yuppiefest Consol Energy Center has become. I miss the Igloo.
Mon Apr 20 16:19:59 PDT 2015 --  Game 3. Do it. Go #Pens. https://instagram.com/p/1twb7vS2iO/ 
Mon Apr 20 15:47:49 PDT 2015 --  Let's Go #Pens. #Primantis. https://instagram.com/p/1tswRJy2rX/ 
Sat Apr 18 17:25:47 PDT 2015 --  If I was a Buffalo Sabres fan, I'd be furious. Edmonton had their chance(s) and continue to screw up. 4th time in 6 seasons. Smh..
Wed Apr 15 17:33:15 PDT 2015 --  GIF: another look, that’s a pretty vicious slash. and Stone is hurt. officially a game misconduct pic.twitter.com/t6uc36oqDy
Tue Apr 07 14:23:01 PDT 2015 --  Are all of The Prodigy albums as good as their new one?
Sat Apr 04 13:46:51 PDT 2015 --  Congrats to the Columbus Blue Jackets on winning the Stanley Cup.
Sat Apr 04 11:16:15 PDT 2015 --  Do it. Go #Pens. https://instagram.com/p/1EA9RIS2tM/ 
Sat Apr 04 10:10:21 PDT 2015 --  Let's go #Pens! https://instagram.com/p/1D5arly2rJ/ 
