Fri Aug 28 21:34:52 PDT 2015 --  SMASH MOUTH!!!!
Fri Aug 21 16:50:08 PDT 2015 --  Lmao https://twitter.com/babyanimalpics/status/634541430090919936 …
Tue Aug 18 08:58:58 PDT 2015 --  He's practicing saying thank you even when he hates a gift he opens before his bday party starts https://vine.co/v/ewJP7Mh0A1V 
Mon Aug 17 09:29:02 PDT 2015 --  Steal some covers, share some skin
Fri Aug 07 18:03:27 PDT 2015 --  Whipped Pinnacle vodka + orange juice = 50/50 bar
Wed Aug 05 10:57:03 PDT 2015 --  s/o to @mschristaa for being completely beautiful inside & out. Thanks for making my day!
Sun Jul 26 22:15:55 PDT 2015 --  "Just please don't say you love me Cause I might not say it back Doesn't mean my heart stops skipping when you look at me like that"
Sun Jul 12 11:36:37 PDT 2015 --  Samba Rock
Sun Jul 12 09:51:48 PDT 2015 --  Tay: I might just mash it in some froyo Me: you can't give a dog dairy Tay: it's not dairy, it's Greek! @tayyhat
Mon Jun 29 17:55:45 PDT 2015 --  "If boys had uteruses they'd be called duderuses" -Tina from BB
Thu Jun 25 13:56:41 PDT 2015 --  Beautiful day in the bay
Sun May 31 20:43:36 PDT 2015 --  7 beers, 4 glasses of wine & 1 martini.
Thu May 28 21:21:57 PDT 2015 --  The Giants are worth freezing for
Mon May 25 10:16:09 PDT 2015 --  To the men and women who have fought, continue to fight and sacrifice everything for our freedom, thank you. Not just today but everyday.
Sun May 24 10:56:55 PDT 2015 --  Last night was interesting, but fun
Wed May 06 13:32:18 PDT 2015 --  Love tie dye
Sat May 02 18:55:59 PDT 2015 --  LOL at the fact @tayyhat and @Caplan_Heather are hanging out without me rn.
Fri Apr 24 20:33:55 PDT 2015 --  I need a new name for our family. Lol https://twitter.com/caplan_heather/status/591806513062150145 …
