Sat Aug 29 11:14:41 PDT 2015 --  De gros baille s'annonce
Sat Aug 29 11:06:22 PDT 2015 --  Ce genre de personne qui se trouve à 1h30 d'avion qui résous tout problème @MylaaColadas
Sat Aug 29 04:56:51 PDT 2015 --  Quelle pute j'vous promet
Sat Aug 29 02:40:46 PDT 2015 --  Mon ex elle ma lacher un crochet dans les escaliers d'la place, j'ai pas assumé ptn @sophie_sereni @rxbxzx
Fri Aug 28 20:00:32 PDT 2015 --  Ptn la depaneuse elle met du temps a venir sa fait 3 heures g la bagnole embourber dan la chate dla mere a imad
Fri Aug 28 19:29:45 PDT 2015 --  La darone a imad elle a revolitioner lmonde dla magie kan elle a sorti 3 colombe 7 lapin et 3 sac vuitton dsa chate
Thu Aug 27 20:26:34 PDT 2015 --  @MylaaColadas MDRRRRR MAIS SUCE MA QUEUE
Thu Aug 27 05:27:43 PDT 2015 --  Je suis mort pic.twitter.com/EAB6tSjtiR
Wed Aug 26 13:48:33 PDT 2015 --  On leurs dit quand la vérité...? pic.twitter.com/DE2rRCE2AV
Wed Aug 26 23:23:20 PDT 2015 --  . @Nike's Air Huarache Run receives the Tech Fleece treatment. http://hypb.st/ne0jr  pic.twitter.com/hq3OsbBPx4
Wed Aug 26 13:56:48 PDT 2015 --  Ya des jeunes je les comprends pas ..
Sat Jul 11 22:20:04 PDT 2015 --  Elle a oublié semi-remorque pic.twitter.com/sJCS8aRvWp
Wed Aug 26 10:28:37 PDT 2015 --  Une fois que " LA " personne à vu ta story le reste tu t'en fou mdr tu regarde même plus qui a vu
Wed Aug 26 06:36:03 PDT 2015 --  On est plus susceptible d'avouer et laisser paraître nos vraies émotions lors des conversations nocturnes.
Tue Aug 25 19:00:01 PDT 2015 --  RC 10 soon, sa va être genre HISTORIQUE ! @GenreHistorique
Tue Aug 25 18:14:11 PDT 2015 --  Est-ce que les chiens quand ils voient des chiens policier ils se disent "ya les keufs?"
Tue Aug 25 18:05:48 PDT 2015 --  J'vous fait un placement d'produit, me baisé pas j'veux mes lovés dans l'quart d'heure @Heineken pic.twitter.com/T2jBdf0Etp
Thu Nov 06 12:57:36 PST 2014 --  rtsi tn daron ila pa conpri le principe du coma -pk i bouge plu lui? -mr votre fils es dan le coma.. -débranche et rebranche sa marche d foi
Tue Aug 25 17:52:45 PDT 2015 --  celui la il veut dire, mettez vous tous un doigt au cul avec vos hashtag à la con #DonneUnSensÀunEmoji
