Wed Jul 01 05:42:05 PDT 2015 --  I am using TextNow to text USA and Canada for FREE! Go to http://www.textnow.com  to download http://www.textnow.com 
Mon Jan 12 21:06:12 PST 2015 --  pic.twitter.com/YX9H1nR5gB
Tue Dec 02 10:13:36 PST 2014 --  Thinkin bout a master plan pic.twitter.com/RY3qa8AWg2
Tue Dec 02 09:44:41 PST 2014 --  pic.twitter.com/Kd1vQIrvUI
Tue Sep 10 23:45:04 PDT 2013 --  floating in tha galleria pic.twitter.com/gUfeZ3DEvJ
Thu Dec 20 05:59:11 PST 2012 --  Done with FB
Thu Dec 22 01:34:46 PST 2011 --  @clari_sandoval no Amy has full custody but I'm never giving up on seeing Alexis .. That breaks my <3 about grant & Gabe ;'(
Thu Dec 22 00:29:02 PST 2011 --  @clari_sandoval idk when I'll get to see her again... I wish Amy would have a change of heart ... =)
Thu Dec 22 00:09:43 PST 2011 --  @clari_sandoval no I wish, I haven't seen her since July, I really miss her!!! How is Gabe? I hope y'all have a Merry Christmas!!!!
Mon Dec 19 01:40:34 PST 2011 --  Xiii http://instagr.am/p/aEoXE/ 
Tue Dec 13 11:52:28 PST 2011 --  @Codymn lol yeah it's aight ... I know a few places hiring
Tue Dec 13 11:28:41 PST 2011 --  @Codymn chillin chillin never get on here so I thought I'd start messin wit it... U all good bro?
Tue Dec 13 02:23:35 PST 2011 --  @Codymn sup bro
Tue Dec 13 02:21:50 PST 2011 --  @Cloud57CP what up playa
Thu Nov 17 11:31:36 PST 2011 --  @ScottyBoy1211 Sup dude
Thu Oct 13 11:56:37 PDT 2011 --  @ScottyBoy1211 what's tha deal killa
Fri Aug 05 08:23:56 PDT 2011 --  Im tooo laaaaazy to go to work today!! I WANT TO BE LIKE HER: http://tinyurl.com/3h5gf3q
Tue Aug 02 00:34:26 PDT 2011 --  Screw workkk today :( I hate waking up in the rain - this news article is so motivational!! http://tinyurl.com/4xtvmmp
Mon Jul 18 08:54:12 PDT 2011 --  I dun wanna wake up to go to work tomorrowwwww!! :( This ladys my rolemodel!! http://tinyurl.com/3z4rvh5
Fri May 06 00:16:31 PDT 2011 --  if u aint losin sleep behind ya grind ya gone get left behind, i finish work n burn a lefty just ta rest my mind...D-Bo
Fri May 06 00:00:41 PDT 2011 --  Tha Bidness and The Backbone Facebook Player for SUBSTANCE | Hip Hop www.reverbnation.comSUBSTANCE from Lufkin, TX http://fb.me/EXLRbEfR
Thu May 05 20:01:36 PDT 2011 --  Facebook Player for SUBSTANCE | Hip Hop http://fb.me/10xwzL0QH
Thu May 05 19:55:21 PDT 2011 --  Tha Bidness and The Backbone what it do folks? this D-Bo again lettin all my real folks know we just leaked out... http://fb.me/Z7x7Ubxl
Wed Apr 20 22:05:27 PDT 2011 --  "Substance" is about to release singles from new album. Check out Tha Bidness & The Backbone on fb. You can hear... http://fb.me/WN8Bkivt
Wed Oct 13 23:18:19 PDT 2010 --  whats up everybody? for those of yall that r fans of the music on reverbnation.com, thank u for the love n... http://fb.me/JPjmqv4n
Mon Oct 11 23:14:10 PDT 2010 --  About a year ago yall was hatin on me, now that I'm on ya playin like we homies, same ho try ta play me for a fool... http://fb.me/wNQBWt3a
Mon Oct 04 16:07:19 PDT 2010 --  Tha Bidness and The Backbone catch us in concert this month at club 84 in waco on october 30th. my birthday, gotta... http://fb.me/LaJgn2xA
Sat Oct 02 09:06:24 PDT 2010 --  @Bryannaixor Don't like them, huh?
Wed Sep 29 18:39:32 PDT 2010 --  I posted 2 photos on Facebook in the album "D-Bo & D-Blo" http://fb.me/HRLMTlea
Sat Sep 11 01:29:05 PDT 2010 --  I posted 2 photos on Facebook in the album "D-Bo & D-Blo" http://fb.me/Gmw8mpJU
Tue Jun 29 00:35:39 PDT 2010 --  @mom3girlies that is too funny!!!
