Thu Aug 27 23:09:32 PDT 2015 --  
Thu Aug 27 15:59:18 PDT 2015 --  #S4L
Thu Aug 27 15:17:04 PDT 2015 --  Ghost
Thu Aug 27 09:39:17 PDT 2015 --  Let me find out u behind it all Imma kill u myself on Cord....
Thu Aug 27 09:36:22 PDT 2015 --  My Life jus like power lol u won't believe who I am doe
Thu Aug 27 09:29:41 PDT 2015 --  Facing time nobody held me down I love my nigggas till I'm dead n gone free da guys #S4L till my dieing days rip the fallen solders
Thu Aug 27 09:26:32 PDT 2015 --  #FindMeNSignMe #HolUP #MrHolUP #OTW
Thu Aug 27 09:15:22 PDT 2015 --  Black n mild while on the shitter posting on Twitter hell yea
Thu Aug 27 09:04:16 PDT 2015 --  Wat would the world be without lies doe I don't believe n u bitches it's like Ah slap n the face welcome back
Thu Aug 27 09:02:10 PDT 2015 --  Everybody still asking were the mixtape is yall really really ready doe I'm exposing hoes n hoe Ass niggas yall Shudda never cross a poet
Thu Aug 27 08:58:27 PDT 2015 --  It ain't hard to forget Ah Real Nigga ppl do it everyday
Thu Aug 27 08:57:08 PDT 2015 --  Faulty bitches n Niggas I'm pepping game
Mon Aug 24 04:06:57 PDT 2015 --  #MRHOLUP #OTW @ChiefBiasS4L WE GONE KILL EM WITH THIS 1 bro #s4l #freeace #freejakes #freedarro #ripcordd #riptre8
Thu Aug 20 11:05:22 PDT 2015 --  #HolUP #MrHolUP #OTW #S4L they say that Ah fell off well wat was u… https://instagram.com/p/6nVaVuQHnES9zvxFImkkyDdQS56cStVODiPf80/ …
Thu Aug 20 10:17:58 PDT 2015 --  #HolUP #thechiefbiascheckinn #MrHolUP #OTW niggas can't be calm… https://instagram.com/p/6nP-tTQHsfejDKfoIfBOEzyBR6x6V3JRti18A0/ …
Thu Aug 20 09:33:47 PDT 2015 --  #HolUP #tbt #MrHolUP as Ah youngen #ChiefBias me n my aunties doe I been… https://instagram.com/p/6nK7kawHiXmBNj_PPlZdX0dLDg6Ws_HleCvf40/ …
Tue Aug 18 21:57:24 PDT 2015 --  She never answer
Mon Aug 17 00:23:38 PDT 2015 --  Nobody
Mon Aug 17 00:22:15 PDT 2015 --  Who up doe
Mon Aug 17 00:21:04 PDT 2015 --  It get lonely sometimes
Sun Aug 16 21:55:20 PDT 2015 --  Boolin n da bondo #HolUP #MrHolUP #OTW #ChiefBias #Chiraq #TheRealSmokers… https://instagram.com/p/6eMnIpyolnqRzyBtjSbAPryrFsnusFcnNjubM0/ …
Sun Aug 16 21:42:46 PDT 2015 --  #HolUP #MrHolUP #OTW #Chicago #ChiefBias #Follow my #twitter for all my… https://instagram.com/p/6eLLKgyojxzFojb5MQ0inqZETpE2EJ2vYgsRs0/ …
Sun Aug 16 21:36:46 PDT 2015 --  I'm starting to accept that I can't expect it's usually Ah upset
Sun Aug 16 20:13:17 PDT 2015 --  Getting dat dry dry its dry asl doe mfs don't answer the phone wen u home but wen u away they can't stop calling u on cord
Sun Aug 16 15:14:26 PDT 2015 --  #MrHolUP #OTW #HolUP #Chicago #windycity I love my city nigga n come Ah… https://instagram.com/p/6deu4xSoigJYr09PCTYGAb8I6quzemSsAkLak0/ …
Sun Aug 16 15:05:30 PDT 2015 --  #HolUP #ChiefBias #MrHolUP #OTW #Follow @chiefbiass4l for all my… https://instagram.com/p/6ddsqmyogliyWAH0KrXc7VkaUM_oG5_HdLugU0/ …
Sun Aug 16 14:24:58 PDT 2015 --  #HolUP #MrHolUP #S4L my circle small nigga #Follow @chiefbiass4l… https://instagram.com/p/6dZEp5yolvzTGi3BBKS--sifRDveBt5s4q7Co0/ …
Sun Aug 16 13:54:16 PDT 2015 --  #HolUP #MrHolUP #OTW #PutThatOnMySoul #ChiefBias #S4L @chiefbiass4l… https://instagram.com/p/6dVj6BQHgr98F-v2kwRT5JjumRt8F4eisghWM0/ …
Sun Aug 16 13:47:03 PDT 2015 --  #HolUP #MrHolUP #OTW #ChiefBias The Real/Truth is coming #S4L #FreeAce… https://instagram.com/p/6dUuNOQHusp7eb7WIiZ0VhkVYPzP-hpvCNweQ0/ …
Sat Aug 15 13:09:53 PDT 2015 --  CHIEF BIAS FINDMENSIGNME VLOG PART 2 ( EXPLICT) @CHIEFBIASS4L @RICOSUPARICH http://youtu.be/poJyDQtidUw 
Fri Aug 14 22:47:23 PDT 2015 --  Sometimes I jus be tweaking in Twitter real talk I don't be having shit to say so I jus say any thing
Fri Aug 14 22:46:15 PDT 2015 --  1 o clock shower
Fri Aug 14 22:44:59 PDT 2015 --  Aint shit open but gas station liquor stores n legs
Fri Aug 14 22:44:00 PDT 2015 --  ChiRaq
Fri Aug 14 22:41:13 PDT 2015 --  Lol I be tweaking
Fri Aug 14 22:40:51 PDT 2015 --  Yea no relationships for u lil lady https://twitter.com/cecelicious_/status/632426455193006080 …
Thu Aug 13 16:55:18 PDT 2015 --  When your niece & nephew are too much my babies pic.twitter.com/ipBrLTP60O
Fri Aug 14 18:14:53 PDT 2015 --  CHIEF BIAS FINDMENSIGNME VLOG PART 2 ( EXPLICT) @CHIEFBIASS4L @RICOSUPARICH http://youtu.be/poJyDQtidUw 
Fri Aug 14 09:43:49 PDT 2015 --  #HolUP #MrHolUP #OTW MomDuce N @50cent chopping it up #FindMeNSignMe… https://instagram.com/p/6XvTugQHmsvm1lYkpDYJMDCuZf6sOaWspceSs0/ …
Thu Aug 13 13:12:21 PDT 2015 --  #HolUP My MomDuce N @50cent chopping it up bout yo boy @chiefbiass4l… https://instagram.com/p/6ViYEzyokKUL4FX3qQulJrGN6CNA_hVFPZoW40/ …
Thu Aug 13 13:03:33 PDT 2015 --  I change that shit around!! I take control my day!! I redirect the energy!!! #ImGoingToTheBeach!!! #IWillNotHaveABadDay!!! 🏼
Thu Aug 13 13:03:24 PDT 2015 --  Nun better than the studio right now fuck it that's wat it is then
Thu Aug 13 13:02:00 PDT 2015 --  I'm TRYNA get me some money
Thu Aug 13 13:01:43 PDT 2015 --  Beach
Thu Aug 13 13:00:06 PDT 2015 --  Folksnem
Tue Aug 11 17:41:39 PDT 2015 --  @ChiefBiasS4L ARTISTS CALL 7864431524 TO LOCK IN YA SPOT TO PERFORM@ KOD SUMMERJAM SUN AUG16TH@ KING OF DIAMONDS https://www.youtube.com/watch?v=pXps2naQlN4 …
Sun Aug 09 21:51:08 PDT 2015 --  Work in progress
Sat Aug 08 02:52:50 PDT 2015 --  Stay hungry....... Eat Mf Eat
Sat Aug 08 01:19:53 PDT 2015 --  #HolUP #MrHolUP #OTW need I say more ... by @chiefbiass4l @s4lpromo… https://instagram.com/p/6HY3huyonjB4d8BMFh96jHqmlMlHLsy689ZZ80/ …
Sat Aug 08 00:10:53 PDT 2015 --  Caught Ah body before I wrote Ah rap streets listen up fAke niggas getting expose now
Sat Aug 08 00:09:04 PDT 2015 --  AR-AB - BACK 2 BACK FREESTYLE I c wats up damn shit all bad for my boy meek @AssaultRifleAB I hear u http://youtu.be/MYiK1vSrEAE 
Fri Aug 07 23:46:05 PDT 2015 --  When u get to exposing niggas doe
Fri Aug 07 23:45:09 PDT 2015 --  #S4L
Fri Aug 07 23:44:56 PDT 2015 --  Global
Fri Aug 07 23:42:48 PDT 2015 --  If u up Google my nAme check me out #ChiefBias
Fri Aug 07 23:41:10 PDT 2015 --  This nigga must not got Twitter no mo
Fri Aug 07 23:26:24 PDT 2015 --  Niggas ain't come from the streets fr nigga be fr I'm really from #Chiraq I really still live n #Chiraq stupid all my niggas gotta eat
Fri Aug 07 23:23:58 PDT 2015 --  Never give up if they don't give u a chance keep pushin lil nigga it Aint till u mAke it n wen u do don't LOSE The HUNGAR
Fri Aug 07 23:20:25 PDT 2015 --  Waiting on my baby n my suitcase
Fri Aug 07 22:30:59 PDT 2015 --  I sent this nigga dark lo some straight flame this nigga still ain't came out wit the tracks send it back then back2back #Chiraq #Philly
Fri Aug 07 22:29:20 PDT 2015 --  They say AR AB went in on meek let see wats up
