Wed Aug 26 22:44:47 PDT 2015 --  pic.twitter.com/JIzJbGiE8c
Wed Aug 26 22:35:39 PDT 2015 --  Yup pic.twitter.com/PjijwaEeTs
Wed Aug 26 17:46:32 PDT 2015 --  pic.twitter.com/OgqKvUfVuv
Wed Aug 26 11:11:03 PDT 2015 --  pic.twitter.com/XRArT4WLGL
Wed Aug 26 00:47:03 PDT 2015 --  Learning from your own mistakes is wise, but learning from other people's mistakes is quicker.
Wed Aug 26 00:54:13 PDT 2015 --  sleeping is my only talent
Thu Aug 20 15:30:59 PDT 2015 --  I was born to be different not perfect so don't judge me!
Thu Feb 05 14:35:32 PST 2015 --  i would never cheat on someone i mean someone being stupid enough to date me is a once in a lifetime thing im not gonna mess it up
Sat Feb 07 15:15:32 PST 2015 --  if there was a eye roll emoji it would probably be my number one used emoji
Tue Feb 10 08:50:32 PST 2015 --  I must have a great butt, because every time I finish talking to someone and start to walk away I hear them whisper 'What an Ass'
Tue Feb 10 13:14:35 PST 2015 --  The amounts of times I say "I'm hungry" in a day is not ok
Wed Feb 11 07:44:04 PST 2015 --  Be careful who you call your friends: Sometimes it's better to have 4 quarters than 100 pennies
Fri Feb 13 15:13:32 PST 2015 --  Me on Valentine's Day pic.twitter.com/kRKr9Z6gw8
Sun Feb 15 07:11:14 PST 2015 --  do you ever think about how bitchy and annoying you really are and wonder how anyone ever tolerates you"
Sun Feb 22 04:29:44 PST 2015 --  "you look tired, are you???" "no, im just ugly"
Tue Mar 03 22:45:51 PST 2015 --  The man who created "knock knock" jokes deserves a "no-bell" prize.
Thu Aug 13 10:18:30 PDT 2015 --  anyone else? pic.twitter.com/tGnhyfHLJS
Fri Aug 07 17:07:05 PDT 2015 --  That moment when your phone doesn’t have signal, and you’re like http://twitter.com/TheComedyHumor/status/627559759370153985/photo/1pic.twitter.com/k4JkVkjVQI 
Fri Aug 07 16:07:21 PDT 2015 --  If you flip a photo of bats hanging upside down, they look like they’re having a wicked dance-off: pic.twitter.com/gzuTIhWe5m
Fri Jul 17 17:28:41 PDT 2015 --  The world can suck, sure. Mostly though it's a blank canvas. If you want to see something brighter in it, you might have to add it yourself.
Sun Aug 02 17:40:21 PDT 2015 --  The signs as Andy Hurley gifs Scorpio pic.twitter.com/ECdRztk6wy
Sun Aug 02 14:55:40 PDT 2015 --  #LongLiveAndyHurley Andy is literally the nicest person in the world and he's my inspiration for playing drums. pic.twitter.com/2O0a8qz1rS
Thu Aug 06 10:25:01 PDT 2015 --  It's nice to have someone in your life who can make you smile even when they're not around.
Thu Aug 06 10:36:41 PDT 2015 --  crushes are called crushes because they crush your soul and everything you stand for
Wed Jul 22 14:52:07 PDT 2015 --  Smile More :)
Fri Jul 24 13:37:15 PDT 2015 --  Learn to take rejection as motivation to prove people wrong. Be unstoppable. Refuse to give up, no matter what.
Tue Jun 23 17:54:45 PDT 2015 --  People will judge you no matter what you do... You might as well do what you want.
Sun Jun 21 13:35:46 PDT 2015 --  NEEEEW PRANK!! SHARE for a follow my friends! Pound this one for me :) She is a great Mom! Def wanted to... http://youtu.be/dFOksqPE_Bg?a 
Tue Jun 16 17:48:13 PDT 2015 --  I didn't mean to offend anyone, I just think you should be who you wanna be and forget about anyone who says you can't.
Tue Jun 09 21:43:10 PDT 2015 --  What if I can't forget you I'll burn your name into my throat I'll be the fire that will catch you.
Mon Jun 01 08:27:15 PDT 2015 --  . @BrendonUrie wants to dance like #UmaThurman s/o to @ZackCloudHall https://vine.co/v/ehrjLhWVpTm 
Wed May 27 22:54:53 PDT 2015 --  Nothin like realizing u are a real life loser and singing "we are the champions" unironically as loud as u can. I mean this in the best way.
Wed May 27 08:24:10 PDT 2015 --  Thanks for letting me be a little part of this http://youtu.be/N_hH-qBVJNo  @HaileeSteinfeld
Wed May 27 14:39:41 PDT 2015 --  Best life advice I got from summer: be like one of those little water balloons- always bounce back-never break no matter how hard it thrown.
Tue May 26 18:10:22 PDT 2015 --  Kane just said as he picks up his play laptop... "Oh I need to work my vlogs not up!" Wow!!! Hahaha
Tue May 26 13:47:45 PDT 2015 --  Made it to NYC! So excited for the adventure to begin! But first a nap sounds REAL good!
Fri May 22 22:41:50 PDT 2015 --  "hahah it really does sound like Starbucks Lovers..." -my mom just now who is SUPPOSED TO BE ON MY SIDE Smh.
