Fri Aug 28 09:58:49 PDT 2015 --  #antsmasher I smashed 122 ants in this awesome game!!! http://www.bestcoolfungames.com/antsmasher  pic.twitter.com/zaReRTy00W
Fri Aug 28 09:57:37 PDT 2015 --  #antsmasher I smashed 179 ants in this awesome game!!! http://www.bestcoolfungames.com/antsmasher  pic.twitter.com/A3eq2a9w8C
Thu Aug 27 18:06:17 PDT 2015 --  Just posted a photo @ Tao San Jin (Lone Tree Way) https://instagram.com/p/66HJXaiOy-/ 
Thu Aug 27 15:00:47 PDT 2015 --  When I don't like things I say it's ugly
Mon Aug 24 20:08:38 PDT 2015 --  The bible isn't just a rule book... it's the living Word of God... a way of life! | @quitewomenco
Thu Aug 27 10:33:31 PDT 2015 --  With Uncle Jimmy @ Country Skillets https://instagram.com/p/65TVMlCO1I/ 
Thu Aug 27 06:43:47 PDT 2015 --  Lol!! Off to the bay the only place I travel to.. I can use the small vakay! @ Official JetBlue… https://instagram.com/p/645CnRiO_K/ 
Thu Aug 27 06:20:52 PDT 2015 --  I found this to be so interesting. @ Official JetBlue Terminal - Long Beach Airport https://instagram.com/p/642aukCO6u/ 
Tue Aug 25 13:42:13 PDT 2015 --  See the heart? @ Disneyland https://instagram.com/p/60fVgWCOwA/ 
Sun Aug 23 18:05:00 PDT 2015 --  Even “good people” aren’t good enough to get into heaven. ONE SIN is enough to keep us out of heaven. EVERYONE NEEDS JESUS. #socalharvest
Mon Aug 24 06:16:48 PDT 2015 --  Being broken can be from several things in life. Dealing with my emotions from "what" makes me feel… https://instagram.com/p/6xHkRIiOxX/ 
Sun Aug 23 19:15:41 PDT 2015 --  Just posted a photo @ Bellflower, California https://instagram.com/p/6v76LCiO7F/ 
Sun Aug 23 16:25:30 PDT 2015 --  Mexican food! @ Casa Garcia Mexican Restaurant https://instagram.com/p/6vobuZCO1x/ 
Sun Aug 23 11:22:39 PDT 2015 --  Everyone have a blessed Sunday! @ Bellflower, California https://instagram.com/p/6vFxg3iO6c/ 
Sat Aug 22 06:55:52 PDT 2015 --  Getting in my time for the day! Before work! https://instagram.com/p/6sCcp8CO4k/ 
Wed Aug 19 23:14:55 PDT 2015 --  –Matthew 5:16 #weareGLOW pic.twitter.com/OrZj46rxtv
Thu Aug 20 11:02:03 PDT 2015 --  I have learned its best not to explain or make excuses to just push forward. Unfortunately we live in… https://instagram.com/p/6nVCAnCO2m/ 
Wed Aug 19 21:14:19 PDT 2015 --  Life is worth the struggle, when you turn back and realize your better off then what you lost,, @… https://instagram.com/p/6l2TlpCO23/ 
Tue Aug 18 17:29:35 PDT 2015 --  One of favorite episodes of Lucy! Love this superman! @ Belflower https://instagram.com/p/6i3yELCOxm/ 
Mon Aug 17 23:18:43 PDT 2015 --  Just posted a video https://instagram.com/p/6g67x1CO4l/ 
Mon Aug 17 23:18:39 PDT 2015 --  Just posted a video https://instagram.com/p/6g67rTCO4k/ 
Mon Aug 17 23:18:35 PDT 2015 --  Just posted a video https://instagram.com/p/6g67jYiO4j/ 
Mon Aug 17 23:18:34 PDT 2015 --  Just posted a video https://instagram.com/p/6g67PZCO4i/ 
Mon Aug 17 23:18:28 PDT 2015 --  The fun of working Disneyland!! https://instagram.com/p/6g663UCO4h/ 
Mon Aug 17 23:18:28 PDT 2015 --  Just posted a video https://instagram.com/p/6g66ioCO4e/ 
Mon Aug 17 23:18:28 PDT 2015 --  Just posted a video https://instagram.com/p/6g660hiO4g/ 
Mon Aug 17 22:58:15 PDT 2015 --  Just posted a photo https://instagram.com/p/6g4nAhiO1_/ 
Mon Aug 17 22:21:02 PDT 2015 --  You know what Disneyland whhhhy?? Lol #coffee only #the struggle # sigh sugar is my weakness # @… https://instagram.com/p/6g0WY1COxr/ 
Mon Aug 17 09:11:00 PDT 2015 --  The Bible is true because it is the one book that dares to predict the future.
Mon Aug 17 07:08:46 PDT 2015 --  Feeling a certain way because of the heat @ Belflower https://instagram.com/p/6fL8xNCO4w/ 
Sun Aug 16 10:34:36 PDT 2015 --  when good things come I just express my feelings like this pic.twitter.com/fTQu3eSeS6
Sun Aug 16 08:06:43 PDT 2015 --  Just posted a photo https://instagram.com/p/6ctyb5iOwM/ 
Sat Aug 15 22:18:31 PDT 2015 --  I can honestly say because I am moving forward this is how I feel. And I sleep!! I had so much… https://instagram.com/p/6bqePDiO7w/ 
Sat Aug 15 18:53:08 PDT 2015 --  I am so ready to try these, results to see soon! It works!! #stretch mark #exfoliating peel… https://instagram.com/p/6bS-CcCOxp/ 
Sat Aug 15 09:31:01 PDT 2015 --  The struggle in life is knowing what's right to do, and when you know it's right the courage to even… https://instagram.com/p/6aSo4riO91/ 
Fri Aug 14 17:20:12 PDT 2015 --  Just posted a photo https://instagram.com/p/6YjiiwCO45/ 
Fri Aug 14 13:38:04 PDT 2015 --  Remember that:  Resentment comes from looking at others. Contentment comes from looking unto Jesus.
Fri Aug 14 07:04:31 PDT 2015 --  Happy Friday!! https://instagram.com/p/6XdFFwiO-J/ 
Mon Aug 10 23:13:10 PDT 2015 --  @tebowfoundation @TimTebow ready for some football #faithhopelove #serve #football pic.twitter.com/neAhmmwHRY
Mon Aug 10 21:35:51 PDT 2015 --  Reading my bible before bed🏼 Gratitude in suffering pic.twitter.com/6GzJWeUAnH
Mon Aug 10 14:18:05 PDT 2015 --  I feel set free, a freedom of peace and purpose. I will keep reaching for the HOLY SPIRITS guidance. ((Staying thirsty))
Wed Feb 26 17:37:48 PST 2014 --  Loving the new hand soaps @LUVBBW! http://bit.ly/1kSGfqa  #TryItToBelieveIt #Sweeps
Sat Apr 13 14:15:09 PDT 2013 --  trying to figure this out
Thu Aug 05 07:25:46 PDT 2010 --  @askjillian i am so luvin the pink lipstick you have on today!!! i think i am going to try that look!!
Tue Aug 03 16:30:16 PDT 2010 --  does someone have to follow you in order to leave them a comment?
Tue Aug 03 15:43:32 PDT 2010 --  i wanna win one of kim kardashians bracelets
Tue Aug 03 15:27:45 PDT 2010 --  dam finally i get in this twittier i always forget how to use it..
Thu Jun 17 19:58:02 PDT 2010 --  joss you better stop cussing on here!!!!
Thu Jun 17 19:53:10 PDT 2010 --  watching my children enjoy the game!! i am so blessed to have beautiful children..
Tue Jun 15 06:45:19 PDT 2010 --  my cousin marcy and cynthia where you at?
Tue Jun 08 20:00:48 PDT 2010 --  how do you leave a comment from your cell? and thats right girls jaeleen and selina go celtics!!!
Tue Jun 08 11:25:51 PDT 2010 --  @vievieL0VE GURL THE WAY YOU TALK MAKES ME LAUGH.. WHERES ISSS YOUR MAMA AT?? DID YOU CONVINCE HER ABOUT THE FACEBOOK YET??
Tue Jun 08 11:12:48 PDT 2010 --  @jaejaehearts HEY DAUGHTER WHERE ARE THE CLEBS AT?? THE REAL ONES?
Wed Nov 04 06:19:52 PST 2009 --  is going to start checking my twitter more often
Wed Apr 22 00:23:50 PDT 2009 --  trying to figure twitter out?
