Sat Aug 22 11:17:03 PDT 2015 --  أبوعمر# حقيقة معنى arab idol http://youtu.be/d1UsZitrgWE 
Mon Aug 10 03:24:50 PDT 2015 --  الحلقة الأولى #حملة_شبهات_الغلاة مع الدكتور لطف الله خوجة تكفير المعين انصح مريد الحق بمشاهدتها والتفكر في محتواها https://youtu.be/zhR8aIShOxc 
Sun Jul 19 04:18:16 PDT 2015 --  أثقل الناس و أحبّهم إلى قلوبنا! pic.twitter.com/C0XYxSTrYl
Thu Jun 25 11:44:12 PDT 2015 --  { وَأَحَاطَتْ بِهِ خَطِيئَتُهُ } قال الربيع بن خثيم: الذِي يَمُوتُ عَلَى خَطَايَاهُ مِنْ قَبْلِ أَنْ يَتُوبَ. /ابن أبي حاتم في تفسيره ٨٢٧
Fri May 08 08:20:41 PDT 2015 --  I failed to beat the Ace on #slideaway with a time of 0:25.216 playing #madskillsmx2 http://mad.mx/g3t1t 
Fri May 01 07:53:19 PDT 2015 --  سلام الله عليكم ، كيف أحصل على سماعة ، بلو توت ؟
Thu Mar 19 13:06:34 PDT 2015 --  pic.twitter.com/Uxx69yhY2v
Fri Mar 13 15:53:17 PDT 2015 --  قال بعضهم:تعلم العلم فإنه يقومك ويسددك صغيرا، ويقدمك ويسودك كبيرا، ويصلح زيفك وفاسدك، ويرغم عدوك وحاسدك، ويقوم عوجك وميلك، ويصحح همتك، وأملك
Fri Mar 13 13:38:07 PDT 2015 --  . #ابن_القيم @abdallh_RT @Betaqadaawia @R_t_d3wa @RTwit_1 @islamic_pic @1Rtq8 @Rtweet_Islam999 @_Rtoat_ @Q8islamWay pic.twitter.com/wXHfcnh5ou
Fri Mar 13 13:48:36 PDT 2015 --  . #ابن_القيم @abdallh_RT @Betaqadaawia @R_t_d3wa @RTwit_1 @islamic_pic @1Rtq8 @Rtweet_Islam999 @_Rtoat_ @Q8islamWay pic.twitter.com/YyV4prKt7q
Wed Aug 06 00:12:26 PDT 2014 --  #ابن_عثيمين : بيودوننا ولا خذ لنا تكسي ؟! pic.twitter.com/v1nJCNFmns
Tue Mar 10 16:57:09 PDT 2015 --  قال رسول الله ﷺ عن #السواك (السواك مطهرة للفم مرضاة للرب) وقد ثبت احتواءه على مواد مطهرة واستخدامه يغني عن الفرشاة pic.twitter.com/xK3gUyxpzm
Tue Mar 10 18:05:16 PDT 2015 --  @RTwit_1 من الواتساب، كنت مرة أستمع لأحد القراء يتغنى بقراءة سورة الأنفال . pic.twitter.com/FqonjqoSPb
Sun Mar 08 07:36:13 PDT 2015 --  قضية المرأة قضية تحتاج إلى عناية فائقة ورعاية تامة ومعالجة منبثقة من هدي كتاب الله تعالى وسنة نبيه صلى الله عليه وسلم وسيرة السلف الصالح.
Sun Mar 08 07:29:09 PDT 2015 --  من هم أدعياء تحرير المرأة؟ وما تاريخهم؟ ما الذي قدمه هؤلاء للأمة حتى يوثق بهم؟ إن جانبا من نتاج هؤلاء كاف في إسقاط عدالتهم والثقة بهم.
Tue Mar 03 04:39:32 PST 2015 --  http://24.ae/mobile/article.aspx?ArticleId=141736 …
Mon Mar 02 12:17:08 PST 2015 --  quitter
Mon Mar 02 12:15:04 PST 2015 --  627551
Sun Mar 01 16:16:30 PST 2015 --  رسالة قيمة ، لمن وجدها فاليحرص على إقتنائها و قرائتها، ففيها نفعآ و فائدة ، نفعنا الله بما نقرأ pic.twitter.com/rvUp1DfkNT
Thu Jul 25 10:44:47 PDT 2013 --  محاولة تأصيل الألفاظ العامية , أي ردها إلى أصولها العربية لها جذور قديمة.. أَيـْـوَه.. عبدالسلام هارون @almajma3 pic.twitter.com/sJzi1yGi8b
Mon Apr 15 15:35:10 PDT 2013 --  @MRyo0omaa مريم أتضح لي صواب ما ذكرتي، شكراً للتنبيه pic.twitter.com/FR4fGxIW04
Fri Oct 31 21:28:44 PDT 2014 --  رحم الله الشيخ علي الطنطاوي/ لا تخيطوا جراحكم قبل تنظيفها : pic.twitter.com/uIdSgvTQeP
Fri Feb 27 19:21:36 PST 2015 --  " لو علم المتصدق أن صدقته تقع في يد الله قبل يد الفقير، لكانت لذة المعطي أكبر من لذة الآخذ " (ابن القيم)
Sun Mar 01 09:17:03 PST 2015 --  #HTC تعلن عن أول ساعة رياضية HTC grip هنا رابط لمواصفاتها وفيديو عنها http://m.androidcentral.com/htc-grip-specs  https://m.youtube.com/watch?v=HaWuPp2uTR8 … pic.twitter.com/nwaLTyJpih
Wed Sep 03 05:09:43 PDT 2014 --  #تحدي_الثلج الحقيقي pic.twitter.com/Wtok6DleqR
Sun Mar 01 08:38:14 PST 2015 --  شيعي وثني تسلل براية وثنية وأدخلها في ملابسه إلى الحرم وغافل رجال الأمن والتقط صورة سريعة للشعار الوثني pic.twitter.com/Ok01kxCtbQ
Tue Feb 24 09:41:58 PST 2015 --  قال عبد الله بن المبارك رحمه الله : "من أعظم المصائب للرجل أن يعلم من نفسه تقصيراً ثم لا يبالي ولا يحزن عليه ".
Sat Feb 28 10:44:52 PST 2015 --  10 مركبات كيميائية في السجائر تسبب السرطان #مكافحة_التدخين #السعودية - pic.twitter.com/XMGrjKFErF
Sun Dec 29 12:04:38 PST 2013 --  لا تملوا من الاستغفار .. pic.twitter.com/U0HxE3avzt
Thu Feb 19 10:51:37 PST 2015 --  خاطرة… الموت لن ينتظر استقامتك… فاستقم وانتظر الموت… pic.twitter.com/7bhUqlJHbo
Fri Feb 20 23:36:28 PST 2015 --  بكى الحارث العكلي في جنازة أمه فقيل له : تبكي ؟ قال : ولم لا أبكي وقد أُغلق عني باب من أبواب الجنة… pic.twitter.com/XsNxgkJy1m
Tue Feb 24 12:37:02 PST 2015 --  ﻗﺎﻝ ﻣﺠﺎﻫﺪ رحمه الله: ﺍﻟﻔﻘﻴﻪ ﻣــﻦ ﻳﺨﺎﻑ ﺍلله،ﻭﺇﻥ ﻗــﻞ ﻋﻠﻤﻪ… ﻭﺍﻟﺠﺎﻫﻞ ﻣﻦ ﻋصى الله ،وﺇﻥ ﻛﺜﺮ ﻋﻠﻤﻪ… ﺍﻟﺒﺪﺍﻳﺔ ﻭﺍﻟﻨﻬﺎﻳﺔ٢٥٥/٩ pic.twitter.com/tKhrLkukYe
Tue Feb 24 13:27:20 PST 2015 --  لا تحمل هم الدنيا فإنها لله ولا تحمل هم الرزق فإنه من الله . ولا تحمل هم المستقبل فإنه بيد الله . فقط .. احمل هماً واحداً : كيف ترضي الله ؟
Sat Oct 11 10:39:13 PDT 2014 --  غدا بإذن الله أول خطوة لي معكن في تعليم النحو..جعلها الله خطوة مباركة pic.twitter.com/1IHWiqYKdN
