Thu Aug 13 16:13:03 PDT 2015 --  Never give up on something you really want. It's difficult to wait, but worse to regret.
Fri Aug 14 16:15:38 PDT 2015 --  Missing someone often causes insomnia. The frustration of being without that person keeps you awake at night.
Mon Jan 27 11:32:43 PST 2014 --  #schoolFlow
Tue Jul 09 16:20:14 PDT 2013 --  Your smile is contagious, no matter how angry or sad I am, all I need is to take one look at your smile and everything seem a little better.
Sun May 26 22:47:39 PDT 2013 --  RT if you ugly
Sun May 26 20:08:06 PDT 2013 --  There's always that one person that you've had feelings for since the moment you first met them.
Sat May 25 22:26:03 PDT 2013 --  Having to delete songs for making room in your ipod is like having to kill some of your children because you cant feed them all.
Sun May 26 21:36:06 PDT 2013 --  Can we skip school and college and go to the part where I become a princess.
Sat May 18 22:06:08 PDT 2013 --  Be strong and move on. It's time for you to be happy again.
Sat May 04 17:44:32 PDT 2013 --  i hate when people cry in front of me like should i pat their head, should i grab their ass i don’t fucking know
Fri May 03 16:05:10 PDT 2013 --  I'd give anything to be your everything.
Sun Apr 21 21:00:12 PDT 2013 --  The worse part of being lied to is when you realize you believed it. - Frank Ocean
Sun Apr 21 21:05:25 PDT 2013 --  Never fails..Jealous boyfriends always texting me, "Dont text her no more". Nigga dont be mad you aint hitting it right & she tryna fuck me
Wed Apr 10 10:07:45 PDT 2013 --  Some people are meant to fall in love with each other, but not meant to be together.
Mon Apr 08 02:45:38 PDT 2013 --  I dropped my laptop off a boat the other day. Its a Dell, rolling in the deep.
Sun Apr 07 13:07:57 PDT 2013 --  Unfortunately, we all have that one person we'd take back any second... no matter how much they hurt us in the past
Sun Mar 24 02:00:29 PDT 2013 --  " @FuckTheseHoess: You gotta text her goodnight if she special. The other bitches just get the "oh my bad I fell asleep" text in the morning"
Wed Mar 20 16:29:37 PDT 2013 --  That "have fun" text message from your girl really means she hopes u have a horrible time & she might fuck another guy later
Wed Mar 20 23:07:34 PDT 2013 --  Women think that none of her guy friends wanna fuck her, like them dudes not just as dirty as the rest of us
Sat Mar 23 20:31:23 PDT 2013 --  Let me get two grey gooses. Wait. Let me get two grey geese. That's not right either. Fuck it. Just get me a flock of vodka.
Sun Mar 24 01:30:38 PDT 2013 --  It doesn't matter if the glass is half empty or half full. There is clearly room for more alcohol.
Fri Mar 22 17:01:01 PDT 2013 --  I :) am :) so :) stressed :) about :) everything :)
Sun Mar 24 01:45:43 PDT 2013 --  So I'm invisible to you now? That's cool. I've always wanted a superpower.
Sun Mar 17 14:45:54 PDT 2013 --  Jack the Ripper and Winnie the Pooh have the same middle name. Coincidence? I think not.
Wed Mar 06 23:35:57 PST 2013 --  We TOGETHER , I'm Gone Kiss You , Touch You , In Front Of My Niggas & Those Hoes , To Let MFs Know , " You My Girl!! "
Sat Mar 02 18:00:12 PST 2013 --  SWERVE ⊂_ヽ 　 ＼＼ Λ＿Λ 　　 ＼(　ˇωˇ)　 　　 / ⌒ヽ 　　　/ 　 へ＼ 　　 /　　/　＼＼ 　　 ﾚ　ノ　　 ヽ_つ 　　/　/ 　 /　/ 　(　(ヽ 　|　|、＼ 　| 丿 ＼ ⌒) 　| |　　 ) / ノ )　　Lﾉ (_／
Fri Mar 01 06:02:27 PST 2013 --  I always sprinkle some crystal meth in my Cheerios for an extra kick. #BreakfastOfChampions
Fri Feb 01 14:26:28 PST 2013 --  Retweet if y'all like this drawing. "Art Runs In My Brain" pic.twitter.com/4Fy0hM3j
Sun Feb 03 13:11:10 PST 2013 --  Mufasa says: pic.twitter.com/XpESlV3W
Tue Feb 05 18:01:31 PST 2013 --  I wish when the power went back on at the Super Bowl we would have saw this: pic.twitter.com/18mtmmbM
Thu Jan 03 23:17:28 PST 2013 --  I JUST WANT SOMEONE CUTE TO TEXT AND TALK TO DAILY FACK URG
Sun Dec 16 02:42:13 PST 2012 --  Who the fuck up #Retweet
Fri Nov 23 18:00:05 PST 2012 --  Suicide doesn't end the pain, it just gives it to someone else.
Tue Nov 20 19:57:00 PST 2012 --  Someone told me: Don't fall in love, you might get hurt. I said: Don't live, you might die...!!
Sun Nov 04 08:54:00 PST 2012 --  When she replies is when we will talk #DoneChasing
Mon Oct 22 18:48:53 PDT 2012 --  #Romney: "We have less ships in the Navy than in 1916." #Obama: "We also have less horses and bayonets than in 1916." #Burned !! #Debate2012
Tue Oct 09 23:22:04 PDT 2012 --  You're not ready for your next if you're still replying to your ex.
Sun Oct 07 02:13:32 PDT 2012 --  When Rihanna 1st started singing she was all like "Mista dj song pon de etc.." ..now she's all like "F*ck me with a shovel and slap my tits"
Wed Sep 19 22:26:43 PDT 2012 --  Stressing and obsessing is not my style. I was raised to say fuck you, with a high class smile.
Mon Sep 10 20:26:12 PDT 2012 --  Yes, there's plenty of fish in the sea, but you're my Nemo.
Tue Sep 11 13:05:11 PDT 2012 --  Left, Right, Left, Right, Uhhh Son, Uhhh Son, Yo That Jacket Is Tight, NOW RUN THAT SHIT BITCH!
Thu Sep 13 20:00:00 PDT 2012 --  Have you ever noticed that the symbol "&" looks like a guy dragging his ass across the floor?
Sun Sep 09 10:32:01 PDT 2012 --  Hearts Change, I Know They Do.. But A Part Of Mine Will Always Belong To You.♡
Wed Sep 05 13:08:11 PDT 2012 --  I hate caring so much, Knowing you don't care at all
Tue Aug 28 13:01:06 PDT 2012 --  At exactly 12 mins, 12 secs after 12 o' clock on December 12th, the time will be 12:12:12, 12/12/12. This'll not happen again before 2112.
Sat Sep 01 19:30:42 PDT 2012 --  When a drunk person is talking, 80 percent of whatever he/she says is true.
Sun Sep 02 10:30:54 PDT 2012 --  According to astronomy when you wish upon a star you are actually a few million years late. That star is dead, just like your dreams.
Sun Sep 02 13:01:26 PDT 2012 --  The first person you think of in the morning or last person you think of in the night is either the cause of your happiness or your pain..
Mon Sep 03 12:06:01 PDT 2012 --  Don't ever forget who was there for you when no one else was.
Tue Aug 28 11:51:32 PDT 2012 --  If an octopus and a spider ever met, I bet they would have some kick-ass handshakes.
Tue Aug 28 11:15:14 PDT 2012 --  Mom: "What happened to ___ *insert old friend name*? You used to be close." Me: "Fuck that bitch."
Sun Aug 19 20:23:24 PDT 2012 --  Only A Fool Can Walk Away From A Truthful, Loyal, Faithful & Happy Relationship To Be With An Hoe
Sun Aug 26 02:42:45 PDT 2012 --  You won't ever please everyone so just make yourself happy
Sun Aug 26 02:49:25 PDT 2012 --  I wanna wrap you up. I wanna kiss your lips. I wanna make you feel wanted. I wanna call you mine. I wanna hold you forever.
Sat Aug 25 14:00:04 PDT 2012 --  Your girlfriend is gorgeous and loyal. Why flirt with other girls? Why cheat? It's like throwing away a diamond, and picking up a rock.
Sat Aug 25 07:29:40 PDT 2012 --  "Second chances ; When it just didn't hurt enough the first time ."
Sat Aug 25 05:45:14 PDT 2012 --  Second chances: When it just didn’t hurt enough the first time.
Sat Aug 25 06:40:14 PDT 2012 --  Your emotions can alter your dreams. Dreaming of someone, reflects either the happiness or pain they've caused u to feel.
Sat Aug 25 07:13:19 PDT 2012 --  R.I.P Aaliyah Dana Haughton. January 16, 1979 – August 25, 2001.
Tue Feb 07 21:22:50 PST 2012 --  L A D I E S [RETWEET] If you have Piercings, Tattoos, Belly piercings, Ear piercings, Dimple piercings Etc. [Follow Me] I Follow Back
Mon Aug 06 10:07:59 PDT 2012 --  I Still care, I'm just done chasing you
Mon Jul 23 20:58:40 PDT 2012 --  If you're mine, I'm yours! I won't put you through that stress of always worrying if you're the only one or not. Trust me. YOU ARE!
