Fri Aug 28 12:02:13 PDT 2015 --  7 tips for building muscle and burning fat. http://ow.ly/RtArT  pic.twitter.com/GFd77marug
Fri Aug 28 08:14:29 PDT 2015 --  لنازل لان خايف عمستقبل ولادو مع حملة كلكن_يعني_كلكن نحنا اهالينا وبياتنا واخواتنا عم يحاربو ويستشهدو كرمال مستقبلنا ومستقبلكن
Fri Aug 28 03:47:44 PDT 2015 --  @Ali719Mahdi مش بس انت كلن ورح ننزل اكبر عدد على المظاهرة والله لنكييييف
Fri Aug 28 10:16:16 PDT 2015 --  انتو يلي مجلوقين بالاعتصام لولا صباط السيد حسن ومجاهدينه لكنتو هلئ في عداد المنكحين
Fri Aug 28 11:17:46 PDT 2015 --  زمان كانت ولعانة فوتبول عالجديد ! هلى صارت ولعانة حملات ... #بس_يا_هبل @ALJADEEDNEWS
Fri Aug 28 12:33:50 PDT 2015 --  انسي يا انشراح ابنك نائب بالانطماح ! عاساس ثورة شعبية وفجأة الكل صار يحكو طائفية ! ليك انسى الثورة هيدي عورة والعورة ما بتنشاف
Fri Aug 28 12:25:21 PDT 2015 --  #أنا_بحركة_أمل الصورة من النبطية اليوم pic.twitter.com/c92TVL1EwU
Fri Aug 28 12:46:18 PDT 2015 --  يلي ناطر يسقط سلام متل يلي ناطر يطلعله شعر تمام .. #سلام_هالتغريدة_شو_تمام
Fri Aug 28 13:03:33 PDT 2015 --  #كلنا_خزان_حروبك وعالموت منمشي دروبك انت الشرف والكرامة انت لبنان انت للصدق و المرجلة عنوان
Fri Aug 28 13:05:12 PDT 2015 --  #كلنا_خزان_حروبك يا من نهجك نهج موسى الصدر
Sun Aug 16 14:19:01 PDT 2015 --  لهذه الأسباب تعيش النساء أطول من الرجال! ج-2 pic.twitter.com/Pv9n8GKdj4
Fri Aug 28 03:06:15 PDT 2015 --  حال بعض الشعوب هالايام . pic.twitter.com/mqz8CsSOA6
Fri Aug 28 00:36:50 PDT 2015 --  يا فارس برلمانات العرب لن يتألم لبنان بعد اليوم ما دمت له القلب والعصب pic.twitter.com/z5OjM5ZFrC
