Thu Aug 27 12:04:07 PDT 2015 --  Just chillin rn
Wed Aug 26 11:59:03 PDT 2015 --  New video! THANK YOU FOR 200,000 SUBSCRIBERS! Watch here: http://youtu.be/-BKJ1m39AcQ  Retweet? pic.twitter.com/rm0mRVoAlt
Wed Aug 26 01:43:19 PDT 2015 --  SEVEN DAYS to go! @LukeIsNotSexy is SO CLOSE to his £75K target! https://www.kickstarter.com/projects/fireflight/the-drowning-of-arthur-braxton … Please support him any way you can. <3 #RT
Sat Aug 22 21:08:49 PDT 2015 --  i will always retweet this pic.twitter.com/ryAY7UkjGD
Mon Aug 24 10:12:33 PDT 2015 --  NEW VIDEO! Here is Dear Emma #2 :) (Dear Emma is the friendlier little sister of Ask Emma!) http://youtu.be/rua3enLBFM0  pic.twitter.com/u7DztWCFEo
Mon Aug 24 05:53:48 PDT 2015 --  could you imagine Emma posting on main, gaming and beauty channel and Luke posting on his main, side and gaming channel all in one day?
Mon Aug 24 03:39:16 PDT 2015 --  Nearly had a heart attack bc a spider came down from the wall near meh
Sun Aug 23 14:32:00 PDT 2015 --  Ummmm so, just realised that a person with 1.2 million followers follows me. reaction overload!
Fri Aug 21 11:25:06 PDT 2015 --  Thank you so much to @LukeIsNotSexy for doing the filmy thing with me! Here's the video in case you missed it! https://www.youtube.com/watch?v=gVz2DUMkcuI&feature=youtu.be&a …
Fri Aug 21 06:29:56 PDT 2015 --  OMG pic.twitter.com/8c7n2eh51m
Thu Aug 20 11:30:56 PDT 2015 --  HEY LOOK! I'm not dead! Reading your comments! http://www.youtube.com/watch?v=qUbNal47HIY …
Wed Aug 19 04:55:59 PDT 2015 --  #whoisarthur who IS Arthur?
Mon Aug 03 07:09:28 PDT 2015 --  Deep Thought (Rt) Or Dumb Tweet (fav) pic.twitter.com/oeaAlGgyhg
Tue Aug 18 10:17:11 PDT 2015 --  This is just an offence to @YouTube @lifeaseva @pewdiepie @JoeyGraceffa pic.twitter.com/fngpQNWrzk
Thu Aug 13 11:51:16 PDT 2015 --  10 MINUTES: http://youtube.com/tyleroakley  RT my next tweet for a DM! this one might be my favorite so far... GET READY!! pic.twitter.com/EYz54tNE4K
Sun Aug 02 13:55:11 PDT 2015 --  I definitely need this. pic.twitter.com/N2ugIbiivR
Sat Aug 08 03:45:49 PDT 2015 --  lots of u guys seem to think @PattyxWalters did the intro for gaming series????? Ahahahaha http://youtu.be/dA0anhdrPzM?a 
Tue Dec 02 08:49:50 PST 2014 --  Please Retweet: pic.twitter.com/uvE14HzmXl
Fri Aug 07 11:38:47 PDT 2015 --  throwback thursday (it's friday) http://www.youtube.com/watch?v=VBq-Ggkn8Ks …
Fri Aug 07 05:30:21 PDT 2015 --  Winning in life pic.twitter.com/3vtnVmnAZS
Thu Aug 06 06:54:31 PDT 2015 --  In the studio
Sat Aug 01 05:41:56 PDT 2015 --  RT If you also need this umbrella pic.twitter.com/489S65YouN
Fri Jul 31 11:27:27 PDT 2015 --  C'mon guys let's get #whoisarthur trending for @LukeIsNotSexy
Fri Jul 31 11:23:41 PDT 2015 --  Let's seriously get #whoisarthur for @LukeIsNotSexy
Fri Jul 31 11:22:23 PDT 2015 --  Let's get #whoisarthur to make @LukeIsNotSexy happy!
Fri Jul 31 11:21:06 PDT 2015 --  Get #whoisarthur trending!
Fri Jul 31 11:18:55 PDT 2015 --  Omfg #whoisarthur
Fri Jul 31 11:17:52 PDT 2015 --  #whoisarthur
Sat Jul 18 11:57:40 PDT 2015 --  Bed that hides away in the ceiling during the day?? pic.twitter.com/qAjIXkx91G
Mon Jul 27 12:55:43 PDT 2015 --  Why do some couples make their status "single" every time they fight? I don't put "orphan" when I get into fights with my parents
Wed Jul 22 20:18:35 PDT 2015 --  Hold my beer while I play with the kids pic.twitter.com/dteBonFiUr
Thu Jul 16 20:13:49 PDT 2015 --  Hold my beer while I make my wedding reception entrance pic.twitter.com/yx4qVV5ntn
Sun May 24 10:49:43 PDT 2015 --  What do you call a Mexican who lost his car? Carlos.
Mon Jun 08 17:18:12 PDT 2015 --  Did you hear about the Italian chef with a terminal illness? He pastaway. Cannoli do so much. Now hes just a pizza history.
Mon May 04 16:18:05 PDT 2015 --  I'm going to stand outside. So if anyone asks, I am outstanding.
