Sat Aug 29 05:26:13 PDT 2015 --  @Clemence_gclt vouii
Sat Aug 29 03:58:32 PDT 2015 --  Ce soir @Pierrickikas
Fri Aug 28 11:00:08 PDT 2015 --  Quand un #Capricorne tombe amoureux, c'est pour la vie (en tout cas il le pense vraiment sur le moment).
Thu Aug 27 15:24:37 PDT 2015 --  Tellement d'choses que j'aurai voulu changer ou voulu vivre, tellement d'choses que j'aurai voulu effacer ou revivre
Wed Aug 26 16:46:17 PDT 2015 --  Quand je pense mon futur mari il est peut-être en couple entrain de se faire des films alors qu'ils finiras avec moi le pauvre mdr
Sun Jul 20 14:54:17 PDT 2014 --  Les meufs aiment se faire belle pour elle même aussi arrêter de croire que c'est direct pour quelqu’un
Tue Aug 25 08:51:22 PDT 2015 --  #DISPARATION Léa est portée disparu depuis le 22 août Fbg Bannier. Les proches sont très inquiets. Merci de relayer. pic.twitter.com/QSSgo345H9
Sat Aug 22 20:00:56 PDT 2015 --  "Je t'ai donner 20 euros , t'as préfère aller chez celui qui te donne 50 , il en avait 5000 , moi seulement 20" c dur a comprendre mais c bo
Sun Aug 23 16:12:26 PDT 2015 --  J'aime trop quand c'est comme ça entre nous
Sun Aug 23 11:22:17 PDT 2015 --  c'est beau quand un gars n'a qu'une seule fille en tête
Sun Aug 23 13:04:06 PDT 2015 --  TW
Sat Aug 22 16:41:35 PDT 2015 --  HFC c'est tellement bon putain
Thu Jun 18 04:35:52 PDT 2015 --  Gt a H&M dns les cabines dessayage et là jentend 1 meuf dire"jen est mare dêtre bien foutu, tout me vas" excuse nous dêtre moche Beyoncé
Sat Aug 22 12:57:09 PDT 2015 --  @Clemence_gclt
Sat Aug 22 12:44:11 PDT 2015 --  @Pierrickikas
Mon Jul 27 03:12:33 PDT 2015 --  Quand je reçois "Je te vois" par SMS pic.twitter.com/pPm2IZzXaE
Thu Aug 20 11:57:49 PDT 2015 --  Mon grand frère habite à Cambridge et y'à moi à Orléans
Tue Aug 18 07:09:10 PDT 2015 --  Reprise des entrainements pic.twitter.com/jUXMZsluvM
Wed Aug 19 15:48:16 PDT 2015 --  S'acheter autant de vêtements que l'on souhaite pendant une journée. pic.twitter.com/D3Avo0J0vr
