Sat Mar 14 21:32:59 PDT 2015 --  I refuse to b submissive to a man who hasn't submitted to god about me...
Tue Sep 23 06:33:55 PDT 2014 --  Tbh I'll never understand the species called men...so hard headed
Wed Jul 30 10:20:02 PDT 2014 --  Oh my goodness he asked me cook for him for the 1st time..was'nt even ready... nerves are killing me ryt now☹
Thu Jul 24 09:44:10 PDT 2014 --  You'll never find a man single either u snatch him or share with the other lady..the most important part is to be the majority share holder
Wed Jul 23 06:21:09 PDT 2014 --  Chilling on a couch convincing myself I dnt wanna pee but reality is I have a full tank down there need to offload...lazy walk to the loo
Sat Jul 19 23:00:52 PDT 2014 --  Well I did say I was gonna kill him,but I'm too tiny can't even kill a bug..surely I didn't scare him away gosh he called me a serial's
Sat Jul 19 22:57:10 PDT 2014 --  Be careful what u say to me today,just had a bowl of bitch for breakfast☹just one stupid argument and he ds'nt tell me hs leaving 4 DBN
Fri Jul 18 23:59:50 PDT 2014 --  Weather be so stupid today month jhb hayi for god's sake its a saturday
Thu Jul 17 00:07:37 PDT 2014 --  Dear God please help me see myself they you do...Amen
Fri Jul 11 16:25:54 PDT 2014 --  I just need to kill right now..even if its a fly I swear I'd feel better after. Squashing the life outta it☹
Fri Jul 11 13:26:25 PDT 2014 --  I'm not crying because of you; you're not worth it. I'm crying because my delusion of who you were was shattered by the truth of who you are
Thu Jul 10 13:05:33 PDT 2014 --  People eat a lot when thyre stressed buh I just can't stand food when I'm stressed I just want my music and my mom's voice
