Tue Aug 18 08:01:03 PDT 2015 --  Alpacamon, you're welcome. pic.twitter.com/jZM8pIzKc9
Thu Aug 13 13:04:27 PDT 2015 --  Weisheit des Tages: Ein Veganschnitzel ist intelligenter als Dagibee
Thu Aug 13 00:54:27 PDT 2015 --  Jemand Lust auf ein Koch Video mit #Veganschnitzel ?
Wed Aug 12 16:25:45 PDT 2015 --  Wie siehts aus @BibisBeauty & @DnerTV ? Schminke vs. Minecraft V2? Gogo, Bier steht bereit! :3
Wed Aug 12 16:20:37 PDT 2015 --  @HandIOfIBlood in Etwa so. pic.twitter.com/WZw2LV6tRl
Wed Aug 12 16:00:46 PDT 2015 --  Das wars für Heute aus dem Kommentatorstudio, meine Name ist HandOfBlood und ich verabschiede mich nach einer spannenden Partie. Stay true.
Wed Aug 12 15:45:39 PDT 2015 --  . @dagibee DA IST DAS SURRENDER! DAGI GEHT VOM PLATZ! GGWP @unge KLARE FÜHRUNG MIT 5:3! pic.twitter.com/VKjg7bYW8b
Wed Aug 12 15:42:07 PDT 2015 --  . @SuddenObsessed @unge unsportliches Verhalten seitens @unge! DAS MUSS DOCH NE KARTE GEBEN! pic.twitter.com/hZXOhnybrn
Wed Aug 12 15:37:25 PDT 2015 --  . @dagibee @unge @AlissaStoll DA IST DER KINNHARKEN, @unge GEHT KURZ ZU BODEN! pic.twitter.com/E0aiDrOHfQ
Wed Aug 12 15:32:04 PDT 2015 --  . @dagibee @m00sician @unge @kompassnadeI OHHHHHHHH DA ISSSET! DIE ERSTE LINKE SITZT! pic.twitter.com/nCCo4m8kYs
Wed Aug 12 15:30:47 PDT 2015 --  Ich glaub ja @dagibee hat ihren Schwanz eingezogen. #DagiWirdRasiert
Wed Aug 12 15:27:44 PDT 2015 --  Ich bin da ja investigativ unparteiisch und hol mir Popcorn #allesklar
Wed Aug 12 15:23:53 PDT 2015 --  Das ist wie zwischen den Runden beim Boxen, @dagibee muss kurz mit @diese_ramona weitere Vorgehensweisen besprechen. DING DING DING!
Wed Aug 12 15:17:24 PDT 2015 --  Stay true mein Junge, HasselHoB steht hinter dir. In dem Sinne. @unge
Wed Aug 12 15:21:08 PDT 2015 --  Get Rekt. gg wp. @dagibee
Wed Aug 12 15:09:05 PDT 2015 --  Ist das der richtige Zeitpunkt zu erwähnen, dass ich auf ner Party mal Lionts Kopf in meinen Schoß gedrückt habe. Sorry, Dagi :(
Wed Aug 12 15:04:49 PDT 2015 --  Die Beauty-Tante und der Öko-Fritze machen mir meinen großen Moment kaputt!!!!!!! #MayThePestoBeWithYou
Wed Aug 12 15:01:21 PDT 2015 --  Ich sitze hier halb nackt auf der Couch und lache. #DagiwirdRasiert
Wed Aug 12 14:43:38 PDT 2015 --  Das beste ist immer noch die Aussage ''BIN ABER MENSCHLICH!'' damit hast du mich gekillt xD
Wed Aug 12 14:35:47 PDT 2015 --  Dieser Abend geht in die Geschichte ein als #DagiWirdRasiert #DagiBeef
Wed Aug 12 13:55:07 PDT 2015 --  Aber deine Follower/Zuschauer glauben dir doch auch total vieles :D @dagibee
