Thu Sep 04 19:02:32 PDT 2014 --  i am so much smarter than this baby
Thu Jul 16 08:12:25 PDT 2015 --  if you need to reach me, turn right at the screaming donkeys but stop when you see the ant hill
Fri Aug 28 10:44:16 PDT 2015 --  "art in a dentist's office" is a genre I don't understand fully
Fri Aug 28 09:10:54 PDT 2015 --  @emily_fishkin #DadsforDido!!!
Wed Aug 26 18:24:05 PDT 2015 --  just a girl, standing in front of a boy, asking him about his thoughts about the best academic year planners for my needs
Tue Aug 25 15:25:07 PDT 2015 --  shout out to all the boys wearin salmon shorts w blue button downs for the visual cue that we will never be friends
Tue Aug 25 15:05:47 PDT 2015 --  just saw a pigeon eat a chicken nugget off the ground // surely the second coming is at hand
Tue Aug 25 14:27:12 PDT 2015 --  Donald Trump : USA : : Sauron : Middle Earth
Mon Aug 24 00:22:51 PDT 2015 --  @emily_fishkin am currently v v worried about #bunnies worldwide
Sun Aug 23 15:28:01 PDT 2015 --  proof of wizards pic.twitter.com/Z2NVvDSeCa
Sun Aug 23 15:26:52 PDT 2015 --  spotted a colony of wizards at my sisters' invocation!!!!!! loving hogwarts so far such a fun school great recycling program
Sun Aug 23 09:25:38 PDT 2015 --  my sister is going to college in "licking county" and NO i am not being mature about that at all
Sat Aug 22 13:27:18 PDT 2015 --  as a state, indiana has little to commend it other than fictional hero leslie knope
Sat Aug 22 09:06:20 PDT 2015 --  what does @gglasstheatre know about me that i don't know #gender #is #a #construct pic.twitter.com/hL5aTNGS2I
Thu Aug 20 22:31:14 PDT 2015 --  today i bought a matching pajama set so sign ME up for the retirement home bc i am ready to finally kick back && relax
Mon Jul 20 21:59:38 PDT 2015 --  You are superflous in the obtuse eyes of a busy world, yet you never forget to shape your eyebrows.
Wed Aug 12 11:17:00 PDT 2015 --  tortured death sex meow
Tue Aug 11 15:08:24 PDT 2015 --  my boss just took my empty travel mug, washed it out, and poured half a bottle of red wine in for my commute home !!!!!!!!!!!!!!!!!???
Sun Aug 09 22:31:19 PDT 2015 --  if i hear one fucking person complaining about "riots" this week i will FCKING smack them. you should be furious: i am furious.
Sun Aug 09 17:50:01 PDT 2015 --  JJ is ready for his writing MFA with these similes
Sun Aug 09 17:38:35 PDT 2015 --  i want to write my thesis on bachelor in paradise
Sun Aug 09 17:02:41 PDT 2015 --  tenley is not a name
Sat Aug 08 13:50:33 PDT 2015 --  yes , i am also in Europe!!!!!!!!
Fri Aug 07 13:53:40 PDT 2015 --  became an adult when i moved the podcasts app to the front page of my apps. scheduling bat mitzvah for next wknd txt my mom if ur available
Thu Aug 06 11:51:04 PDT 2015 --  as if i needed another reason to dislike the men in this office they're now listening to imagine dragons !!!!!
Wed Aug 05 20:24:24 PDT 2015 --  i spend so much time pretending that i am dating michael b. jordan that nothing else feels real
Thu Mar 12 21:00:38 PDT 2015 --  The locusts I've housed in my ribs tell me of horror to come. Are you afraid? I have never been.
Sun Aug 02 12:47:18 PDT 2015 --  but where is @LionBabe evacuating to cause that's where the real storm is and we want in
Fri Jul 31 22:42:46 PDT 2015 --  THE PLACE: lolla in a field of drunken youths with crushed beer cans everywhere ME: quoting "the wasteland" & quietly weeping
Tue Jul 28 17:06:33 PDT 2015 --  brief existential panic is an everyday thing
Sat Jul 25 22:13:53 PDT 2015 --  just an adult woman living her best life listening to the new carly rae jepsen on repeat while eating stale cereal pic.twitter.com/3HhyRicK9e
Thu Jul 23 08:30:25 PDT 2015 --  chris traeger playing sad monk chants at a valentines couple's dance is me as hell
Sun Jul 19 21:53:43 PDT 2015 --  save the last dance: or, watching julia stiles' hair slowly transform into cornrows
Thu Jul 16 13:39:23 PDT 2015 --  WHY @BUGS
Thu Jul 16 10:33:14 PDT 2015 --  i literally think about tatiana maslany all the time
Thu Jul 16 06:08:55 PDT 2015 --  woke up without ANY emails and i am not taking it well
Mon Jul 13 21:37:37 PDT 2015 --  don't worry, i have cried more watching lilo and stitch than i have ever cried for any reason in my life and there's still 50 minutes left
Mon Jul 13 20:58:11 PDT 2015 --  i started crying about five minutes into lilo and stitch and i don't really expect to stop
Sat Jul 11 11:37:04 PDT 2015 --  Ice Cream. Ice cream
Tue Jul 07 22:06:30 PDT 2015 --  we are so lucky that Channing Tatum was discovered we are so lucky
Tue Jul 07 11:16:37 PDT 2015 --  stanley tucci is the ultimate ultimate.
Sun Jul 05 12:20:39 PDT 2015 --  @ middle parts
Sat Jul 04 18:03:54 PDT 2015 --  i slept through the fourth of july and i feel okay about it
Mon Jun 29 21:36:33 PDT 2015 --  just read over my lease, apparently am not allowed to have painted a mural of every clone from orphan black on my wall - very confused, hurt
Sat Jun 27 18:41:14 PDT 2015 --  do you think pharrell signs his emails "pharewell,"
Sat Jun 27 12:03:14 PDT 2015 --  lying on my bed eating dry cereal listening to trap queen; have come to the conclusion that i am probably not a trap queen
Fri Jun 26 17:09:08 PDT 2015 --  Today: pic.twitter.com/XpR3ZYOA44
Sun Jun 21 09:48:33 PDT 2015 --  This Girl Just Finished College...You Won't Believe What She Did Next! (insert vid of me laying on my bed for 14 hours surrounded by debris)
Sat Jun 20 20:25:27 PDT 2015 --  Hi Sophia
Thu Jun 18 22:31:51 PDT 2015 --  the hair wants what it wants
Thu Jun 18 11:09:35 PDT 2015 --  did not know the Blackhawks parade was also a drunk tween convention what an amazing holiday
Wed Jun 17 23:21:43 PDT 2015 --  i'm just a girl, standing in front of her computer, desperately tracking her zappos order
Tue Jun 16 16:35:52 PDT 2015 --  club goin up on a #bloomsday
Tue Jun 16 06:43:33 PDT 2015 --  oh volumizer? no ha ha i simply depend on sweat to give my hair beautiful *body*
Mon May 18 17:22:22 PDT 2015 --  Fingers crossed Anne Hathaway never finds out that she's not in the Bad Blood music video
Tue Jun 09 17:57:19 PDT 2015 --  man cannot live on seaweed snack alone
Mon Jun 08 01:13:04 PDT 2015 --  r u a software update because not now
