Fri Jul 31 13:48:20 PDT 2015 --  We have a very special announcement regarding @tabletop …. pic.twitter.com/eudFN3YMv3
Mon Apr 06 06:49:12 PDT 2015 --  We don't have cars. We have garbage cans on wheels.
Fri Apr 10 13:22:50 PDT 2015 --  Few things are as awkward to an ENFP than feeling like what they said was misinterpreted. Others may brush it off; we must re-explain!
Wed Apr 15 11:49:07 PDT 2015 --  You know that icky feeling in the pit of your stomach when you're worried you made the wrong decision? THAT'S why we hate making decisions!
Sat Apr 18 11:04:54 PDT 2015 --  Chance that our leftovers make it out of the restaurant: 60% Chance that our leftovers make it from the car to the fridge: 8% #ENFPprobs
Sat May 02 19:38:03 PDT 2015 --  ENFPs - It's amazing how much we can accomplish when we're motivated. 🏼 And it's amazing how little we can accomplish when unmotivated!
Wed Apr 22 07:58:22 PDT 2015 --  Almost the entire 'Jane the Virgin' cast is team Michael, apparently http://www.ew.com/article/2015/03/23/almost-everyone-jane-virgin-cast-team-michael … via @EW #TeamMichael for me
Wed Apr 22 08:49:51 PDT 2015 --  #janethevirgin #TeamMichael
Sun Feb 01 19:35:37 PST 2015 --  Robbed. #SupeBowlXLIX
Sun Feb 01 18:51:16 PST 2015 --  If you're at a party and you don't know anything about football, shut the fuck up right now.
Sun Feb 01 19:01:27 PST 2015 --  Seriously why would you throw? With their level of runners, why the hell would you throw?
Sun Feb 01 19:35:03 PST 2015 --  Worst play call ever.
Fri Jan 16 10:12:20 PST 2015 --  Watch #TableTop & enter to win a copy of #StoneAge: http://is.gd/D3uOyy 
Thu Jan 08 05:14:19 PST 2015 --  Please retweet and consider donating if you can! http://www.giveforward.com/fundraiser/ly67/dan-vs-semi-truck-dan-won- … pic.twitter.com/HmBwocjloB
Sat Dec 13 10:01:39 PST 2014 --  And as an FYI, #Tabletop DVDs will be available for purchase soon! We'll have more news as we finalize some details ^_^
Thu Dec 11 16:05:44 PST 2014 --  Touch me without my consent for FREE amputations! Just cut that hand right off. No problemo.
Wed Dec 10 17:19:24 PST 2014 --  …because I’m one of those weird pet owners who wants to have a camera in his backyard, to never miss a moment of his dogs playing.
Wed Dec 03 15:27:45 PST 2014 --  Just a little Arkham Horror on this Wednesday night. #assembleyourparty pic.twitter.com/b43W0idUDC
Mon Dec 01 22:37:40 PST 2014 --  Support #INSTIGATE Clothing, only a few more days to get this @kickstarter funded! >>> http://www.kickstarter.com/projects/1858937107/instigate-clothing … pic.twitter.com/wLC7zhW3d7
Mon Dec 01 12:21:54 PST 2014 --  My day has been a "Fuck it, I'm getting Taco Bell for dinner" type of day.
Thu Nov 27 08:40:24 PST 2014 --  I hate this holiday.
Tue Nov 25 08:39:21 PST 2014 --  I'm rocking short hair again! Inspired by @ginnygoodwin pic.twitter.com/gTDPB037dy
Tue Nov 25 08:38:05 PST 2014 --  My husband's friends would rather hang out with my mom than me because she's "so cool." It's High School all over again.
Thu Nov 13 11:27:18 PST 2014 --  Every game night at our house, we try to explain the rules & fail. We always end up saying, "Put on Tabletop and let @wilw explain."
Wed Nov 12 14:26:09 PST 2014 --  #TableTop fact: We have the most amazing crew & fans that anyone could ever ask for. Tomorrow is the day http://bit.ly/ScPLsk 
Sun Nov 09 12:51:48 PST 2014 --  Red Apple Sangria at Applebee's is like Fruit Punch for Adults.
Wed Nov 05 16:07:05 PST 2014 --  My local polling place didn't have "I voted" stickers. Now how will I make people feel like douchebags for not voting?
Sun Nov 02 18:52:07 PST 2014 --  Roethlisberger looks like Wreck It Ralph.
Sat Nov 01 22:12:51 PDT 2014 --  It’s November 1st, which means today America’s trash cans are filled with thousands of unopened Fun-Size Almond Joys.
Wed Aug 13 11:36:44 PDT 2014 --  #IfTheyGunnedMeDown pic.twitter.com/IUvydzbfnA
Sat Aug 02 21:31:10 PDT 2014 --  No one told me that when I got married I would lose friends. Jealousy, feelings, and who knows what. They only liked me because I was alone.
Thu May 29 20:20:43 PDT 2014 --  Things fall apart in my life. They always seem to do so when I almost have my head above water. Sinking again...
Fri May 16 19:22:32 PDT 2014 --  So Many Hipsters...
Fri May 16 19:13:13 PDT 2014 --  Ever feel too fat and old to attend events like a local band at a bar? Well, I do...right now. Go home twigs! It's past your bedtime.
Fri May 16 07:31:13 PDT 2014 --  Finally able to catch the re-run of #MarriageBootCamp Yay!!
Thu May 15 18:14:40 PDT 2014 --  YES!! #GreysAnatomy
Thu May 15 18:02:44 PDT 2014 --  No! Don't go to the mall! #GreysAnatomy
