Sat Aug 29 01:14:36 PDT 2015 --  Hoy 18:15 juega el más grande, hoy Sabado juega #BocaJuniors señoras y señores
Fri Aug 28 21:52:49 PDT 2015 --  Odio cuando como algo crocante y no me deja escuchar la película entonces tengo que empezar a comer en cámara lenta.
Fri Aug 28 20:38:11 PDT 2015 --  Yo dije al fin casa sola.. Y al rato cae mi vieja.. Me cago la ilución
Fri Aug 28 08:55:20 PDT 2015 --  Desde ayer a las 7:00 de la mañana que estoy despierto
Fri Aug 28 08:55:20 PDT 2015 --  Ahora a dormir un toke
Fri Aug 28 06:47:03 PDT 2015 --  Aunque trabaje o no trabaje, estudié o no estudie, tenga responsabilidades o no tenga responsabilidades, siempre tengo sueño.
Fri Aug 28 06:08:52 PDT 2015 --  Pase de largo y ahora tengo sueño -.-
Thu Aug 27 21:02:47 PDT 2015 --  En la plaza con los pibes!
Thu Aug 27 18:33:49 PDT 2015 --  Mi vieja no sabia donde esta España hasta que se lo dije yo que esta en Europa, vieja termina la escuela
Thu Aug 27 18:29:01 PDT 2015 --  Mi vieja me dijo que España esta en America o.O vieja te quejas que no termine la escuela pero vos tampoco la terminaste
Thu Aug 27 17:54:32 PDT 2015 --  Se ortivan todos y nadie escribe vite t(-.-t)
Thu Aug 27 16:40:48 PDT 2015 --  -me cae mal -que te hizo? -no le gusta el FERNET -matemoslo
Thu Jul 02 16:49:43 PDT 2015 --  —Te amo —Ayyy... ¿Es verdad? —Si! —¿Más que a tu cuenta de twitter? —Ahh no jodas, tampoco te emociones.
Thu Aug 27 10:59:16 PDT 2015 --  CÁNCER: si tu lado oscuro se muestra, tal vez perdonas, pero nunca olvidas (borra también la palabra “perdonar”) quien la hace la paga.
Thu Aug 27 10:55:42 PDT 2015 --  Ladrarle a los perros para hacerlos enojar.
Thu Aug 27 10:52:00 PDT 2015 --  Choto? Choto es que telefe haya sacado a "Casados Con Hijos" para volver a poner "Avenida Brasil" & "Dulce Amor"
Thu Aug 27 10:39:44 PDT 2015 --  Porque mierda me levante 7:30? Ni idea, lo que si se que fue al re pedo porque no hago nada ni estudio ni trabajo
Thu Jul 09 17:23:26 PDT 2015 --  2015 Y TODAVÍA NO SE PUEDE BLOQUEAR EL MÓVIL Y QUE YOUTUBE SIGA SONANDO.
Thu Aug 27 10:15:14 PDT 2015 --  La Beriso y Las Pastillas Del Abuelo en Pigüé para la fiesta de la Primavera... Al fin trae buenas bandas Pigüé!
Thu Aug 27 09:37:50 PDT 2015 --  Decir NO IMPORTA con un nudo en la garganta, entre otras cosas de la vida.
Thu Aug 27 09:32:21 PDT 2015 --  #CÁNCER: No quites tanta importancia a cosas que sí son necesarias y se la pongas a tonterías que no vas a solucionar…Por favor…
Thu Aug 27 08:37:19 PDT 2015 --  Estaria nacesitando que alguien me necesite...
Thu Aug 27 08:34:02 PDT 2015 --  "Si me vas a amar, que sea sin restricciones ni arrepentimientos, si me vas a olvidar, también."
Thu Aug 27 08:32:03 PDT 2015 --  Te pido por favor que no escribas mientras te estoy contestando, porque voy a tener que cambiar todo lo que ya escribí. Gracias.
Fri Aug 15 12:44:58 PDT 2014 --  "Siempre hay algo que me recuerda a ti."
Thu Aug 27 08:21:59 PDT 2015 --  En las mañanas tengo más sueño que en toda la noche.
Thu Aug 27 08:04:02 PDT 2015 --  "Más vale una verdad que duela que una mentira que ilusione."
Thu Aug 27 07:46:02 PDT 2015 --  Es ley, estas mal por algo y se te juntan 10 quilombos más.
Thu Aug 27 07:41:51 PDT 2015 --  Hoy se estrena #Boca3D y no la puedo ver porque en Pigüé no hay puto CINE NO HAY! La puta madre.
Thu Aug 27 05:26:17 PDT 2015 --  Si fuera padre me muero por imbesil, ya no poder ponerle unas sapatillas a un bebe es grabe
Thu Aug 27 05:23:43 PDT 2015 --  Media hora estube poniendole las sapatillas a mi sobrino para que las saque mientras se las ataba atando.. Lo bueno que ya termine
Thu Aug 27 05:04:02 PDT 2015 --  "El tiempo te da las opciones, pero tú tomas las decisiones."
Sat Dec 27 07:16:57 PST 2014 --  Si es contigo, a donde sea.
Thu Aug 27 04:56:05 PDT 2015 --  Si no laburo ni estudio? Porque mierda me desperte tan temprano? No entiendo
Thu Aug 27 04:28:29 PDT 2015 --  Si en Navidad no quieres a alguien, no lo querrás en el resto del año. (Anónimo)
Thu Aug 27 04:04:02 PDT 2015 --  "Nunca pierdas la fe, los mejores comienzos vienen después de los peores finales."
Thu Aug 27 04:07:54 PDT 2015 --  Ya fue me voy a tomar unos mates con la vieja si no me puedo dormir
Wed Aug 26 03:00:30 PDT 2015 --  Cuando #Cáncer se enamora, se abre del todo a la otra persona. Así que ellos esperan lo mismo de sus parejas.
Tue Aug 25 23:10:34 PDT 2015 --  Sin locura, no existe la felicidad.
Tue Aug 25 23:03:48 PDT 2015 --  #LargaVidaAEsosQue NUNCA DESCENDIERON
