Fri Aug 14 08:22:54 PDT 2015 --  49k!! Malapit na ma achieve ang 50k! YLONA ConquersAliwTheater
Mon Jun 29 05:30:57 PDT 2015 --  Tweet pa rin ba? #NingningTeaser
Mon Jun 15 01:12:19 PDT 2015 --  Corrine's HT for tomorrow #NasaanKaCorrine By : @JANEstersz
Sat May 02 19:53:11 PDT 2015 --  Sa mga online po jan, kindly include this HT po! JaneOineza At SMG2015
Thu Apr 02 18:39:34 PDT 2015 --  McDonald's is Giving Away P10,000 Until May 14, 2015 Only! http://jhonreen.sharethisstory.net/ph-76840-2012?utm_source=twitter&utm_medium=web&utm_campaign=share …
Thu Apr 02 18:39:13 PDT 2015 --  Style Tips from my fave Filipina idols! http://jhonreen.sharethisstory.net/ph-76840-2018?utm_source=twitter&utm_medium=web&utm_campaign=share …
Thu Apr 02 18:38:34 PDT 2015 --  How motivating! Gusto ko rin maging isang World-Class Filipina! http://jhonreen.sharethisstory.net/ph-76840-2020?utm_source=twitter&utm_medium=web&utm_campaign=share …
Thu Apr 02 18:37:28 PDT 2015 --  Looking For The Easiest SUMMER JOB Where You Can Earn P3000 A Month? http://jhonreen.sharethisstory.net/ph-76840-1990?utm_source=twitter&utm_medium=web&utm_campaign=share …
Thu Apr 02 18:35:20 PDT 2015 --  To be a World-Class Filipina, you need to have a World-Class attitude! Read this! http://jhonreen.sharethisstory.net/ph-76840-2024 
Wed Feb 04 00:52:10 PST 2015 --  Push lang natin to: NKNKK On PrimetimeBida
Mon Dec 08 05:33:30 PST 2014 --  tnx
Tue Nov 25 16:08:06 PST 2014 --  RT to help #IntelAndroid donate & support @GirlsWhoCode. Every RT equals a $1. Help us reach our goal today! https://cards.twitter.com/cards/3hs36/7fpw …
Sun Nov 23 05:48:20 PST 2014 --  Jane presenting with Kuya Kim. #CTO #28thStarAwardsForTV pic.twitter.com/S4nFa1PKLV
Sat Nov 22 06:40:02 PST 2014 --  “ @itsJaneOineza: Wherefore art thou @ponce_jerome? pic.twitter.com/aeCTtBMMkc”
Sun Nov 16 01:39:39 PST 2014 --  Never lose Hope! JeronTeng At HoopsForHope
Sun Nov 16 01:46:00 PST 2014 --  pic.twitter.com/4MQdHD0Cnx
Sat Nov 15 07:27:32 PST 2014 --  Over over n tong i do JaRon On BananaSplit BuzzNgBayan With JaneAndJeron JaneAndJeron On BananaNite"
Sat Nov 15 07:29:38 PST 2014 --  Paka daming sponsor ng i do! JaRon On BananaSplit BuzzNgBayan With JaneAndJeron
Sat Nov 15 07:21:58 PST 2014 --  Go go go JaRon On BananaSplit BuzzNgBayan With JaneAndJeron
Sat Nov 15 00:44:47 PST 2014 --  Ang tumalll why like that? Hahaha JaRon On BananaSplitMamayaNa BuzzNgBayan With JaneAndJeron
Fri Nov 14 21:08:30 PST 2014 --  h http://wp.me/pMln2-4ws  via @EnteRvrexWorld
Fri Nov 14 17:22:24 PST 2014 --  Good morning!!!
Tue Nov 11 16:13:58 PST 2014 --  ngaa ginaano ka nila pandaq..hahah
Mon Nov 10 06:14:54 PST 2014 --  Goodnight @itsJaneOineza @jeronteng Have a good rest! The both of you! We love you! BIGTIME! JaRon OneYear Of Friendship
Mon Nov 10 05:33:20 PST 2014 --  “ @EffsSinclair: That 1 day Was one year ago today @itsJaneOineza pic.twitter.com/4YoQ2v6bP1”
Mon Nov 10 05:24:54 PST 2014 --  Dear @itsJaneOineza ..still waiting pic.twitter.com/38hGKmKnOy
Mon Nov 10 05:40:09 PST 2014 --  Hi Keypers! Pls do vote for Janey http://starringoftheday.blogspot.com/2014/11/poll-whos-most-beautiful-rising-star_38.html …
Mon Nov 10 05:40:44 PST 2014 --  Hi Jaron shippers! Please vote for Janey http://starringoftheday.blogspot.com/2014/11/poll-whos-most-beautiful-rising-star_38.html …
Mon Nov 10 05:41:33 PST 2014 --  JANEY NEEDS OUR HELP PLS VOTE FOR HER! sorry for spamming though http://starringoftheday.blogspot.com/2014/11/poll-whos-most-beautiful-rising-star_38.html …
Mon Nov 10 05:42:51 PST 2014 --  “ @JANEOlNEZA: HI EVERYONE! PLEASE VOTE FOR JANE OINEZA http://starringoftheday.blogspot.com/2014/11/poll-whos-most-beautiful-rising-star_38.html …”
Fri Nov 07 01:27:37 PST 2014 --  " @JFabGeek: @itsJaneOineza #FlashbackFriday pic.twitter.com/i47IZIlJIJ" @jeronteng again and again
Fri Nov 07 05:25:05 PST 2014 --  “ @JaneDefender: YUN OH!! @itsJaneOineza ABANGAN pic.twitter.com/dOW58bMCZX”
Thu Nov 06 00:03:11 PST 2014 --  woooo TapatanNiTunying With JeronTeng JeronTeng On TNT
Thu Nov 06 00:03:49 PST 2014 --  pkibilisan ng oras TapatanNiTunying With JeronTeng JeronTeng On TNT
Wed Nov 05 08:10:20 PST 2014 --  [ #KTCA2014] Congratulations to Loisa Andalio Rank 7 at #99MostBeautifulFilipina. See the results here:... http://fb.me/6rVu1RmBx 
