Sun Aug 02 11:18:07 PDT 2015 --  I can honestly say that you're what's been on my mind all day.
Thu Aug 20 02:46:16 PDT 2015 --  #Gurmeetramrahim #MSGOnYouTube bless me plzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz piti :(
Mon Aug 17 03:51:31 PDT 2015 --  #MSG2PosterRelease Almighty Grace! Another Milestone by Dera Sacha Sauda. Honoured with 7 new Asia Book of Records. Congratulations to all!
Sun Aug 16 21:54:45 PDT 2015 --  #MSG2PosterRelease If you need any information/help to be aware and avoid piracy of "MSG-2 The Messenger". You can contact at 8569917777.
Sat Aug 15 07:06:12 PDT 2015 --  #WishBdayByWelfare plant trees & make legacy @ IndependenceDay.Grow them like own kids & get blessed pic.twitter.com/UBgnPqJgat
Sat Aug 15 07:11:40 PDT 2015 --  Memorable snapshot with the Media persons after a Press Conference on the occasion of Tree Plantation #MSGDeshKeLiye pic.twitter.com/VEwis2360y
Sat Aug 15 07:18:09 PDT 2015 --  #WishBdayByWelfare Mesmerising day with Cake Ceremony, Tree Plantation n Gurumantra. Now ready 4 Musical Concert to praise the Almighty God.
Sun Aug 16 14:19:39 PDT 2015 --  #MSG2PosterRelease 421530 fans at Jazba-E-Sewadar Night were extremely excited for upcoming Movie MSG -2 on 18th Sep. pic.twitter.com/FiJHoncbSi
Sun Aug 16 00:49:50 PDT 2015 --  #MSG2PosterRelease मानसा ब्लाक के साथselfie.रात रू-ब-रू नाइट में मालिक के प्यार का समुन्दर ठाठे मार रहा था । सबको pic.twitter.com/HL4P63C5N7
Sun Aug 16 00:35:03 PDT 2015 --  #MSG2PosterRelease Selfie with "Mansa Zone " Gods ocean of Love was flowing excitedly at RU B RU NIGHT. pic.twitter.com/c9ZVJJ1ssf
Sun Aug 16 00:18:27 PDT 2015 --  #MSG2PosterRelease Fabulous musical Rubru Night full of enthusiasm. Awesome view of stadium fully packed with fans. pic.twitter.com/FLCPEIHTK7
Sun Aug 16 00:12:26 PDT 2015 --  #MSG2PosterRelease Musical Rubru Night was over swung with the excitement of Mansa Zone. All enjoyed to the fullest. pic.twitter.com/byhoGkcHJs
Sat Aug 15 15:36:17 PDT 2015 --  Finally!!! 1st poster of most awaited MSG-2 The Messenger unveiled amidst 278820 fans. #MSG2PosterRelease pic.twitter.com/7VMPzxCLSN
Mon Aug 17 21:07:30 PDT 2015 --  #MSGPosterRelease Endless Environmental Efforts by Volunteers who planted over 50 Lac Trees across globe on 15th Aug. pic.twitter.com/CXBus6qDEE
Tue Aug 18 10:53:23 PDT 2015 --  #MSG2PosterRelease अगली tweet में हम आपको एक नया तोहफ़ा भेजेंगे ।आप तैयार हो...
Tue Aug 18 14:05:43 PDT 2015 --  #MSGonYouTube This is my Youtube http://channel.Here ,I will keep uploading MSG2 n other videos. https://www.youtube.com/watch?v=PdFxw1s9ISo&feature=youtu.be …
Wed Aug 19 03:47:47 PDT 2015 --  #MSGOnYouTube says let's join #MSGDoing112WelfareWorks on the World Humanitarian Day and spread kindness across the globe.God Bless you all
Wed Jul 08 14:18:03 PDT 2015 --  The saddest thing in life is to lose people closest to you.
Sat Jul 11 11:18:06 PDT 2015 --  pic.twitter.com/RtvLb8JsCx
