Fri Aug 28 21:27:11 PDT 2015 --  I give up
Fri Aug 28 09:25:07 PDT 2015 --  do you ever just smell an old perfume, or hear an old song, or pass an old hangout spot and kinda break inside for a couple minutes
Fri Aug 28 06:20:00 PDT 2015 --  am i the only one that wonders if anyone reads your twitter like everyday just to check on you and make sure you're okay
Thu Aug 27 17:00:27 PDT 2015 --  do u ever just make scenarios in your head that will never happen but make you so happy just imagining them
Thu Aug 27 17:01:02 PDT 2015 --  If you don’t like what life is giving you, maybe you can try exchanging it? Hopefully life will understand.
Thu Aug 27 17:14:15 PDT 2015 --  Having a good heart fucks you over in our generation
Thu Aug 27 16:45:04 PDT 2015 --  A good relationship is with someone who knows all your insecurities and imperfections but still loves you for who you are.
Thu Aug 27 15:40:30 PDT 2015 --  Why am I stuck on this show? #VideoGameHighSchool#Netflix#VGHS
Thu Aug 27 04:18:42 PDT 2015 --  I came to work way to early
Wed Aug 26 19:10:55 PDT 2015 --  Yes Netflix, I'm still watching you, stop asking
Wed Aug 26 16:06:14 PDT 2015 --  Are these elementary students? I'm dead https://twitter.com/FancyNailss/status/636393878229282816 …
Wed Aug 26 15:27:16 PDT 2015 --  Don't take advantage of someone who cares, cause eventually they will stop
Wed Aug 26 15:28:50 PDT 2015 --  Due to me being a big ol' baby sometimes,I managed to spill sundae all over me & in my truck because I couldn't wait till I got home
Sat Sep 06 21:58:55 PDT 2014 --  pic.twitter.com/VKPUcprimJ
Wed Aug 26 09:45:23 PDT 2015 --  So dumb lol https://twitter.com/ExcuseThePuns_/status/621201554968719360 …
Wed Aug 26 09:36:26 PDT 2015 --  Pushing my luck with solid foods, but I gotta have me some tacos
Wed Aug 26 08:21:19 PDT 2015 --  My sister started college where has time gone?
Wed Aug 26 06:04:06 PDT 2015 --  accurate pic.twitter.com/hR0w45SjCp
Wed Aug 26 04:17:01 PDT 2015 --  how to talk to me when i have headphones in: pic.twitter.com/x5Y2wHyL3p
Tue Aug 25 18:20:30 PDT 2015 --  Thank god they changed the flavor of nyquill
Mon Aug 24 17:45:36 PDT 2015 --  Where I plan to live ,away from everybody & everything that hurts pic.twitter.com/WxM6lrJtfz
Mon Aug 24 17:27:25 PDT 2015 --  My house is so depressing,I need to have a home makeover,literally nothing has changed or moved in almost 2 years
Mon Aug 24 14:18:16 PDT 2015 --  ? https://twitter.com/KypreeAF/status/634456608635006976 …
Mon Aug 24 14:04:27 PDT 2015 --  I miss work even tho I hate it at times, I miss a lot of things I can't have back but that's life, hopefully I'm back at work manana
Mon Aug 24 13:18:15 PDT 2015 --  Seriously though pic.twitter.com/F18NBcquad
Mon Aug 24 13:25:54 PDT 2015 --  Ready to answer the first day of class questions, "What's your name, major, and an interesting fact about yourself?"
Mon Aug 24 13:26:04 PDT 2015 --  Actual relationship goal pic.twitter.com/w2RrQXuqMv
Mon Aug 24 11:32:13 PDT 2015 --  The feeling of loneliness is processed in the same part of the brain as physical pain.
Mon Aug 24 11:32:01 PDT 2015 --  i just want perfect skin and hair and teeth and body proportions and endless supplies of money and intelligence is that too much to ask for
Mon Aug 24 11:40:37 PDT 2015 --  I lasted 2 episodes of nanny 911
Mon Aug 24 09:04:21 PDT 2015 --  So tired of doctors,nurses,checkups ,needles,scans, meds, I want to be fine and healthy like I'm supposed to be at this age, not like this
Mon Aug 24 09:01:42 PDT 2015 --  One day everything I've ever said will make sense ,I hope I'm around still around to help you through it all as I promised!
Mon Aug 24 08:58:46 PDT 2015 --  Nothing like a Monday hospital day
Mon Aug 24 04:46:31 PDT 2015 --  I wish I had a time machine
Mon Aug 24 03:01:02 PDT 2015 --  Been up since 4
Sun Aug 23 19:42:23 PDT 2015 --  Can't sleep
Sun Aug 23 18:10:53 PDT 2015 --  What is my Netflix telling me? pic.twitter.com/QEqQb2hRlx
Sun Aug 23 16:37:39 PDT 2015 --  Why am I still watching unBREAKABLE Kimmy Schmidt on Netflix ??
Sun Aug 23 15:23:46 PDT 2015 --  Kimmy Schmidt has a date?
Sun Aug 23 15:20:55 PDT 2015 --  This show has me going
Sun Aug 23 14:49:22 PDT 2015 --  This show unbreakable is funny as heck lol
Sat Aug 22 21:37:21 PDT 2015 --  Can't sleep, my mind is working overtime
