Wed Aug 26 12:37:21 PDT 2015 --  pic.twitter.com/BkiRGjlSMT
Tue Aug 25 18:36:41 PDT 2015 --  I have no idea what that light is!!!
Tue Aug 25 18:35:56 PDT 2015 --  pic.twitter.com/Fx65BiZQlF
Fri Aug 21 10:46:32 PDT 2015 --  I served 20 years and 7 tours of combat in many theaters it's now time to rest
Fri Aug 21 10:45:21 PDT 2015 --  Finally found true love!!!
Sat Aug 15 21:20:39 PDT 2015 --  The next chick I take out to dinner and she says I'd like to be friends and doesn't reimburse me I'm going to slap her teeth out of her head
Fri Aug 14 22:21:32 PDT 2015 --  pic.twitter.com/QaVaMWZ0LY
Fri Aug 14 21:32:34 PDT 2015 --  Ok so 120 mm sable round isn't the best way to invite peace ... will rock, scissor and paper resolve world peace?
Thu Aug 13 16:38:57 PDT 2015 --  pic.twitter.com/zgPYwEjA8J
Thu Aug 13 16:32:35 PDT 2015 --  It all comes down to this- fuck em' all , let's just have a World party!!!
Thu Aug 13 16:25:40 PDT 2015 --  I looked at insurgent fire as I'm close to some hooch!
Thu Aug 13 16:25:08 PDT 2015 --  So, I'm often asked what was it like in combat... I really can't say my mind was on coming across the next cache of alcohol!
Thu Aug 13 16:13:51 PDT 2015 --  I promote ... Something I drink to much to remember !
Thu Aug 13 15:48:20 PDT 2015 --  Ok going for yet another vodka run! Milky tits is what I love!! That and women who get into playing with their breasts! Any shout outs?
Thu Aug 13 15:44:15 PDT 2015 --  I'm opposed to violence ... when its against me. However I've recently concluded some people just need their ass kicked! Esp. Womenbeaters!
Wed Aug 12 16:25:26 PDT 2015 --  So let's not allow self doubt or social mistakes prevent us from connecting to others
Sun Aug 09 17:59:23 PDT 2015 --  Ok so what does today bring? An RV ! I need no serious people a camp fire and much to drink! Have fun matrix people! Won't see ya at work!
Fri Aug 07 19:51:56 PDT 2015 --  Problem with dating is really I don't want to talk. I'm a Titman and ur tits need to be perfect and uve gotta luv playing w them, me too
Fri Aug 07 15:01:46 PDT 2015 --  Antique firearms legit for felons as defense, but 2F if used in crime: FS 790.001 Not legal advice
Fri Aug 07 14:59:25 PDT 2015 --  1851 naval confederate .44 not considered firearm impermissible for convicted felons to own and posses pic.twitter.com/VyqbSAhQUr
Sun Aug 02 00:52:40 PDT 2015 --  I'm at wukulla hotel cocoa beach it's important to get drunk everywhere!
Fri Jul 31 16:23:41 PDT 2015 --  So I'm asked why I serve , it's to protect your Right to be an asshole!
Wed Jul 29 23:34:56 PDT 2015 --  5 weeks I go back to Kabul the dead mourn us as we mourn them . I'm tired but I go back for my third tour pray for first armored division
Wed Jul 29 20:11:54 PDT 2015 --  Ok so now I'm standing up for criminals! If you become a victim it's because God hates you and you deserve it!
Tue Jul 28 22:46:20 PDT 2015 --  Ok it's odd that non smokers think they're the only ones to complain! If you don't smoke I hate you , I hate your non smokey smell . Vomit!
Tue Jul 28 12:33:12 PDT 2015 --  This is a shout out to all service personnel defending my Right to get drunk and flip the bird! Even counsellors who have helped us! Wahoo!
Tue Jul 28 01:37:19 PDT 2015 --  Drinking vodka and beer tonight!
Mon Jul 27 12:29:15 PDT 2015 --  So let's talk about dating...EXHAUSTING!Omg there is no perfect person!Ladies men spend on average 150.00 for a date.So be nice!dont use!
Mon Jul 27 12:25:31 PDT 2015 --  Lactating tots are the shit!
Sat Jul 25 15:18:12 PDT 2015 --  Don't drink Morgan if you have a life to live! Omg ! Hangover city!
Fri Jul 24 22:10:54 PDT 2015 --  Tonight is Captain Morgan! I'm not so optimistic about the morning ... But gotta stay true to science! :)
Fri Jul 24 10:39:05 PDT 2015 --  Day 2 : I drank more than a circus elephant after a 4 hour show and find that my 1st drink in my anti hangover experiment left no hangover
Thu Jul 23 11:08:01 PDT 2015 --  Ok so today starts my quest to find the alcoholic beverage that leaves the least hangover! I'm starting with Svedka vodka 80 proof
Tue Jul 21 12:23:03 PDT 2015 --  If your cooking instructions can't be followed by a drunk you've not explained yourself well I'm trying to follow a gd meatloaf recipe
Tue Jul 21 11:44:21 PDT 2015 --  Ok let's talk about online dating YOU CANNOT find your "soulmate" by texting personal encounter is only way WHY Because people lie! I do :)
Sat Jul 18 15:59:18 PDT 2015 --  Ok life lesson if you consult psychics you'll spend a lot of money and your shit will compound!
Sat Jul 18 00:40:53 PDT 2015 --  It all about tits an ass!
Tue Jul 14 21:47:04 PDT 2015 --  I never drink and drive, I always wait until the red light!or toll booth ! pic.twitter.com/doUMjsJg2Z
