Wed Jul 29 20:55:53 PDT 2015 --  OUR NEW YOUTUBE PETS!!!!!!!!!: http://youtu.be/lz-BpkhsJOQ?a  via @YouTube
Wed Jul 29 19:36:23 PDT 2015 --  what is it got em or goty: http://youtu.be/BrttPzCscu4?a  via @YouTube
Wed Jul 01 02:19:51 PDT 2015 --  Good morning. Hope you all take the proper precautions when enjoying the weather - remember to #MakeItSafe
Wed Jul 01 16:18:53 PDT 2015 --  heys not just the best the the bestest https://twitter.com/TheSoaRFreshz/status/615924788997926912 …
Wed Jul 01 16:16:18 PDT 2015 --  almost https://twitter.com/meatwagon22/status/616367409457295360 …
Wed Jul 01 16:07:09 PDT 2015 --  https://www.youtube.com/watch?v=30InBgGhiSo&list=PL48AA0159E7FF4657 …
Sat Jun 27 15:33:02 PDT 2015 --  this song is my fav embarrassing but I like it https://www.youtube.com/watch?v=yJYXItns2ik …
Sat Jun 27 15:27:10 PDT 2015 --  play this game its addicting http://agar.io/ 
Sat Jun 27 15:13:06 PDT 2015 --  awww so sorry why are the doing that to you https://twitter.com/stampylongnose/status/611155031144972289 …
Thu Jun 25 07:58:14 PDT 2015 --  https://www.gonoodle.com  try this funny web for classes or just for fun sign up free today
Wed Jun 24 13:56:34 PDT 2015 --  lol https://twitter.com/meatwagon22/status/613392836138921984 …
Sun May 24 17:50:44 PDT 2015 --  First habaci now Friendly's
Sun May 24 07:51:48 PDT 2015 --  WHATS HAPPENING TODAY
Sun May 24 07:48:38 PDT 2015 --  Its my b-day
Fri May 22 19:35:09 PDT 2015 --  pic.twitter.com/XmxyNhEepU
Fri May 22 19:31:17 PDT 2015 --  I'm watching Lucy
Fri May 22 17:42:48 PDT 2015 --  Beast mode pic.twitter.com/qg9HaxMl4a
Fri May 22 17:17:28 PDT 2015 --  Hello everybody
Fri May 22 16:50:56 PDT 2015 --  pic.twitter.com/ijjym6zhjC
Fri May 22 16:49:24 PDT 2015 --  https://www.youtube.com/watch?v=qlTA3rnpgzU …
Fri May 22 16:45:25 PDT 2015 --  https://www.youtube.com/watch?v=qym11JnFQBM …
Fri May 22 16:41:11 PDT 2015 --  pic.twitter.com/hvlADIUboQ
Fri May 22 16:39:30 PDT 2015 --  pic.twitter.com/eHEkMFjq87
Fri May 22 16:38:32 PDT 2015 --  pic.twitter.com/2Jy8gp1uuR
Fri May 22 16:16:09 PDT 2015 --  https://www.youtube.com/watch?v=92fD8Cy2zL0 …
