Thu Aug 27 17:50:56 PDT 2015 --  @alonsofr17 vos con tw? parapara
Thu Aug 27 17:46:18 PDT 2015 --  Que buenos quedaron los grupo de la Champions
Thu Aug 27 17:29:11 PDT 2015 --  Que amor me dijo que soy su preferido
Thu Aug 27 17:06:04 PDT 2015 --  El dortmund va a salir campeon de la euro
Wed Aug 26 17:13:19 PDT 2015 --  Estaría necesitando dormirme y despertarme el viernes a la tarde
Wed Aug 26 16:53:05 PDT 2015 --  Mi cara de orto cuando no me gusta algo es TAN automática.
Wed Aug 26 16:08:46 PDT 2015 --  Este amor que nunca vio la luz no sintió el calor
Wed Aug 26 09:30:10 PDT 2015 --  "9 de cada 10 gatos prefieren Whiskas". ¿Y el otro qué onda? ¿Se paró y pidió una milanesa? Explicame cómo un gato "prefiere", dale
Wed Aug 26 07:56:34 PDT 2015 --  Que ortiva el viento cldo mansa fe le tenia
Tue Aug 25 19:02:03 PDT 2015 --  Hoy no se podia salir al patio del colegio literal era re denso el viento
Tue Aug 25 18:44:35 PDT 2015 --  Si en la proxima actualización de wpp se va a poder ver con quien mas esta hablando me saco el sombrero
Tue Aug 25 18:54:26 PDT 2015 --  Que idola la Martina me sube el aula virtual de redes y hoy me paso la mitad de la prueba de francés la banco a muerte
Tue Aug 25 18:20:05 PDT 2015 --  'Amo escuchar mi voz en las grabaciones' DIJO NINGUNA PERSONA, JAMÁS EN SU PUTA VIDA
Tue Aug 25 18:01:11 PDT 2015 --  Terminal el dia así
Tue Aug 25 18:05:15 PDT 2015 --  No todo en la vida es color de rosas
Tue Aug 25 17:45:24 PDT 2015 --  Remar un "jajajaja" paja me da
Tue Aug 25 17:40:09 PDT 2015 --  Te recibís de hijo de puta cuando te tomas toda la Coca que era para el Fernet
Tue Aug 25 12:58:26 PDT 2015 --  D'Onofrio: "Firmamos la renovación hasta diciembre de 2017 y es un honor poder haber logrado que Marcelo continúe".
Tue Aug 25 17:33:24 PDT 2015 --  Estar de mal humor y que todos los pelotudos se pongan de a cuerdo para romperte los huevos, que vida de mierda...
Tue Aug 25 16:57:20 PDT 2015 --  @alonsofr17 sos la mufa negro
Tue Aug 25 17:13:57 PDT 2015 --  Nada mas lindo que el futbol
Tue Aug 25 17:09:11 PDT 2015 --  Zonda hace el aguanteee
Tue Aug 25 17:00:21 PDT 2015 --  -¿A qué te dedicas? -Masajista profesional especializado en la zona testicular masculina -Te rascas los huevos todo el día ¿No? -A dos manos
Tue Aug 25 16:49:51 PDT 2015 --  Que baje el zonda
Mon Aug 17 17:12:58 PDT 2015 --  Los de Boca que tienen menos alegrías que Diwan, se ríen de River, que ganó todo, porque perdió con SMSJ que a ellos les metió 6. Tristísimo
Mon Aug 17 14:23:24 PDT 2015 --  Que lindo es volver a verte campeón de América
Sun Aug 16 18:15:03 PDT 2015 --  Soy ese que en medio de una discusión te contesta como Karina Jelinek y después de la discusión se le ocurren respuestas a lo Sigmund Freud.
Sun Aug 16 16:34:35 PDT 2015 --  -vas a salir con este frio? -no,voy a salir con el de la semana que viene pelotudo
Sun Aug 16 15:18:03 PDT 2015 --  Jajajaja que cago de risa @SinCodificarTV
Sat Aug 15 12:45:46 PDT 2015 --  Vamos pumas
Wed Aug 05 18:50:00 PDT 2015 --  Que lindo es ser hincha del glorioso River Plate.
