Fri Aug 14 22:24:24 PDT 2015 --  - #freeTax 🏼 #UncommonSense @TAXSTONE
Fri Aug 07 21:28:11 PDT 2015 --  I am. #UncommonSense RT @Uncurvablejames: @cthagod You needa have @IamAkademiks On yo show !!!!
Thu Jul 30 20:41:23 PDT 2015 --  I woulda sent that shit back to meek like Yo you my man do this shit over again
Thu Jul 30 20:48:00 PDT 2015 --  Drake getting pissed on ain't far fetched if drake was to say that about meek it would be something
Thu Jul 30 21:40:30 PDT 2015 --  They petitioning Meek PO to allow him to MOVE TF outta Philly https://twitter.com/taxstone/status/626975163465109504 …
Thu Jul 30 20:48:42 PDT 2015 --  Is this whole thing a marketing ploy to make Drake seem hard by comparison? Is Apple paying Meek Mill on the low? #followthemoney
Wed Jul 29 08:16:15 PDT 2015 --  "Drakes been like a barber this past week. Meek tell us how it feels to get faded back to back?" pic.twitter.com/tIdWkTRgDS
Mon Jul 27 19:02:58 PDT 2015 --  SIGN THE PETITION TO SAVE HIP-HOP https://www.change.org/p/hip-hop-have-funk-flex-step-down-from-his-role-at-hot-97 … pic.twitter.com/LSs1k6ROjp
Mon Jul 27 19:05:48 PDT 2015 --  Hahaaaaaaaaa RT @thaboyrich: RT @HEgotGAME88: Petition to have funk flex removed from his position. Sign here https://www.change.org/p/hip-hop-have-funk-flex-step-down-from-his-role-at-hot-97 …
Sun Jul 26 08:07:43 PDT 2015 --  Nicki was jealous of all the attention Rihanna was getting so she had to prove her Pum Pum Turn up
Sun Jul 26 04:39:24 PDT 2015 --  #ChargedUp Lmao who did this? Where's the chill? pic.twitter.com/z2qLqymOgy
Sat Jul 25 17:16:38 PDT 2015 --  CHARGE UPPPPP pic.twitter.com/EAGNHXmXL7
Sat Jul 25 17:13:18 PDT 2015 --  https://twitter.com/deveryyyy/status/625095025009909761 …
Sat Jul 25 17:21:06 PDT 2015 --  Drake is more passive aggressive than a black grandmother in church.
Sun Jul 19 00:29:29 PDT 2015 --  Well... pic.twitter.com/uzgYhKS3sB
Wed Jul 22 07:08:29 PDT 2015 --  #MeekBeLike that beard ain't even real his ghostwriter drew it on for him pic.twitter.com/Yy0lC0I3J4
Sun Jul 19 15:59:12 PDT 2015 --  #MyUnpopularBlackOpinion I'd rather listen to Maroon 5 than young thug . he raps like courage the cowardly dog tryna explain a situation
Fri Jul 10 12:29:00 PDT 2015 --  Being anti-black but wanting mixed kids #WhiteGirlsDoItBetter
Fri Jul 10 13:37:11 PDT 2015 --  Loving black dick but hating black people #WhiteGirlsDoItBetter
Tue Jul 07 19:33:33 PDT 2015 --  Stressing over shit you can’t change is honestly the biggest waste of time.
Fri May 22 07:21:17 PDT 2015 --  My classmate cap pic.twitter.com/IwN7O66GD1
Sun May 10 11:22:47 PDT 2015 --  Happy Mothers Day to this beautiful lady. No this isn't my mom, but she's someone's mom and I smashed so salute her pic.twitter.com/rsuLClX7dT
Mon May 04 17:02:31 PDT 2015 --  One word: @JLo. #MetGala pic.twitter.com/ToJ5FPlYMp
Mon Apr 20 09:20:01 PDT 2015 --  RT @CNET: Twitter now allows users to receive direct messages from other users regardless if they follow each other http://cnet.co/1Qalgxd 
Tue Apr 14 21:13:57 PDT 2015 --  pic.twitter.com/JvKZhMjUp3
Tue Apr 07 13:25:54 PDT 2015 --  4th. $620 car payment on a whip that has 70k miles im cryinggggggg pic.twitter.com/zjn3yIQyiH
Tue Mar 24 09:05:36 PDT 2015 --  Real RT @ComplexMag Rich Homie Quan fought a security guard at LIV then escaped on a speedboat http://trib.al/NcMZBG7  pic.twitter.com/us27f76HKH
Sat Mar 21 00:55:02 PDT 2015 --  Sex attack victim, 20, fights back and drags her molester to police by the hair http://bit.ly/1DHB3iQ  pic.twitter.com/pre6Ql4U2g
Fri Mar 20 23:55:29 PDT 2015 --  Michigan State 70, Georgia 63 (via http://ble.ac/teamstream- ) http://teamstre.am/1BDa69dp0 
Thu Mar 19 13:49:44 PDT 2015 --  His fiancee is on LHH RT @Bossip: Bow Wow Says He Would Never Be On ‘Empire’ Because It Stereotypes Black People http://dlvr.it/92FDT9 
Fri Mar 13 15:24:16 PDT 2015 --  “ @KTLA: Meth lab found inside a bathroom at an Indiana Wal-Mart http://ktlane.ws/1FYsD3Y  pic.twitter.com/9Togqa3yqX” well damn
Sat Mar 07 08:57:36 PST 2015 --  RT @_Happy_Gilmore: Girl slang for "BUY ME THIS" https://vine.co/v/O0VvMWL5F2d 
Mon Feb 23 10:53:46 PST 2015 --  1. Lil Wayne’s Young Money Ent is not owned by Lil Wayne because Cash Money owns 51% interest in the label while Weezy owns 49%.
Wed Feb 04 04:00:38 PST 2015 --  I saw this yesterday & didn't repost it. Waited up until 6 am, & the bitch didn't show *Sips Capri Sun* #ThugLife pic.twitter.com/FK7HgIthXD
Mon Feb 09 19:31:36 PST 2015 --  When you look so good you make men get caught up on their words. https://vine.co/v/OUreLgmglP3 
Sun Feb 08 17:37:44 PST 2015 --  IDFWU #GRAMMYs https://vine.co/v/OUnzArbnYtb 
Mon Jan 12 17:24:21 PST 2015 --  Niggas** RT @Nigel_D: These hoes ain't loyal.. pic.twitter.com/eVstJ0XTyu
Fri Dec 26 14:08:48 PST 2014 --  Holy shit @JasiYasssss “ @jaybeeTRENDz: LMAOOOOOOOO IM FUCKIN CRYING “ @MarvAbbey: Rumbled... LOOOOOOL pic.twitter.com/OXc4AfE43I””
Sun Jan 11 08:57:10 PST 2015 --  The revolutionary girl is conscious of the fact that women will never be treated as equals under the hierarchal capitalist system.
Mon Dec 15 20:16:11 PST 2014 --  RT if you'd trade your house for this one! pic.twitter.com/Y6UIl5QPmS
Sat Jan 10 11:23:20 PST 2015 --  The Homeless: they are people, just like us, they simply cannot adjust to a such and exploitive, oppressive system.
Fri Jan 09 07:41:01 PST 2015 --  In New York City, 80% of the NYPD stops were of African Americans and Latinos.
Thu Jan 01 13:43:34 PST 2015 --  " @ScorpioAreUs: Scorpios rule because we take love & friendship SERIOUSLY. We build almost unbreakable bonds.""
Thu Jan 01 14:46:03 PST 2015 --  “ @ScorpioAreUs: Once a #Scorpio wants somebody we're putting our all into it. Let the planning, flirting, and schemeing begin.” Real Shit!
Thu Jan 01 16:21:12 PST 2015 --  #Scorpios are investors. Your more likely to catch us spending money on big things like a house or a car than meaningless shopping.
Thu Jan 01 21:22:14 PST 2015 --  This the one ! “ @ScorpioAreUs: #Scorpios like to be on the move. We won't chase after too many people, but we WILL chase money.”
Thu Jan 01 17:21:11 PST 2015 --  A #Scorpio is said to usually lead two different lives.
Fri Jan 02 14:52:22 PST 2015 --  i am very weak pic.twitter.com/x7nNPOF1lm
Tue Dec 30 14:05:23 PST 2014 --  The revolution is happiness without the sick formalities of petty bourgeois etiquette.
Fri Jul 11 16:48:43 PDT 2014 --  I am soo weak seeing this pic.twitter.com/hEqUpzaD6k
Wed Dec 17 12:00:47 PST 2014 --  “ @NBCNews: 14-year-old boy cleared of murder 70 years after being executed http://nbcnews.to/1v02ag6  pic.twitter.com/L2CDsSCSsA”
