Sun Aug 23 16:15:33 PDT 2015 --  Got them lights lol pic.twitter.com/6XULNrYgBM
Tue Aug 18 04:01:16 PDT 2015 --  When you're in love: age, miles, height, and weight are just numbers.
Thu Aug 13 09:37:47 PDT 2015 --  Distance means so little. When that person means so much!!
Tue Aug 11 15:20:02 PDT 2015 --  The scariest thing about dating is that you'll either marry them or breakup.
Mon Aug 10 19:52:01 PDT 2015 --  When she falls asleep. And you know she's not txting back bc she's sleeping but you txt her anyways just because she's always on your mind.
Mon Aug 10 19:46:24 PDT 2015 --  pic.twitter.com/LXJbjx7dn3
Mon Aug 10 06:47:54 PDT 2015 --  She's just perfect
Mon Aug 03 08:10:40 PDT 2015 --  @brent_2k15
Fri May 29 15:31:53 PDT 2015 --  pic.twitter.com/03uRMel4ON
Tue Feb 17 07:32:20 PST 2015 --  I got called gay because I let a drunk girl sleep in my bed and I didn't touch her. I guess it's better than being called rapist.
Sun Feb 22 15:59:29 PST 2015 --  I wonder how many calories girls burn by jumping to conclusions.
Fri Mar 06 16:58:51 PST 2015 --  After the first date I told her to text me when she got home.. She must be homeless.
Sat Mar 14 19:36:42 PDT 2015 --  Cop: Do u have anything in your pockets that will hurt me? Drake: *hands cop old girlfriends numbers* "Yeah, these girls will"
Sat May 09 08:04:13 PDT 2015 --  If you love her make her pancakes cause girls love pancakes. But make waffles too cause girls are indecisive.. Better hav donuts ready too
Sat May 16 10:19:06 PDT 2015 --  Bert: Hey Ernie, how do I look? Ernie: With your eyes, Bert.
Thu May 21 06:47:02 PDT 2015 --  Long distance is hard. I wish my girlfriend didn't live in the future.
Sun May 24 18:58:02 PDT 2015 --  I had to pause the commercial and take a picture of this pic.twitter.com/vRy3xHlWRp
Wed May 27 08:59:21 PDT 2015 --  What's up with grad parties next Friday ?
Wed May 27 01:47:40 PDT 2015 --  Having A Bad Day? Don't Worry - These People Probably Have It A Bit Worse http://zingerule.club/sb5am-having-a-bad-day-dont-worry-these-people-probably-have-it-a-bit-worse …>>> pic.twitter.com/9uWc6xQKVi
