Thu Aug 27 23:15:42 PDT 2015 --  God has a plan for me
Fri Aug 28 11:32:32 PDT 2015 --  I can do all things in him who strengthens me. -Philippians 4:13
Sat Aug 29 09:10:27 PDT 2015 --  stay rare.
Tue Aug 04 18:45:13 PDT 2015 --  IM CRYING http://vine.co/v/eHX0XVKuT6j 
Sat Aug 15 22:30:43 PDT 2015 --  Literal pic.twitter.com/5WBcmB5KdS
Mon Aug 17 20:57:07 PDT 2015 --  When you finally find some tots but you get caught.. http://vine.co/v/eH7UKqbdthQ 
Sun Aug 23 18:29:02 PDT 2015 --  WHEN YOUR BIRTHDAY WISH IS 1738 https://vine.co/v/eehlXiOPYx6 
Mon Aug 24 16:00:42 PDT 2015 --  17 years ago that 70's show cast met for the first time. pic.twitter.com/adZxSlqrU4
Thu Jul 16 15:59:11 PDT 2015 --  Me: mom it's hot outside Mom: because you be on that phone Me: pic.twitter.com/bBisEbcNt2
Thu Aug 27 18:16:31 PDT 2015 --  The best #Photobomb for @TobinHeath congrats 🏽🏽🏼 @alexmorgan13 🏼 pic.twitter.com/BhxKq7ktu7
Fri Aug 07 19:44:01 PDT 2015 --  Robert F. Kennedy sleeps on the floor of a plane during his 1968 presidential campaign. pic.twitter.com/jrTp59svXx
Sun Aug 09 18:01:05 PDT 2015 --  Steve Irwin pic.twitter.com/JGCDwgxh4k
Tue Aug 11 12:27:03 PDT 2015 --  Black men combating the psychological degradation of white people calling them "boy", circa 1960s. pic.twitter.com/nqVdbJDAu6
Tue Aug 11 16:40:16 PDT 2015 --  A fearless worker standing on the unfinished Golden Gate Bridge, 1935. pic.twitter.com/Uxft6UEQn2
Thu Aug 13 19:44:01 PDT 2015 --  Courtney Cox & Jennifer Aniston 90s pic.twitter.com/5fokheqvTq
Mon Jun 29 17:04:58 PDT 2015 --  Dear Donald Trump, One thing I've learned from marrying a Mexican woman and having a Mexican Suegra is DON'T PISS OFF MEXICANS! Now you know
Wed Jul 01 01:20:22 PDT 2015 --  New laws... pic.twitter.com/JRBKitTPaG
Sat Jul 18 08:48:18 PDT 2015 --  Pope John Paul II talking with his attempted assassin Ali Agca, in his prison cell, 1983. pic.twitter.com/dUQ3EeI5Xb
Sat Jul 18 17:01:51 PDT 2015 --  A man could surely teach a dog to give the Hitler salute, but that wouldn't make the dog a Nazi. It would, however, make the man an idiot.
Sun Aug 09 00:19:06 PDT 2015 --  Quote of the Day: Albert Einstein pic.twitter.com/hZqAqLfRnG
Fri Jul 31 13:56:06 PDT 2015 --  "They. are. my. crocs." http://vine.co/v/eX1UDDUTxwe 
Sat Aug 08 10:02:48 PDT 2015 --  Me when I'm in public and hear my favorite song.. http://vine.co/v/eX6JhheHMmH 
Fri Aug 07 06:28:47 PDT 2015 --  All Hail To The King... pic.twitter.com/vXdEMAHaib
Sat Aug 08 01:22:35 PDT 2015 --  When you can't stop thinking about it, it's worth it.
Sat Aug 08 23:08:03 PDT 2015 --  How I've been lately pic.twitter.com/3nyV7S4HeX
Tue Jul 07 17:05:30 PDT 2015 --  When a female says "I look ugly here" but still posts the selfie. pic.twitter.com/LuvtdNsFJz
Sat Aug 08 23:33:51 PDT 2015 --  Ain't nobody trynna save ya
Sat Aug 01 22:53:05 PDT 2015 --  "Ronda Rousey looks like a man" lol okay fam pic.twitter.com/toR7L38eLW
Sat Aug 08 14:03:50 PDT 2015 --  No simpin here, just pimpin 🏻
Sat Aug 08 09:23:54 PDT 2015 --  Just because I choose not to share my private life on social media doesn't mean I'm 'closeted' but thanks for your concern.
Fri May 01 15:46:18 PDT 2015 --  Very pleased #BernieSanders decided to run for presidency. His ideas are so popular that even the opposition are starting to adopt them.
Mon Mar 30 05:08:30 PDT 2015 --  Trevor Noah to Succeed Jon Stewart on ‘The Daily Show’ http://nyti.ms/1xONlEx 
