Sun Aug 02 23:21:02 PDT 2015 --  股市下跌时连撒尿都会分叉
Sat Mar 08 04:38:12 PST 2014 --  告别洗牙，5分钟消除牙垢的小常识(图): 1、 材料：草莓一颗，发酵粉1/2茶匙。 方法： 将草莓碾成糊状，与发酵粉充分混合，用一个柔软的牙刷将混合物均匀涂在牙齿表面，5分钟后用牙膏将混合物刷掉，然后漱口。 体验心得：... http://goo.gl/rzVDxJ 
Fri Jan 03 17:41:27 PST 2014 --  Mac系统翻墙简明教程 http://jianshu.io/p/0a84b8cbd27b 
Thu Nov 28 08:30:45 PST 2013 --  I love Dropbox because fast and comfortable. https://db.tt/XYqhvVL6 
Sun Nov 17 05:48:08 PST 2013 --  今夜月真圓哪，之前買來準備看演唱會的望遠鏡一直擱著，現在終於派上用場了！拿上就跑到七樓陽台開瞄，喲！真清！看一會就感覺要瞎了。下樓前順便把老婆的衣服收了，去到電梯口，一女學生剛從電梯出來，看了下我手上的衣服和望遠鏡，見鬼一樣跑回宿捨，嘭一聲關上門。哎~ 現在的小孩真沒禮貌啊！
Tue Nov 12 02:13:40 PST 2013 --  I want to have a try.
Thu Nov 07 20:31:40 PST 2013 --  又是饭饱日暖的中午，一股幸福感从喉咙随着饱嗝飘出，在身边弥漫，真美好啊！等电梯上楼，一滑头老板模样中年从我身后走过，有个美女紧跟其后，滑头瞄了一眼电梯边上的平板电视宣传，喃道：“中国梦，春秋大梦。。。” 我勃然大怒：“你他妈再说一遍，看老子不揍死你！”我心里骂道。
Tue Oct 29 05:23:10 PDT 2013 --  只带40块钱去发廊太明智了！这么干燥的天气，剪发哥居然不断气的推销办卡，做造型，足疗，推油，spa，减肥（尼玛！），养生…… 还色迷迷的说里面空间很大，优惠期间自杀价。最后他看到我一本正经的反口袋拿出40，终于闭嘴了。
Sun Oct 27 13:22:39 PDT 2013 --  习李政府，最终会使用两招杀手锏，一是农村土地确权上市流通，手持大把头寸的权贵集团会通过合法手段将农民土地据为己有，而数亿农民短期内持币狂消费，让经济虚假繁荣三五年；二是将会炒作深圳武汉西安大连青岛等直辖市概念，隔一年批准一个，让屁民乐陶陶。两招即出，欧美恢复，外需旺盛，保命成功。
Wed Oct 23 06:41:42 PDT 2013 --  一直在用Chrome瀏覽器，近期發現登入百度首頁奇慢，而用其它瀏覽器則沒有這個問題，這是google發起反攻了咩？我可不大欣賞這种做法啊。
Wed Oct 23 02:45:51 PDT 2013 --  出大恭時頓悟：再不發達就老了！剎時虎軀一震，氣壯山河，酣暢淋灕！
Fri Sep 20 19:44:29 PDT 2013 --  Paul levinson 的《新新媒體》毫無疑問就是一本教科書，裡面較全面地介紹了各种新新媒體的應用經驗，凸顯了這些新應用在社會生活中的革新作用，尤其多次提到對民主生活的影響。我對新新媒體基本都有深入的體驗，書裡提及的應用也算常用，或對新同學作用較大。本科課程應該有這樣一課。
Thu Sep 19 09:16:32 PDT 2013 --  艾瑪~看到大家這麼熱情的謳歌中秋，搞得本胖也詩興大發，來一首！床前獨脫光，只想等下穿，舉嘴吠明月，低頭彈蛋蛋。- 嗯...好詩，好詩...
Wed Sep 18 06:05:15 PDT 2013 --  幸福其實是一种相對感覺，就好像你回不了家過節黯然神傷的時候，看到人家節日加班像死狗一樣，瞬間就覺得幸福了好不好。所以媒體應該多報社會陰暗面，中國人民就會越來越幸福了。#輝哥語錄#
Sat Sep 14 04:00:15 PDT 2013 --  这是个娱乐至死的时代。王菲离婚的帖子，两个小时转到40万！王功权这个关注民主法治和社会进步的商人被抓的消息，只在小范围内传播。天朝人最喜欢看热闹，哪怕吃着地沟油，拖着患有痨病却无钱医治的身体，也要去围观杀人，顺便拿两个馒头蘸点人血吃… http://fw.cm/M3l-5JTSs 
Sat Sep 14 02:09:07 PDT 2013 --  那英舔了一下仍然黏滑的嘴角，說：侯磊。
Thu Sep 05 18:40:45 PDT 2013 --  "A tragic reality of today is reflected in the true plight of our spiritual existence: we are spineless and cannot stand straight." - @aiww
Tue Sep 03 08:35:08 PDT 2013 --  天氣悶熱，輾轉難眠。
Tue Sep 03 08:32:02 PDT 2013 --  習慣跪著的人，一站起來就不會走路，奴性使然。一般人被蒙蔽就算了，作為教授級學者，仍喜聞屍逐臭，對魔鬼歌功頌德，就是愚昧，是賤。
Mon Jul 08 19:31:23 PDT 2013 --  转:一个富人快死了，分别给两个儿子一把钝柴刀，说你们去砍一天的柴，谁砍的柴多，我就把家产都给他。大儿子拿了柴刀，急匆匆就上山砍柴去了。二儿子拿过刀看了看，找了一把磨刀石，开始磨刀。没过一会儿磨好了，拿着刀进屋对老爸说：快把钱都拿出来！
Sun Jun 23 10:54:58 PDT 2013 --  Find me on #Path now! Go to: http://path.com ! #thepersonalnetwork pic.twitter.com/b4XCgAsr0v
Sat Jun 22 21:05:12 PDT 2013 --  张海: 支持司马南接任国内动态调查委员会主任职务，司马南不仅是我国著名的学者和社会评论家，还是我国为数不多的气功大师，其练就的独门绝技——扯蛋神功，独一无二，无人能及。他长期从事调查工作，捍卫我国先进政治制度，甚至亲手将自己的儿子送入美国做卧底，作风优良，是该职位的最佳人选。
Sat Feb 26 19:28:54 PST 2011 --  I didn't know how to add someone with my BB. Ft ...
Sat Feb 26 05:47:32 PST 2011 --  Yeah!! I'm coming, it's not easy for me in CHINA...
