Fri Aug 21 14:06:12 PDT 2015 --  This song is fire pic.twitter.com/LHjG7Y9Uqi
Fri Aug 21 21:21:05 PDT 2015 --  @AKphillyboy keep on keeping on bud
Fri Aug 21 21:01:38 PDT 2015 --  #AugustBurnsRed #Composure
Fri Aug 21 20:57:15 PDT 2015 --  You live and you learn #Discipline #Determination because i am stronger because i believe
Fri Aug 21 20:55:15 PDT 2015 --  Just got a new august burns red t shirt today , its awesome, red white n black my favorite color scheme #AugustBurnsRed best band ever
Sat Aug 15 20:00:04 PDT 2015 --  BEER ME
Sat Aug 15 20:25:01 PDT 2015 --  You had me at "let's get drunk"
Sat Aug 15 19:39:39 PDT 2015 --  "Yeah mom we're just watching a movie, I'll be home soon" pic.twitter.com/gzQSEjyzS9
Sat Aug 15 21:31:10 PDT 2015 --  Out of everything in life, i question this the most https://vine.co/v/MaWJnJiKJX5 
Sat Aug 15 19:40:41 PDT 2015 --  Bro what are cats pic.twitter.com/zwCrY4mM93
Wed Aug 12 17:37:12 PDT 2015 --  Using "I was drunk" as an excuse for all things unexplainable
Wed Aug 12 19:27:00 PDT 2015 --  Someone needs to have a Project X party to end the summer
Fri Aug 14 07:07:42 PDT 2015 --  Follow Twitter on Twitter lol
Fri Aug 14 05:02:21 PDT 2015 --  For a moment I found myself smiling, as if those short rays of light were… https://instagram.com/p/6XPGJZCqbMyLOMwEp6ff9LwuHWeKc6KY07mFo0/ …
Fri Aug 07 20:33:18 PDT 2015 --  Real men do not cry, they do not pout, they punch you in the mouth and say "thanks for coming out" #BoondockSaints
Wed Aug 05 10:56:02 PDT 2015 --  Sometimes standing for what you believe means standing alone
Tue Aug 04 04:22:25 PDT 2015 --  August Burns Red at least for me it does
Fri Jul 31 05:04:17 PDT 2015 --  Walk hard is one of the most funniest movies of my life time . What are yall doing in here , smoking reffers ?
Mon Oct 06 08:00:13 PDT 2014 --  You can have one weapon. RT for lightsaber, FAVE for blaster. #starwars #lightsaber #blaster pic.twitter.com/Wjr9mU6L93
Mon Sep 29 16:00:18 PDT 2014 --  I can't change time but time can change me
Sat Sep 27 14:45:48 PDT 2014 --  So my bike got stolen ,my girl broke up with me, went to a job interview that wasn't hiring, I split my knckle open, and I got molly wopped
Sat Sep 20 23:26:15 PDT 2014 --  You can't always get what you want but you can fight for it and I will break my hands trying
Tue Sep 16 16:11:07 PDT 2014 --  You have to spit in the face of defeat and say there is nothing you can do that will break my stride #TrueStory
Mon Sep 15 14:51:56 PDT 2014 --  I have only begun to scratch the surface of my real potential
Sat Jul 19 16:24:14 PDT 2014 --  When your stuck in a jam and you know what you need to do, you work extra hard to accomplish your goals #TrueStory #ManUp #TheStruggle
Sat Jul 12 09:43:16 PDT 2014 --  I drank way to much yesterday , never again #hangover #feellikeshit
Wed Jun 04 08:41:46 PDT 2014 --  Just spent $20.00 bucks doing my laundry #FML
Wed May 21 12:13:24 PDT 2014 --  Life doesn't have to be like this
Fri May 09 11:55:41 PDT 2014 --  @AKphillyboy a pizza with Chipotle?
Wed May 07 12:54:39 PDT 2014 --  You gotta get up and try and try and try
Mon May 05 17:20:40 PDT 2014 --  Omfg I'm stotally tober @LiveLife4Laughs
Sun Apr 27 11:30:33 PDT 2014 --  I can't believe my bike got stolen #FuckThisNeighborhood #SomeThingsNeverChange
Sun Apr 20 15:40:18 PDT 2014 --  Bar of the living dead muhahahah @LiveLife4Laughs
Thu Mar 27 06:59:43 PDT 2014 --  Wow I am in great world of pain , I never felt this much annoying pain before #FuckThisTooth #Toothache
Fri Mar 21 15:43:49 PDT 2014 --  Nothings better then sitting in board as shit watching TV alone with nothing to do . . . . SIKE!!!
Fri Mar 21 12:27:51 PDT 2014 --  It's crazy to think that people who lived 10,000 years ago had better technology then we do now
Fri Mar 21 12:26:28 PDT 2014 --  "Ancient aliens" History Channel 2, crazy old sculptures 6000 years ago look like astronauts and men in flying suits
Tue Mar 04 14:00:41 PST 2014 --  #people who start shit because they don't have anything better to do , #pathetic
Thu Feb 20 14:47:12 PST 2014 --  I'm missing my boo girl @LiveLife4Laughs its my day off today and I'm not with her , it just don't feel right :'(
Mon Feb 17 10:38:46 PST 2014 --  Even the best fall down sometimes
Sat Feb 15 13:39:52 PST 2014 --  Popped a reality pill now I'm streesin
