Sat Aug 08 10:05:00 PDT 2015 --  NICK CANNON VS RAE SREMMURD pic.twitter.com/nF8WLyzpRM
Sat Aug 22 11:51:47 PDT 2015 --  Battle https://vine.co/v/eXB0ME19OdB 
Sat Aug 15 08:56:33 PDT 2015 --  Eden Hazard. pic.twitter.com/Shj5cUpteb
Thu Jun 25 02:10:10 PDT 2015 --  Life is full of simple pleasures #Naruto pic.twitter.com/wX8UV7DTkz
Wed Jul 29 14:25:09 PDT 2015 --  Amanhã começa .. Que seja uma temporada abençoada   #TBT pic.twitter.com/jd6VhsLQCc
Sat Jun 06 13:43:21 PDT 2015 --  Min 64: GOOOOOAL BARÇA! GOOOOOAL NEYMAR! JUV 1 - 3 FCB #FCBLive #UCLfinal pic.twitter.com/VT3wlmamqx
Sat Jun 06 13:44:29 PDT 2015 --  Full time! Barça are European Champions! JUV 1 - 3 FCB #FCBLive #UCLfinal pic.twitter.com/fIdkCBjJyd
Mon Mar 09 08:10:55 PDT 2015 --  N Na Nab Nabi Nabi M Nabi Mu Nabi Muh Nabi Muha Nabi Muham Nabi Muhamm Nabi Muhamma Nabi Muhammad ♡ Retweet if he's your idol.
Sat Jul 26 10:55:08 PDT 2014 --  Power Rangers Zaman Skrg @zakibrx @J4nn4Hey @ShamirahN @amaliaamir_ @yannnaastro_SF @JavierNgoh pic.twitter.com/Z71R7Lksek
Sat Jul 26 10:10:03 PDT 2014 --  Last Day Of Puasa!!! @JavierNgoh @J4nn4Hey @ShamirahN @yannnaastro_SF
Sat Feb 08 04:28:11 PST 2014 --  Liverpool Vs Arsenal:)
Sat Jan 25 05:45:03 PST 2014 --  Singapore 2-1 Selangor
