Sun Aug 23 21:11:11 PDT 2015 --  Fucking kill me I Fucking Hate School #fuckschool get a fucking gun and shoot me
Sun Aug 23 20:40:39 PDT 2015 --  Supplies for tommorow 1 phone . 2.headphone
Mon Aug 17 23:34:41 PDT 2015 --  #freepalestine
Thu Aug 06 21:08:27 PDT 2015 --  Tbt in the cruise in cozumel amazing time pic.twitter.com/3L83iUyVQ7
Wed Jul 08 17:39:55 PDT 2015 --  A group of Muslims has raised more than $35,000 to help rebuild burned black churches: http://cnn.it/1G89Dhu  pic.twitter.com/hCeh1dYEdT
Fri Jul 03 22:54:24 PDT 2015 --  I WAITED A YEAR TO POST THIS AGAIN https://vine.co/v/MUpYJDgHrj3 
Sat Jul 04 16:56:12 PDT 2015 --  How Many Chiefs Would A Chief Keef Chief If A Chief Keef Could Keef Chief pic.twitter.com/4AbdJKE7Mk
Wed Jul 08 19:08:05 PDT 2015 --  How Thugs pronounce items https://vine.co/v/ent7ePtXEXW 
Thu Jul 09 10:17:55 PDT 2015 --  Analysis: Allowing Gaza to drown is a policy, designed by Israel, applauded by the EU & the US http://aje.io/j3u2  pic.twitter.com/raFrdlkClu
Sun Jul 05 20:13:38 PDT 2015 --  NBA PLAYERS 3 POINT CELEBRATIONS THESE DAYS BE LIKE pic.twitter.com/1s1Hpc8JBu
Thu Jul 02 18:25:09 PDT 2015 --  #waitingforiftar
Mon Jun 22 11:14:10 PDT 2015 --  some of you think you're living in the present but are actually stuck in the past. let go. invest in your present and future. :)
Sat Jun 20 13:23:53 PDT 2015 --  OMG pic.twitter.com/fn46BdjdeH
Sun Jun 21 00:30:34 PDT 2015 --  Guys just to let y'all know I work @ great American cookies
Wed Jun 17 22:38:58 PDT 2015 --  Good night people gonna read some Qur'an till suhur
Wed Jun 17 21:40:58 PDT 2015 --  I never knew Arabs will have T-Mobile what a coincidence
Wed Jun 17 17:39:56 PDT 2015 --  Ramadan Kareem can't wait to experience the fast. Not just eating and drinking but a cleansing,that carries past this Ramadan
Wed Jun 17 18:14:18 PDT 2015 --  The best way to predict the future is to create it
Wed Jun 17 17:58:28 PDT 2015 --  Tomorrow Inshallah it's Ramadan to all the Muslim brothers and sisters give some benefits of Ramadan the month of fasting
Wed Jun 17 17:57:08 PDT 2015 --  What's the real meaning of ISIS it's not Islamic state of Iraq and Syria it should me AISIS anti Islamic state of Iraq and Syria
Wed Jun 03 17:09:14 PDT 2015 --  `young simba conquerin take back the pride land` @fouseyTUBE future Drake rapper inshallah nice rhymes dude keep it up #BruhBruh
Thu Jan 08 19:08:54 PST 2015 --  #futurecar when I'm 16 pic.twitter.com/5Oa7GSZ537
Sat Dec 06 02:22:15 PST 2014 --  Happy birthday to the greatest football player of all time. @JManziel2 pic.twitter.com/t5uUUMRDX7
