Sun Aug 16 13:22:04 PDT 2015 --  If you're having a bad day, just watch this Pikachu squad dance for you pic.twitter.com/mMIc1vOXRc
Tue Aug 18 18:18:03 PDT 2015 --  La nueva version de Android se llamará Marshmallow: http://bit.ly/1hmNDv8  pic.twitter.com/yW4ZPewSnH
Sat Jul 18 20:35:23 PDT 2015 --  Enchiladas mineras, Guanajuato! ! https://instagram.com/p/5TYac_yLzu/ 
Mon Jun 29 09:15:02 PDT 2015 --  Una máquina lee en tu rostro si eres atractivo, dominante o tacaño: http://www.muyinteresante.es/tecnologia/articulo/una-maquina-lee-en-tu-rostro-si-eres-atractivo-dominante-o-tacano …
Mon Jun 29 09:17:58 PDT 2015 --  Buenos días bebés hoy se cumple 1 año del #NoEraPenal y les dejo los memes! http://wereverwero.mx/2015/06/29/memes-recordando-el-noerapenal/ …
Fri Apr 03 11:41:37 PDT 2015 --  #EstamosTifus sólo faltó Breys :) https://instagram.com/p/1BfEP1yLyV/ 
Tue Oct 21 11:23:59 PDT 2014 --  Sabías que: Andrés Manuel López Obrador estuvo casado por más de 30 años con Albert Einstein. pic.twitter.com/vPix5xCMEw
Thu Dec 25 14:09:08 PST 2014 --  Después de años de no servir, el estéreo con el que mi papá escuchaba sus discos favoritos a… http://instagram.com/p/xC8HdxSL-l/ 
Thu Dec 04 09:59:17 PST 2014 --  Curso completo de HTML5, CSS3 y JavaScript - Parte IV - ScriptBC http://scriptbc.com/home/curso-competo-de-html5-css3-y-javascript-parte-iv/ … vía @h_raulvc
Fri Nov 14 07:40:19 PST 2014 --  Fecha de estreno para secuela Dragon Ball Z: La batalla de los dioses, posible trama... ¡y más manga! http://goo.gl/bGo1Ac 
Mon Oct 06 17:25:11 PDT 2014 --  :) http://instagram.com/p/t1MF9JSLzn/ 
Fri Sep 05 09:25:15 PDT 2014 --  #msxxi ctin #honestidadxmexico http://instagram.com/p/skghw4SLyS/ 
Sat Aug 23 13:55:37 PDT 2014 --  Casual, un desfibrilador en el GYM o.O http://instagram.com/p/sDhIjXSL6x/ 
Sun Aug 17 14:12:48 PDT 2014 --  Como sufro en mi trabajo! http://instagram.com/p/r0GVHoyL_c/ 
Fri Jul 04 17:14:49 PDT 2014 --  No era penal https://vine.co/v/MUIKb9IeXUP 
Sun Jul 13 09:05:56 PDT 2014 --  #LaVidaSeDisfrutaHoy gana 1-0 Alemania con gol de Miroslav Klose a los 56 min
Tue Jul 08 22:11:40 PDT 2014 --  http://imgur.com/GXV9wHS  vía @imgur muy bueno!!
Tue Jun 24 22:06:19 PDT 2014 --  MEDIOVLOG QUE OSO CUANDO...: http://youtu.be/kiLUKzzzW8g  #MEDIOVLOG :D
Sun Jun 15 19:45:06 PDT 2014 --  " @Startuperostv: 4 claves para construir una gran #Startup #Equipo http://mashable.com/2014/02/25/build-startup-team/#:eyJzIjoidCIsImkiOiJfemhxNDB2OHdvYm1kYXE1bWY5c2ZfIn0 … via @mashable vía: @Collaborizm"
Sat Jun 14 14:05:44 PDT 2014 --  ¿Quieres ir a #CPMX5? ¡Tenemos boletos para ti! A los primeros 5 que contesten las siguientes preguntas GANAN!!! pic.twitter.com/8Enj5c1xIQ
Thu Jun 12 11:27:27 PDT 2014 --  ¡Vamos, @miseleccionmx! #Mundial2014 ¿De qué selección eres? https://twitter.com/i/t/worldcup 
Sun Jun 08 21:22:04 PDT 2014 --  5 experimentos de química y física que puedes hacer en tu propia casa [VÍDEOS]: http://bit.ly/UnorcG 
Sun Jun 08 22:02:12 PDT 2014 --  Por primera vez en la historia un ordenador pasa el test de inteligencia artificial: http://bit.ly/UnqRb4 
Sun Jun 08 22:12:08 PDT 2014 --  Las 7 sociedades más secretas de la historia: http://bit.ly/Unrv8G 
Sun Jun 08 22:47:57 PDT 2014 --  " @ElDatoDelDia: Revelan la identidad del millonario misterioso que escondía sobres con dinero en California: http://bit.ly/Unsg1m "
Sat Jun 07 17:29:17 PDT 2014 --  Acabo de publicar una foto http://instagram.com/p/o9oYFmSLzH/ 
Sat Jun 07 16:21:23 PDT 2014 --  Para que no olviden mi cumple. #DonasGratis http://instagram.com/p/o9gmumyL1R/ 
Wed Apr 30 06:11:06 PDT 2014 --  —Mi abuelo se volvió a caer de la silla. —Lo siento. —Pues sí, me harías un favor.
Sun Nov 17 14:38:30 PST 2013 --  De vuelta por aquí :P
Tue Aug 27 21:45:46 PDT 2013 --  «Los sueños son sumamente importantes. Nada se hace sin que antes se imagine» #GeorgeLucas
Tue Aug 27 21:56:15 PDT 2013 --  Que seas más o menos sociable depende de la cantidad de neuronas formadas durante tu adolescencia: http://dld.bz/cNFYP 
Tue Aug 27 03:45:29 PDT 2013 --  El término 'alarma' proviene del italiano 'all'arme' que significa 'a las armas'.
Thu Jun 13 15:04:47 PDT 2013 --  Ya voté por mi nominado para los #MillennialAwards en @MTVLatinamerica. Vota por el tuyo en http://millennial.mtvla.com/ 
Wed Jun 05 14:22:16 PDT 2013 --  —Abra Kadabra. —Si, pásale. —Gracias, Kadabra.
Fri May 31 12:22:21 PDT 2013 --  — ¿Y la quieres?. — Pues le pongo pausa al FIFA para contestarle.
Sun May 26 18:24:47 PDT 2013 --  Qué pedazo de gol!! Toma, América.
Sun May 26 18:29:16 PDT 2013 --  Qué bonitos se ven los americanistas calladitos :)
Mon May 20 15:55:48 PDT 2013 --  Los teléfonos serán inteligentes el día en que te digan Yo no mandaría ése mensaje si fuera tú.
Sat May 18 07:22:37 PDT 2013 --  Ese momento cuando estás ganando brutalmente en Mario Kart, y te das cuenta de que estás mirando el lado de la pantalla equivocado.
Thu May 16 23:21:25 PDT 2013 --  RT @ElDatoDelDia: Qué tecnología es mejor: ¿La de Star Trek o la de Star Wars? - http://bit.ly/13A2fMo 
Thu May 16 18:45:39 PDT 2013 --  La gente inactiva tiene 2,4 veces más probabilidades de padecer enfermedades del corazón que la gente más activa.
Thu May 16 19:15:57 PDT 2013 --  #Recuerda Es mejor sonreír más y pelear menos.
Sun Mar 24 19:55:17 PDT 2013 --  Para los que no saben qué es, les dejamos una foto del "Mal del Cochi" #FotosPalFeis pic.twitter.com/aJ2wryEizl
Tue May 14 09:42:28 PDT 2013 --  RT @fotospalfeis: Cuando la realidad supera a la ficción. #Fotospalfeis http://po.st/DBZHuL 
Sun Apr 28 15:24:01 PDT 2013 --  Creo que la botella trata de decirme algo.... Pero la ignoraré #FotosPalFeis pic.twitter.com/zXC1Fy9aqd
Sun Apr 28 15:30:28 PDT 2013 --  Si vuelve, es tuya... Si no, vete con los dos. #FotosPalFeis pic.twitter.com/dINJyPk7Ai
Sun May 12 14:31:17 PDT 2013 --  Según algunos estudios, no es posible roncar y soñar al mismo tiempo.
Sat Apr 27 20:22:21 PDT 2013 --  Anoche entró un ladrón a la casa, buscaba dinero, me levanté de la cama y nos pusimos a buscar los dos.
Wed Apr 24 06:57:37 PDT 2013 --  RT : La mayoría de las mujeres no juegan fútbol por el simple hecho de que no soportarían ver a otras 10 mujeres vestidas igual. :P
Thu Apr 18 00:22:22 PDT 2013 --  El otro día iba caminando y un tipo dijo ''arriba las manos'', así que subí mis manos y le dí un lindo y romántico abrazo. Fue tan hermoso.
Sat Apr 13 20:10:48 PDT 2013 --  RT @MariAlegria_: Mientras tú coqueteas con otro, hay otra mujer haciéndolo sentir como un princeso. #teamprincesos jajajajaja
Sat Apr 13 18:52:11 PDT 2013 --  A veces me autostalkeo para ver que ven los que me stalkean, pero después pienso "quien me va a stalkear a mi?" Y me tiro al piso y ruedo.
Fri Apr 12 21:38:19 PDT 2013 --  RT @Soy__TED: No vuelvo a enamorarme de una trailera. Llevo horas pegando post-its en su trailer y no termino. @Arm_Valero jajaja
Tue Apr 09 16:40:52 PDT 2013 --  Con este calor mínimo quisiera sentir el airesito de la rosa de Guadalupe
Tue Apr 09 19:22:22 PDT 2013 --  ¿Yo, nuevo en twitter? Jajajajajajajajajaja. Ya en serio, ¿Cómo le doy like a un tweet?.
Sat Apr 06 21:41:30 PDT 2013 --  Combustible nuclear hará posible realizar viaje de ida y vuelta a Marte en 30 días - http://w.santicon.info/YCoVdz 
Sat Apr 06 19:22:20 PDT 2013 --  ¡Ay, mamá, tantos niños en el mundo que no tienen qué comer y tú llorando porque estoy embarazada!
Thu Apr 04 22:19:36 PDT 2013 --  RT @MenteAlucinante: La comida te sabe mejor cuando a tu alrededor hay personas que te agradan.
Thu Apr 04 22:14:14 PDT 2013 --  RT @MenteAlucinante: Cantar por lo menos 15 minutos al día, añade un máximo de 3 años a tu vida y ayuda a mantener un corazón sano.
Thu Apr 04 18:16:08 PDT 2013 --  RT — Mamá ¿Puedo ir al antro gay? — ¡NO! — Anda, ¡mama mía, mama mía, mama mía let me go! — ¡Que no, Freddy! — I want to break free :{
Thu Apr 04 18:14:58 PDT 2013 --  RT @Ruperboy: Con la triste noticia de que en Chile no comen México. Cero reciprocidad.
Sat Jan 26 08:56:07 PST 2013 --  Hoy me bañé con cemento porque quiero ser más concreto.
Thu Apr 04 18:09:18 PDT 2013 --  RT @GranEscritor: Si no te miro a los ojos, es para que no veas en el brillo de mis ojos lo que siento por ti.
Thu Apr 04 04:44:21 PDT 2013 --  Una nueva red social, PlazaScience, es el FourSquare de la ciencia: http://bit.ly/14GtPJS 
Tue Aug 28 21:22:51 PDT 2012 --  — Quería comprar una consola con pistas para cantar pero no pude. — ¿Estaba muy kara o ke?
Wed Apr 03 21:09:23 PDT 2013 --  Que les pasó a todos, por que se veran tan bien? Aah seguramente es por mi pantalla full HD jajajajaja
Tue Apr 02 19:29:41 PDT 2013 --  De vuelta en what'sapp!!
Tue Mar 19 07:52:13 PDT 2013 --  Le pregunté a mi perro: “¿Cómo me veo?”, y me dijo: “¡Guau!”. El no miente, por eso lo amo.
Fri Feb 01 17:57:11 PST 2013 --  Un tipo intentó robarme el celular,le dije que tenía una Blackberry,ambos reímos y nos abrazamos,luego me regalo dinero HERMOSO!@Arm_Valero
