Fri Aug 14 15:40:09 PDT 2015 --  Just waiting for someone to crush. pic.twitter.com/B8wJALOR73
Fri Aug 14 14:02:19 PDT 2015 --  This HUGE track by @quintinoo​ is out in only one week! https://amp.twimg.com/v/fdd71631-855c-4db4-bc5b-bb7d98414231 …
Wed Aug 12 15:27:07 PDT 2015 --  ¡Publica una foto de la persona famosa que más te guste! — holaaa que te gusta aser en thu tiempo libre http://ask.fm/a/cbja0k3i 
Wed Aug 12 15:25:31 PDT 2015 --  ¿Qué tienes para cenar esta noche? — frutas http://ask.fm/a/c6ihjd6o 
Wed Aug 12 15:24:49 PDT 2015 --  ¿Cuál es la mejor manera de aprender una lengua? — hablando http://ask.fm/a/c6ihjdga 
Wed Aug 12 15:24:27 PDT 2015 --  ¿Qué es lo que más dices? — pavo http://ask.fm/a/c6ihje89 
Wed Aug 12 15:23:46 PDT 2015 --  ¿En qué ciudad te gustaría vivir? — maturin edo monagas venezuela http://ask.fm/a/cbj9oop5 
Wed Aug 12 15:23:03 PDT 2015 --  cualll es tu edad..! y de dnd eres — tengo 18 y soy de maturin edo monagas http://ask.fm/a/c9l4p0ek 
Wed Aug 12 14:58:03 PDT 2015 --  cual es la mujer que quiere ase esto para asecelo https://twitter.com/gspot1177/status/630777467716915201 …
Wed Aug 12 14:56:36 PDT 2015 --  holaaaa
Mon Aug 10 08:21:23 PDT 2015 --  @roccoyninate quiero tener como ago
Sat Aug 08 16:56:25 PDT 2015 --  When you HAVE TO get on the jumbotron. pic.twitter.com/UE9fX1aYax
Mon Aug 03 10:45:35 PDT 2015 --  We can't wait for @ultra Music Festival Miami 2016, #Ultra2016 Get your tickets in this link http://ultramusicfestival.com/  pic.twitter.com/45vU28WCp5
Sat Aug 08 16:09:10 PDT 2015 --  thu eres loco https://twitter.com/SpinninRecords/status/630151764025737216 …
Sat Aug 08 14:46:15 PDT 2015 --  Estonia... first show ever here and it was CRAZY!!! absolute pleasure closing @Weekendbaltic festival, thanks <3 pic.twitter.com/07jJ0unLYt
Fri Aug 07 14:00:13 PDT 2015 --  bestial mano https://twitter.com/SpinninRecords/status/629758212271640580 …
Wed Aug 05 14:35:27 PDT 2015 --  quien activo
Tue Aug 04 15:26:49 PDT 2015 --  jejejejeje https://twitter.com/globovision/status/628693155789959168 …
Sat Aug 01 15:29:32 PDT 2015 --  he que tal todo la jente chevere jodedora
