Sat Aug 08 06:31:52 PDT 2015 --  On the way to Myrtle Beach!
Tue Jul 21 18:43:00 PDT 2015 --  Got to see my nephew Carson on his 1st birthday! https://instagram.com/p/5a573Nxh09/ 
Tue Jun 09 15:37:41 PDT 2015 --  Off to see Reel Big Fish tonight! @brucegreene @adamkovic @JamesWillems @JpJetplane1017
Thu May 28 12:07:15 PDT 2015 --  @CarsonCaudell https://twitter.com/sportscenter/status/603970514776883200 …
Fri May 15 06:34:30 PDT 2015 --  We lost one of the greatest blues guitars players to ever live. B.B. King influenced countless… https://instagram.com/p/2tFTkdxhxY/ 
Sat May 09 08:08:05 PDT 2015 --  On the way back home for the summer!
Mon May 04 08:38:59 PDT 2015 --  I pledge my allegiance to the dark side of the force. Choose your side - vote below. @skymovies #StarWarsMarathon http://bit.ly/1bYyC05 
Mon May 04 05:43:23 PDT 2015 --  May the 4th be with you #StarWarsDay pic.twitter.com/zuGhcI18fw
Sat Apr 18 15:37:51 PDT 2015 --  Farmers tan to the max pic.twitter.com/oZtidU5wfC
Sat Apr 18 07:12:08 PDT 2015 --  Ran my first 5k with some of the boys today! #MikeHoncho #PlayGirls #IfYouAintFirstYouLast https://instagram.com/p/1noJhmRh_m/ 
Sat Apr 18 05:05:08 PDT 2015 --  About to run in my first 5K with @GrahamClark32
Sat Apr 18 04:54:17 PDT 2015 --  Race day! @CarsonCaudell @christytieman #findthesquatch
Fri Apr 10 17:22:12 PDT 2015 --  Always sad to end a season, but thankful for the exp. 2015 was a great journey proud of our progress and already focused on 2016. #future
Thu Apr 02 17:27:12 PDT 2015 --  New cover of Play Girl magazine https://instagram.com/p/0_h0eORh5p/ 
Mon Mar 23 06:17:00 PDT 2015 --  Throwback to the U.S.S. North Carolina with my boys #SpringBreak2K15 #MikeHoncho https://instagram.com/p/0klK_Sxh2q/ 
Fri Mar 20 07:53:14 PDT 2015 --  It's #GameDay! @marymountmvb returns to CVC action tonight when it hosts Cairn at 7 PM. #FearTheFleur pic.twitter.com/PRokvMJP1q
Wed Mar 18 13:13:16 PDT 2015 --  Home matches this week! Puerto Rico Thursday, Cairn Friday. 7pm Thursday will be a rowdy crowd, Friday is conference pic.twitter.com/2VnXKXAXWV
Wed Mar 11 08:09:15 PDT 2015 --  Happy birthday Hudson Bates! #AVPBirthday @marymountmvb pic.twitter.com/zDpRXeadNU
Sun Mar 08 17:05:21 PDT 2015 --  Got to the beach just in time for a football game. pic.twitter.com/EijiA0WtWG
Sat Mar 07 18:35:36 PST 2015 --  2 wins against 2 Division 2 teams?! 2 must be the lucky number for @marymountmvb for this fine spring break day! #Hype #MyelinGrowth
Sat Mar 07 18:29:50 PST 2015 --  Great day to be a saint! 2 big wins to start our spring break. Played like a team and showed lots of #GRIT @MarymountSaints @D3VB @SIDCVC
Fri Feb 27 12:14:28 PST 2015 --  Everybody come out and support Marymount Men's Volleyball tonight against our conference opponent Thiel at 7:00!
Wed Feb 25 18:01:36 PST 2015 --  @CarsonCaudell plugs his Ethernet cable into a phone jack #idiot #areyouamish
Sat Feb 21 06:10:44 PST 2015 --  Due to weather EMU had to postpone our match. Good news is we now have a double-header against York at Noon! @SIDCVC @D3VB @MarymountSaints
Wed Feb 11 13:27:48 PST 2015 --  Just did some calculations in my Health and Exercise Science class and I have 3.6% body fat...
Sun Feb 08 17:43:48 PST 2015 --  First Goth dance was a success! Got nailed by the ops but it was worth it! @bigchoatie pic.twitter.com/NdNvokZXaG
Sun Feb 01 19:05:07 PST 2015 --  Alright Seahawks don't be sore losers
Sun Feb 01 16:34:32 PST 2015 --  Now that I know Lenny Kravitz is playing in the halftime show I'm a little excited
Sat Jan 31 13:10:47 PST 2015 --  VA Boys!!!! Super Bowl 49! @bambamkam & Burley! @seahawks #MakeThemNotice pic.twitter.com/wwoNrxUqcA
Sat Jan 17 08:45:23 PST 2015 --  Nice win to start out the season. Defeated Hilbert in straight sets. We play again tonight against Nazareth at 7pm. pic.twitter.com/cBlznDT9hb
Fri Jan 16 12:37:12 PST 2015 --  First match for the boys from VA! #NewYorkBound pic.twitter.com/qgb1ab5OCY
Sun Jan 11 13:02:15 PST 2015 --  Odell Beckham Jr. weighs in on Dez Bryant's controversial non-catch. pic.twitter.com/Rubyy47j1v
Sun Jan 04 17:58:43 PST 2015 --  Why does everyone hate the Cowboys? They deserve as much as a chance than anyone else, they have proved that tonight and in previous weeks
Sat Dec 20 22:19:06 PST 2014 --  Early morning Waffle House!
Fri Dec 05 13:30:12 PST 2014 --  I'm going to a Rise Against concert tonight with @palmbrand08, it's going to be hype!
Tue Nov 25 18:45:32 PST 2014 --  Back in the Ville with the boys
Sat Nov 22 04:54:58 PST 2014 --  On the way to my first collegiate volleyball tournament, let's get it boys #MarymountVolleyball #FearTheFleur
Sat Nov 22 03:55:20 PST 2014 --  First tournament as a college athlete! Let's get it! #MUVeebs #OneGoal
