Fri Aug 28 15:43:54 PDT 2015 --  When I went to the casino a couple nights ago... #FursuitFriday https://vine.co/v/eI7pWM6jVML 
Fri Aug 28 08:01:43 PDT 2015 --  Well it's that day again! #FursuitFriday with @DestiniiHusky pic.twitter.com/J73XKdfC3a
Fri Aug 28 07:46:37 PDT 2015 --  @DestiniiHusky this is the best thing I've seen all morning xD pic.twitter.com/jMot4UvFBt
Fri Aug 28 06:58:59 PDT 2015 --  -lays in a bed of cupcakes- who wants messy cupcake frosted cuddles? <3
Fri Aug 28 04:47:41 PDT 2015 --  its #fursuitfriday can we go out for walkies (Throwback photo) pic.twitter.com/boT7KmCzbn
Fri Aug 28 04:25:42 PDT 2015 --  Happy #fursuitfriday and #footpawfriday from Zyhari fox. This was taken by @BigCee when we hung out after FWA. pic.twitter.com/re1P2ibYjX
Thu Aug 27 23:20:14 PDT 2015 --  Super cute stream commission I got from @ManaOzyFolf tonight! He's still streamin'! http://original.livestream.com/folfstuff  pic.twitter.com/UAu00yK6ou
Tue Aug 25 07:19:10 PDT 2015 --  Let's play a game called "Catch a pet" :3 pic.twitter.com/c4cFIjHfFR
Wed Aug 26 17:28:12 PDT 2015 --  Between feeling groggy from the meds my back is twice as sore today. #feelingcrappy
Tue Aug 25 18:39:22 PDT 2015 --  Officially on bed rest for a week thanks to my doctor. Messing up your back is NO joke #sick #inpain #backproblems
Mon Aug 24 11:21:20 PDT 2015 --  It's @wolftheotter , @Shievina & @Artie_P @furcon #FC2015 pic.twitter.com/TvREJBO0Mm
Sun Aug 23 20:21:01 PDT 2015 --  Had a fun night due to some special close friends of mine and now its off to dreamland. Nini everyone :3
Fri Aug 21 20:33:59 PDT 2015 --  sprinkle dog pic.twitter.com/qGMKSrRMxS
Fri Aug 21 10:05:02 PDT 2015 --  Happy #FursuitsFriday @Onefurallstudio Jasper laying in bed #EF21 pic.twitter.com/xGZA7Vmoj2
Fri Aug 21 03:04:47 PDT 2015 --  OH MAI. I wonder who is who xD @DestiniiHusky pic.twitter.com/vpobyuMLPE
Wed Aug 19 14:51:27 PDT 2015 --  Maid Zyhari cleans to her fave song <3 #fursuiting #furries pic.twitter.com/GwwhJHX7Kf
Wed Aug 19 05:24:44 PDT 2015 --  Beautiful traditional derp badge art of Destinii done by @Nightspiritwing. I won her art raffle pic.twitter.com/03qVF7QF4y
Tue Aug 18 17:08:19 PDT 2015 --  -drags myself to bed- so tired..
Mon Aug 17 17:39:57 PDT 2015 --  me as a pup -giggles- Furvilla has the cutest little bases <3 pic.twitter.com/lHroi5GV2u
Mon Aug 17 12:12:26 PDT 2015 --  Certified Cupcake Queen Badge <3 done by the awesome @lilgreymouse I love this badge so much <3 pic.twitter.com/23S4PBDJPQ
Sun Aug 16 11:40:31 PDT 2015 --  Tried to get up and move around all to still feel like crap. Gonna lay back down.... #stillhungover #stillsick
Sun Aug 16 05:14:55 PDT 2015 --  This has been the worst weekend ever...
Sun Aug 16 04:14:45 PDT 2015 --  Extremely hungover to the point I feel sick. Stressed/depression drinking can really hurt in more ways than one... #hungover #sick
Fri Aug 14 20:33:19 PDT 2015 --  Those darn dust bunnies are some tough little buggers XD pic.twitter.com/JKkDovlS74
Fri Aug 14 15:29:53 PDT 2015 --  Finally home...time for personal time and relaxation #chillaxing
Fri Aug 14 11:36:04 PDT 2015 --  Been thinking of doing this for months. I'll do these for $8 a piece and funds go to @DracesLW 's treatment! pic.twitter.com/4ZPpjGTsOX
Fri Aug 14 14:22:34 PDT 2015 --  #fursuitsfriday #fursuitcrush @Leon_the_Fox @Sunny_Dingo @Willow_Fox @DestiniiHusky @Kaptain_Kelly You guys are all so amazing! :D
Thu Aug 13 20:00:59 PDT 2015 --  Gonna head to bed. Night everyone #gonetobed
Thu Aug 13 11:03:15 PDT 2015 --  FREE HEADSHOT raffle full colored, just retweet this, ends today pic.twitter.com/zZtqfP616L
Thu Aug 13 16:04:08 PDT 2015 --  Time for quiet time.... -shuts phone off, grabs my teddy bear and curls up in bed-
Wed Aug 12 14:57:01 PDT 2015 --  Burned out....x.x
Tue Aug 11 16:18:24 PDT 2015 --  Straight Outta House Keeping ;) pic.twitter.com/OHOmx49VRg
Fri Jun 12 21:50:05 PDT 2015 --  i love his eyes :3 but i dont think thats what we're looking at >3> (submitted by: @Artie_P) pic.twitter.com/n9ShcTleVh
Mon Aug 10 20:17:30 PDT 2015 --  Oh gawd a drunk version of me. XD cute little cheap art I got last night. pic.twitter.com/0IV5p9ZQBn
Mon Aug 10 15:09:49 PDT 2015 --  That moment when you get stalked on every website you are on :/
Mon Aug 10 15:04:21 PDT 2015 --  To those who are wondering I won't be able to make IFC due to work. Was going too but work needed me most..
Mon Aug 10 14:50:06 PDT 2015 --  Gonna eat and go straight to bed. I really need the sleep #exhausted
Sun Aug 09 21:32:49 PDT 2015 --  Oh crap I need to take my butt to bed. Nini everyone -flops in bed and passes out- #tired #goingtobed
Sun Aug 09 09:23:54 PDT 2015 --  The worst thing someone can do is say they care about you and then turn around and say they want you gone from their life forever #hurt
Sat Aug 08 23:29:48 PDT 2015 --  I'm so cute. Who wouldn't wanna hire me as their maid <3 pic.twitter.com/wIJKOCXhAR
Sat Aug 08 23:24:32 PDT 2015 --  Can't have dusty blinds -begins to dust- pic.twitter.com/uqi9UI4HGh
Sat Aug 08 23:20:23 PDT 2015 --  Late night maid service ;) who needs cleaning done?? :3 pic.twitter.com/UnWTmLzoVT
Sat Aug 08 19:23:18 PDT 2015 --  Please don't encourage stealing peoples characters/art.
Sat Aug 08 07:47:37 PDT 2015 --  God my head is killing me....
Sat Aug 08 05:39:21 PDT 2015 --  why am I still tired -yawns-
Fri Aug 07 17:28:44 PDT 2015 --  A maid's work is never done -giggles- #fursuitsfriday pic.twitter.com/PQNYiHPBOS
Fri Aug 07 17:25:59 PDT 2015 --  #fursuitsfriday House keeping!!! Anyone need maid service -giggles- pic.twitter.com/dqbrwNhxNX
Fri Aug 07 16:24:18 PDT 2015 --  @LelouchAoko @Spigots lookie with @DestiniiHusky pic.twitter.com/UDB1EolFyH
Fri Aug 07 13:56:33 PDT 2015 --  #fursuitfriday with the Sandiego Chicken himself XD #AC15 pic.twitter.com/DQnlZisrqG
Fri Aug 07 11:13:09 PDT 2015 --  Anyone who believes that bronies and furries hate each other spend too much time listening to small minds.
Fri Aug 07 12:16:06 PDT 2015 --  Looks like Zyhari is bring a lazy vixen today XD #fursuitsfriday #footpawfriday pic.twitter.com/o9a6vnIn6M
Fri Aug 07 11:00:52 PDT 2015 --  #fursuitsfriday Me as Zyhari rockin my #byefelicia t shirt at #AC15 XD pic.twitter.com/rbwaPjtLzV
Fri Aug 07 10:59:16 PDT 2015 --  #fursuitsfriday with @Jasper_paws. I love @Onefurallstudio fursuits. So sexy pic.twitter.com/OA6wbYMNK6
Fri Aug 07 07:37:01 PDT 2015 --  #fursuitfriday of me as Zyhari wiggling my paws at the camera ;) Happy #footpawfriday to all you paw lovers <3 pic.twitter.com/36e9BNh3aN
Fri Aug 07 07:27:17 PDT 2015 --  Here's me being held tight by my ultimate #fursuitcrush @Artie_P #fursuitfriday <3<3 pic.twitter.com/fOqrJ6Ecx6
Fri Aug 07 06:44:30 PDT 2015 --  #fursuitsfriday with @JayMoonWolf I need more purple in my life. Give it to me baby pic.twitter.com/OTHXI0qAPk
Fri Aug 07 06:40:49 PDT 2015 --  I need more of this in my life. Heres me with my #fursuitcrush @RCTheFox starting this #fursuitsfriday off cutely pic.twitter.com/Ioewa28KNC
Thu Aug 06 18:33:02 PDT 2015 --  Black and red seems to look good on me. Heres my wearing my Queen of hearts dress a friend gave me #lookinggood pic.twitter.com/UaQ5lZJzX2
Thu Aug 06 18:23:07 PDT 2015 --  I want my color back @furrywolf2 -begs and acts cute- lol XD #AC15 pic.twitter.com/XcnPE7QzkL
Thu Aug 06 17:05:35 PDT 2015 --  This old husky could use a pina colada or a long island iced tea atm
Wed Aug 05 19:30:36 PDT 2015 --  The storm seems to have passed and I didn't lose power..yayyyy #thankful
Wed Aug 05 18:44:55 PDT 2015 --  Pretty nasty storm in the area #maylosepower
Wed Aug 05 18:15:05 PDT 2015 --  Life is weird. That's why it's best to focus on yourself so there aren't any distractions.
Wed Aug 05 17:58:08 PDT 2015 --  Mom and I have patched things up which is a positive for today #atpeace
Wed Aug 05 14:59:57 PDT 2015 --  Omg @MyFurCreations look who I met. It's @Unclekage ;) best #AC15 moment ever <3 pic.twitter.com/f5wM6GDaX5
Wed Aug 05 12:58:54 PDT 2015 --  Thank you for the memories <3 @FriskySoulwolf pic.twitter.com/lDHetcrXHh
Sun Aug 02 19:00:52 PDT 2015 --  pic.twitter.com/WvZtcvXwCJ
Mon Aug 03 14:34:18 PDT 2015 --  Officially getting a maid outfit for my fursuit. Oh gawd -blushes-
Sun Aug 02 21:48:20 PDT 2015 --  -flops down in bed- so tired
Sun Aug 02 20:48:01 PDT 2015 --  Cruising home in the car with Skitso, Sahara and Tyler and jamming to Animals by #Maroon5
Sun Aug 02 20:46:39 PDT 2015 --  This has been the best weekend ever. On my way home with so many memories #happy #tired #memories
Sun Aug 02 18:46:34 PDT 2015 --  Hay Hay! pic.twitter.com/Kmd2DOsC7u
Sun Aug 02 19:05:54 PDT 2015 --  Officially went to Dave and busters today as well as watched a Hispanic concert live today. #bestdayever
Sun Aug 02 08:26:03 PDT 2015 --  Really sick of how I've been getting treated lately. Makes me wanna just stop dealing with everyone all together...
Sat Aug 01 20:05:53 PDT 2015 --  Chillin with Skitso and Sahara for the night #hangingwithfriends
Fri Jul 31 20:40:44 PDT 2015 --  First time for everything...I attempted playing pool in fursuit #firstimeforeverything #fursuitfriday pic.twitter.com/EW01tXZ2qI
Fri Jul 31 19:26:37 PDT 2015 --  Its #fursuitsfriday and I am in a sneaky type of mood :P pic.twitter.com/aQBhyakZ55
Fri Jul 31 18:07:32 PDT 2015 --  Bleh work always fucks up my plans for the weekend >_< #angry
Fri Jul 31 18:03:45 PDT 2015 --  #FurSuitFuriday with two purple cuties @JayMoonWolf and Crystal <3 pic.twitter.com/J59wP4Rqm0
