Sat Aug 29 07:41:52 PDT 2015 --  Quote of the Day http://nyti.ms/1MUaoSD  pic.twitter.com/wN4lACE8jJ
Sat Aug 29 07:33:44 PDT 2015 --  Liberals promise this "free" or "affordable" what that really means is "taxes"
Sat Aug 29 07:39:46 PDT 2015 --  Ann Coulter needs Jesus.
Sat Aug 29 07:25:16 PDT 2015 --  I just want to lay in bed all day pic.twitter.com/A4ei5ejF2A
Fri Aug 28 07:27:52 PDT 2015 --  You bring good into my lonely life.
Sat Aug 29 06:57:02 PDT 2015 --  I think I'll miss you forever, like the stars miss the sun in the morning sky.
Sat Aug 29 06:45:06 PDT 2015 --  modesty is appealing
Mon Aug 24 04:00:27 PDT 2015 --  Seduce me with your vinyl collection.
Fri Aug 28 21:35:41 PDT 2015 --  And. Blocked pic.twitter.com/xk7Jrt82Kb
Fri Aug 28 21:18:03 PDT 2015 --  71 migrant bodies found decomposing in an abandoned truck on an Austrian motorway. VIDEO: http://wp.me/p5bZm6-32B  pic.twitter.com/KqRN6g3Wff
Fri Aug 28 20:05:26 PDT 2015 --  I'm so in love with Saze.
Fri Aug 28 19:39:32 PDT 2015 --  Aunt Jemima came from Mars
Fri Aug 28 19:14:57 PDT 2015 --  and some dope dimes on some coke lines, give me head all night, cum four times.
Fri Aug 28 19:13:10 PDT 2015 --  I should cook bacon
Fri Aug 28 19:00:47 PDT 2015 --  pic.twitter.com/8Q4CxgVv1h
Fri Aug 28 18:52:15 PDT 2015 --  when people bring one bottle of wine to a dinner of 4 & I'm wondering what they're going to drink
Sun Aug 16 22:06:26 PDT 2015 --  Red wine. The Weeknd.
Fri Aug 28 18:33:59 PDT 2015 --  I got you touchin on your body
Fri Aug 28 18:32:05 PDT 2015 --  I love that people always like referencing wine or using the wine emoji with my contact name in their phone.
Fri Aug 28 18:29:08 PDT 2015 --  I'm going to finally start putting together the first rough draft of my book tomorrow.
Fri Aug 28 18:22:12 PDT 2015 --  I what Tianna's body. She's a goddess.
Fri Aug 28 11:52:07 PDT 2015 --  Thank you @LanaDelRey for lending your beautiful presence to this project. You mean the world.
Fri Aug 28 18:15:05 PDT 2015 --  Charles Barkley: Voting for Dems hasn’t helped blacks http://hill.cm/3HLj0Nw  pic.twitter.com/Jpi7446ddE
Fri Aug 28 18:16:51 PDT 2015 --  listening to beauty behind the madness is a bad idea while drunk
Fri Aug 28 17:57:52 PDT 2015 --  mood pic.twitter.com/GX1XUjfyto
Fri Aug 28 17:46:48 PDT 2015 --  nothing like having a communist tell you what's good for your soul.
Fri Aug 28 17:06:21 PDT 2015 --  He's the feeling you had the first time you saw a sunrise
Fri Aug 28 16:55:51 PDT 2015 --  ice cream & wine
Fri Aug 28 16:31:08 PDT 2015 --  so they take lsd together & both come to terms that they want to divorce because they're not in love & now they're cuddling..
Fri Aug 28 16:20:04 PDT 2015 --  Pro-lifers are just like terrorists, according to Hillary Clinton http://redalertpolitics.com/2015/08/28/pro-lifers-just-like-terrorists-according-hillary-clinton/#PyXHrfB2YZjARPLw.99 … via @beccaroses pic.twitter.com/QpGH25pg1W
Fri Aug 28 16:22:26 PDT 2015 --  this woman really just told her husband "we're supposed to take lsd with them, I told you to clear your schedule" lmao
Fri Aug 28 16:18:13 PDT 2015 --  Cabernet Sauvignon
Fri Aug 28 16:07:40 PDT 2015 --  And we're still gonna be waiting on Frank Ocean https://twitter.com/ana_sauvignon/status/637396558863015936 …
Fri Aug 28 16:04:48 PDT 2015 --  yes plantains
Thu Aug 27 21:29:37 PDT 2015 --  why is there a wine cork in my underwear drawer
Fri Aug 28 13:46:31 PDT 2015 --  Thanks for this https://twitter.com/ana_sauvignon/status/637364668311425025 …
Fri Aug 28 15:55:09 PDT 2015 --  what the fuck https://twitter.com/buffingtonjones/status/637396022667272193 …
Fri Aug 28 15:49:16 PDT 2015 --  Adele's releasing her new album in November just for my birthday. You're welcome.
Fri Aug 28 14:07:46 PDT 2015 --  ft. two bottles of Cabernet pic.twitter.com/bbLkS1n8qh
Fri Aug 28 14:04:51 PDT 2015 --  who's gonna fuck you like me
Fri Aug 28 14:04:24 PDT 2015 --  who's gonna love you like me.
Fri Aug 28 13:42:33 PDT 2015 --  knee high gladiator sandals gotta go
Fri Aug 28 12:52:51 PDT 2015 --  6 rows, 12 pumps & 25 minute waiting in each line to get gas. Florida.
Fri Aug 28 12:48:29 PDT 2015 --  why are y'all always spitting? have some manners:
Fri Aug 28 12:48:06 PDT 2015 --  I cringe when I see men just spitting to the side out and about like it's perfectly okay.
Fri Aug 28 12:40:12 PDT 2015 --  a drop of rain falls from the sky and people don't know how to act
Fri Aug 28 10:04:26 PDT 2015 --  Taking notes on my notes
Fri Aug 28 08:36:02 PDT 2015 --  @NatashaLesleyy shes great honestly. Still one of the best things to happen to me.
