Tue Aug 11 19:28:47 PDT 2015 --  Guess who's back at it again??
Wed Aug 26 15:03:26 PDT 2015 --  Just saw a truck driver flipping the bird at another truck driver, for honking the horn at him. LMAO
Tue Aug 25 12:35:30 PDT 2015 --  Remembering @AaliyahHaughton today. It was an honor to have my song over her tribute in her final film #gonetoosoon pic.twitter.com/hweN1tWl7X
Sun Aug 23 17:17:00 PDT 2015 --  Researchers have discovered 72% of American pizza lovers believe that it’s acceptable to eat pizza for breakfast and dinner on the same day.
Mon Aug 24 07:37:30 PDT 2015 --  Facebook is like the 'Walmart' of social media lmao https://twitter.com/UberFacts/status/635674699104657408 …
Mon Aug 24 07:34:04 PDT 2015 --  And they say racism is in the past, right? #BlackLivesMatter https://twitter.com/UberFacts/status/635727537138704384 …
Mon Aug 24 04:17:20 PDT 2015 --  41% of Americans look forward to checking what is in their mailbox each day.
Mon Aug 24 07:27:03 PDT 2015 --  Just logged in, getting a notification saying that @kidneythieves is following me! One of my favorite bands!
Sun Aug 23 11:51:59 PDT 2015 --  Brownie Batter Oreo's
Fri Aug 21 19:56:18 PDT 2015 --  Tell me why this dude who just got on the bus, look like he from some nu-metal band from the early 2000s lol #tragic
Fri Aug 21 10:44:07 PDT 2015 --  Umm why am I seeing more groundhogs lately? This ain't February.
Wed Aug 19 23:25:40 PDT 2015 --  I am so ready for all the cheaters to be exposed tbh #ashleymadison
Wed Aug 19 10:19:49 PDT 2015 --  Why do people always overcrowd the train entrance? Can you atleast back up, so people can get off before getting on? #trainproblems
Mon Aug 17 12:33:46 PDT 2015 --  While u kids are refresh voting teen choice awards there's some poor fucker in a basement making your new favorite record trying to survive
Mon Aug 17 17:14:56 PDT 2015 --  Receiving credit card offers from American Express, and Citi Bank makes me feel good.
Mon Aug 17 01:47:02 PDT 2015 --  Sunglasses make people look more attractive because they give the illusion of a chiseled bone structure on top of a soft-featured face.
Mon Aug 17 04:47:36 PDT 2015 --  People ages 18-29 are the most likely to use their phones to avoid being bored or avoid others around them, according to a survey.
Mon Aug 17 09:47:12 PDT 2015 --  Over 50% of the world's population is under 30 years old.
Sat Aug 15 06:17:01 PDT 2015 --  When non-religious people think about their own death, they unconsciously grow more receptive to religious belief, according to research.
Sat Aug 15 12:50:23 PDT 2015 --  Just witnessed an accident, where a truck tried to go underneath a train overpass, and the roof was scraped off for being too tall!
Sat Aug 15 11:41:33 PDT 2015 --  Did Menlo Park Mall just replaced Taco Bell from the food court, only to put some bland "health" place called "Be Leaf"? #annoyed
Sat Aug 15 11:14:57 PDT 2015 --  I love how I got stopped at the mall by someone, because they thought my sunglasses were cool, and asked if I'm in fashion. #recruited
Fri Aug 14 20:46:06 PDT 2015 --  Too bad thats the only place I go to for mindless celebrity gossip. #ONTD
Fri Aug 14 20:44:45 PDT 2015 --  The majority of users on #ONTD are so full of contradictions, I can't even find it funny anymore.
Fri Aug 14 20:34:40 PDT 2015 --  But on the other hand, I could understand Tami's frustration when Aubrey wasn't paying attention. #MarriageBootCamp
Fri Aug 14 20:32:18 PDT 2015 --  If I were Aubrey, I would've gave Tami a piece of my mind for tapping the phone out my hand like that. #MarriageBootCamp
Fri Aug 14 10:39:56 PDT 2015 --  I just seen someone rollerblading for the first time in years! #90sflashback
Fri Aug 14 09:35:02 PDT 2015 --  Another day, another dollar.
Thu Aug 13 19:04:46 PDT 2015 --  She continually makes transphobic remarks on her show, and when a man acts feminine she questions his manhood. #CancelWendyWilliamsShow
Thu Aug 13 18:12:07 PDT 2015 --  Another day, another reboot. #BeOriginal
Thu Aug 13 06:42:36 PDT 2015 --  #TeamDemocrat https://twitter.com/UberFacts/status/631733738540544000 …
Wed Aug 12 21:32:41 PDT 2015 --  Tell me why Andrea from #BGC, on Dating Naked ??
Tue Aug 11 20:23:16 PDT 2015 --  Who needs #BETUncut , when we have YouTube, and WSHH??
Tue Aug 11 19:32:18 PDT 2015 --  I come back after a year, and I still get to use my old Twitter name. #fuckyeah
