Mon Aug 24 17:41:40 PDT 2015 --  My favorite tv show and my favorite book/movie series pic.twitter.com/KL76O0l1Fi
Mon Aug 24 17:40:57 PDT 2015 --  This pic.twitter.com/aXynkNHY4v
Fri Aug 14 13:09:40 PDT 2015 --  remember when tom felton was obsessed with saying "booyah!" and used it any chance he got? precious little cutie. pic.twitter.com/96wNMU2d03
Sun Aug 16 14:53:51 PDT 2015 --  Evanna Lynch is Luna Lovegood. Luna Lovegood is Evanna Lynch. Fitting perfectly together like a puzzle piece #Fate pic.twitter.com/x2VrJGCTCg
Sat Aug 22 14:44:06 PDT 2015 --  Dear JK Rowling, Please write Hogwarts, a History. Sincerely, Everyone.
Sat Aug 22 14:07:05 PDT 2015 --  “Harry then did something that was both very brave and very stupid.” – Harry's entire life summed up in Chapter 10 of Philosopher's Stone.
Sat Aug 22 13:30:03 PDT 2015 --  We are on site at #WizardWorld Chicago and are very much enjoying your Harry Potter cosplays. Keep 'em coming! pic.twitter.com/TML11Jg5Fg
Sat Aug 22 13:21:24 PDT 2015 --  things i will never understand: - jkr's opinions on snape and draco
Sat Aug 22 12:40:05 PDT 2015 --  Hagrid was amazing pic.twitter.com/51AkooxmPC
Sun Aug 16 11:40:49 PDT 2015 --  Thank you so much for all the birthday love!! Feeling lucky, trying once more to make Puff leash-friendly 🏻 pic.twitter.com/0XyCZUo1Yz
Sun Aug 16 03:27:55 PDT 2015 --  Happy Birthday and many, many, many happy returns to perennial source of love and light @Evy_Lynch! xxxxx pic.twitter.com/AYcCIZLTJc
Mon Aug 10 10:18:55 PDT 2015 --  Sometimes I like to dress like a 19th Century policeman and insist somebody takes pictures of me next to a horse. pic.twitter.com/xdStaC2cMc
Thu Aug 13 12:12:14 PDT 2015 --  It's wrong. I know it is. But I really, really want one. https://twitter.com/Fascinatingpics/status/631904101547266048 …
Wed Aug 05 20:00:47 PDT 2015 --  Draco Malfoy through the ages. pic.twitter.com/LHJC40ezWl
Mon Aug 03 14:10:42 PDT 2015 --  "But the mere fact that they were still on either side of him was worth more than he could ever tell them." pic.twitter.com/aGeJ9U2yEC
Mon Aug 03 22:13:52 PDT 2015 --  19. I would be an auror or maybe a healer at St. Mungo's
Mon Aug 03 22:12:42 PDT 2015 --  18. Pureblood...OBVIOUSLY
Mon Aug 03 22:12:05 PDT 2015 --  17. Draco Malfoy cause I hate him so much I love him, and he is adorable in the first two movies
Mon Aug 03 22:09:39 PDT 2015 --  16. Muggle studies I would let them watch muggle movies and teach them muggle sports so then they could form house tennis teams or something
Mon Aug 03 22:06:30 PDT 2015 --  15. Neville or Ron because Neville is hot and Ron and I both love porkchops
Mon Aug 03 22:05:12 PDT 2015 --  14. LET THE BUTTERBEER FLOW
Mon Aug 03 22:04:25 PDT 2015 --  13. Hit with a dungbomb in exchange for a firebolt...but an invisibility cloak would be cool too
Mon Aug 03 22:02:55 PDT 2015 --  12. My older brother was really into it when he was in middle school so we had all the books but like two years ago I stumbled upon them
Mon Aug 03 22:01:26 PDT 2015 --  11. @HogwartsLogic @TheHPFacts because their tweets are always on point
Mon Aug 03 21:59:33 PDT 2015 --  10. "No need to call me sir professor" Hermione punching Draco Ginny on the quidditch pitch
Mon Aug 03 21:55:43 PDT 2015 --  9.Marauders headcanon: Sirius coming along on all of Jily's dates as a dog, when Lily asks what his name is James stutters and says Snuffles
Mon Aug 03 21:43:15 PDT 2015 --  08. My favorite friendship was obviously The Marauders (that counts right)
Mon Aug 03 21:42:30 PDT 2015 --  07. The ship I hate most is Dramione, I mean they hated each other!
Mon Aug 03 21:41:42 PDT 2015 --  06. Unpopular opinion: even though Snape turned out good I still really don't like him
Mon Aug 03 21:36:46 PDT 2015 --  05. I imagined McGonnagall younger and I totally skipped over the fact that Dean Thomas was black, but Hagrid looked the same
Mon Aug 03 21:34:31 PDT 2015 --  04. "The wand chooses the wizard, Mr. Potter"
Mon Aug 03 21:33:52 PDT 2015 --  03. How come if James Potter had the cloak of invisibility he died so young, Becaus the cloak is part of the Hallows
Mon Aug 03 21:30:30 PDT 2015 --  02. The Prisoner of Azkaban because it introduces The Marauders
Mon Aug 03 21:29:27 PDT 2015 --  01. Gryffindor Favorite thing is the common room
Mon Aug 03 21:27:40 PDT 2015 --  pic.twitter.com/Wl4c9WuwfX
Mon Aug 03 21:24:49 PDT 2015 --  pic.twitter.com/HAognMsklk
Sat Jul 25 03:39:02 PDT 2015 --  pic.twitter.com/3zIWxqdPYb
Sat Jul 25 07:40:03 PDT 2015 --  pic.twitter.com/uctLjNQEpB
Fri Jul 24 13:43:04 PDT 2015 --  I love when abc family has HP weekends #HarryPotterWeekend #HarryPotterForever
Fri Jul 24 09:29:15 PDT 2015 --  Loving the gorgeous @MrAnthonyLewis & @Mattdavelewis modelling #LVB & @whatkatiedrew t-shirts.. SO COOL pic.twitter.com/WCEbXYtkwc
Fri Jul 24 09:02:27 PDT 2015 --  The entrance to Dumbledore’s office… is literally a Griffin door. pic.twitter.com/jJ1JjS9OAN
Fri Jul 24 08:40:01 PDT 2015 --  A ridiculously good feast at @RedsTrueBBQ Shoreditch last night. Now open for business. #LondonBBQ #Protein pic.twitter.com/BLYYxF6mn4
Fri Jul 24 08:30:24 PDT 2015 --  #GrowingUpAPotterhead Wanting all of the Harry Potter merch but remembering that you were poor af
Fri Jul 24 08:16:43 PDT 2015 --  #GrowingUpAPotterhead Going into your cupboard underneath the stairs to cry because your Hogwarts Letter hadn’t come yet
Fri Jul 24 08:12:48 PDT 2015 --  #GrowingUpAPotterhead Drawing the Deathly Hallows symbol on literally anything and everything
Fri Jul 24 08:07:23 PDT 2015 --  #GrowingUpAPotterhead HAVING YOUR HEART RIPPED OUT BY THE DEATHS OF DOBBY, FRED, TONKS, LUPIN AND MANY MANY MORE
Fri Jul 24 06:17:02 PDT 2015 --  I will be forever grateful that of all the deaths in Harry Potter, Professor McGonagall was not one of them
Fri Jul 24 04:30:48 PDT 2015 --  pic.twitter.com/vyq3yfoQgb
Thu Jul 23 18:57:03 PDT 2015 --  "Good luck, Harry Potter." – Dumbledore pic.twitter.com/tmxP94iKwc
Thu Jul 23 10:02:13 PDT 2015 --  Happy Birthday, Daniel Radcliffe pic.twitter.com/mD9OzK4oo6
Thu Jul 23 10:31:18 PDT 2015 --  Hermione. pic.twitter.com/90eUN5NdkA
Thu Jul 23 11:44:27 PDT 2015 --  @TomFelton God, I miss you.
Thu Jul 23 10:35:38 PDT 2015 --  @Mattdavelewis mate that Bond impersonator from the 70's called and said he needs his look back.... pic.twitter.com/fusCmLv0hM
Thu Jul 23 12:50:07 PDT 2015 --  Daniel Radcliffe has many talents. And yes, lover of karaoke is definitely one of them. #HappyBirthdayDanielRadliffe pic.twitter.com/67Ur8fX40o
Thu Jul 23 10:29:20 PDT 2015 --  Happy 26th Birthday! #HappyBirthdayDanielRadcliffe pic.twitter.com/zHskgn0tlY
Thu Jul 23 07:53:55 PDT 2015 --  Happy 26th birthday Daniel Radcliffe, our perfect Harry Potter 7/23/89 #HappyBirthdayDanielRadcliffe pic.twitter.com/OHOzwclGO1
