Tue Aug 25 05:17:22 PDT 2015 --  This is truth thank you https://twitter.com/klicense/status/636141117394800640 …
Sun Feb 15 12:10:02 PST 2015 --  For every retweet this gets, Pedigree will donate one bowl of dog food to dogs in need! #tweetforbowls pic.twitter.com/z4rmc2HsGT
Fri Jul 24 14:26:47 PDT 2015 --  Would u rather have the power to fly, or every time someone meets you, the wind blows your hair back and plays "Rhiannon" by Fleetwood Mac?
Sun Aug 16 19:13:20 PDT 2015 --  One of the single biggest ways we can raise incomes is by making college affordable and available to every American.
Sun Aug 16 18:54:11 PDT 2015 --  “If you want a fight, come out and fight.”- Captain Chandler ( @RealEricDane) #TheLastShip
Sun Aug 16 18:53:24 PDT 2015 --  Youuuuuu guys. Thanks so much for all our awards at @TeenChoiceFOX we love u so much
Sun Aug 16 11:37:57 PDT 2015 --  You tell 'em, sister. #GraceandFrankie https://amp.twimg.com/v/e3df9170-b4f7-41e0-9fe4-2db9d12d960e …
Sun Aug 16 11:06:53 PDT 2015 --  pic.twitter.com/Mu2ZiUiWgT
Sun Aug 16 10:56:53 PDT 2015 --  Watch the first minute from Season 5 of "Once Upon A Time" http://huff.to/1UMoY1n  pic.twitter.com/nrBhAX7WLr
Sun Aug 16 08:50:42 PDT 2015 --  8 Hollywood women who have called out industry sexism: http://huff.to/1Pqjpmf 
Sun Aug 16 07:29:08 PDT 2015 --  Indonesian officials trying to confirm villagers' reports that a missing plane crashed into a mountain. http://cnn.it/1Kp3Q9W 
Sat Aug 15 10:42:51 PDT 2015 --  Sue me I love a good PUMP pic.twitter.com/CX8X3ckftp
Sat Aug 15 06:00:14 PDT 2015 --  It's a tough job. :))) https://twitter.com/lindycff/status/632534048662028288 …
Sat Aug 15 05:47:23 PDT 2015 --  @nathanvarni @valentinifrank @MichelleAltman1 @PFossil @lldubs @MauriceBenard TY GH 4 reuniting the best couple on GH pic.twitter.com/d2zhtcWLmg
Fri Aug 14 11:50:36 PDT 2015 --  It's a hell of a day on the Vikings set when your color palette looks like this.. #makeup pic.twitter.com/72Up0HH9pf
Thu Aug 13 20:33:39 PDT 2015 --  "Let's make young people feel good about themselves" @ladygaga pic.twitter.com/Fdaw2XhdDB
Thu Aug 13 15:32:46 PDT 2015 --  @katemara BREAKING @patagonia wool supplier workers hacking into fully conscious lambs: http://peta.vg/patagonia  pic.twitter.com/01g1DsqXL1
Thu Aug 13 18:34:35 PDT 2015 --  11-year old girl in Paraguay who was allegedly raped by her stepfather gives birth after being denied an abortion http://bbc.in/1Po2rEQ 
Tue Aug 11 14:33:29 PDT 2015 --  My facial expressions tonight! #FAceToFace #PrettyLittleLiars #PLL #ItsNoLie @ABCFpll http://www.pllfinale.com/FaceToFace  pic.twitter.com/YaVEwUuEkN
